model,aggregation,method_a,method_b,ndcg_p_value,performance_loss_p_value
mt5,paired_held_out_tasks,random,single_new_gen,0.06302076856670283,0.39604736508706734
mt5,paired_held_out_tasks,random,single_new_typ,0.06050955455293264,0.682447536164089
mt5,paired_held_out_tasks,random,single_new_geo,0.034114957715010566,0.72351157480627
mt5,paired_held_out_tasks,random,single_script,0.052751803436390944,0.48649024685856745
mt5,paired_held_out_tasks,random,single_distals_asjp,0.1022054514667113,0.7080480170923384
mt5,paired_held_out_tasks,random,single_distals_wiki_size,0.9754850273676139,0.27436427430367594
mt5,paired_held_out_tasks,random,composite_equal,0.016197587242862556,0.19774941706623173
mt5,paired_held_out_tasks,random,rrf_equal,0.023572355615220482,0.15043831123742876
mt5,paired_held_out_tasks,random,lightgbm_lambdarank,0.05861164801828068,0.4678770308818395
mt5,paired_held_out_tasks,random,mlp_listnet,0.014847052793139469,0.15731462584351602
mt5,paired_held_out_tasks,single_new_gen,single_new_typ,0.4330326226114419,0.457080177888577
mt5,paired_held_out_tasks,single_new_gen,single_new_geo,0.8181998525100452,0.5453883256389794
mt5,paired_held_out_tasks,single_new_gen,single_script,0.1577143334848395,0.5505541455152867
mt5,paired_held_out_tasks,single_new_gen,single_distals_asjp,0.47430585331576725,0.5730989057928229
mt5,paired_held_out_tasks,single_new_gen,single_distals_wiki_size,0.04755354959790433,0.17381096214484015
mt5,paired_held_out_tasks,single_new_gen,composite_equal,0.7947401948181997,0.519510208051384
mt5,paired_held_out_tasks,single_new_gen,rrf_equal,0.8553116431009546,0.42301242877760575
mt5,paired_held_out_tasks,single_new_gen,lightgbm_lambdarank,0.8037565669372908,0.8387575264191106
mt5,paired_held_out_tasks,single_new_gen,mlp_listnet,0.611064022230729,0.44050757267462576
mt5,paired_held_out_tasks,single_new_typ,single_new_geo,0.4993454307156751,0.9731043383070809
mt5,paired_held_out_tasks,single_new_typ,single_script,0.14940816172523466,0.8259551509238325
mt5,paired_held_out_tasks,single_new_typ,single_distals_asjp,0.971833215110893,0.8752001259127209
mt5,paired_held_out_tasks,single_new_typ,single_distals_wiki_size,0.012576119133392424,0.15273265057050295
mt5,paired_held_out_tasks,single_new_typ,composite_equal,0.3035006041581861,0.074079999160534
mt5,paired_held_out_tasks,single_new_typ,rrf_equal,0.34128874869885567,0.038841417789793393
mt5,paired_held_out_tasks,single_new_typ,lightgbm_lambdarank,0.5584258597064332,0.34380279039246525
mt5,paired_held_out_tasks,single_new_typ,mlp_listnet,0.1818219048255235,0.023617630878172667
mt5,paired_held_out_tasks,single_new_geo,single_script,0.07049681884119179,0.8945063309802636
mt5,paired_held_out_tasks,single_new_geo,single_distals_asjp,0.5782606132216017,0.8826005080527902
mt5,paired_held_out_tasks,single_new_geo,single_distals_wiki_size,0.019910610353053224,0.18110416913784622
mt5,paired_held_out_tasks,single_new_geo,composite_equal,0.5514740958119733,0.06769614702674435
mt5,paired_held_out_tasks,single_new_geo,rrf_equal,0.6358587214838347,0.05144024641750086
mt5,paired_held_out_tasks,single_new_geo,lightgbm_lambdarank,0.9870931601017211,0.36282666714631767
mt5,paired_held_out_tasks,single_new_geo,mlp_listnet,0.32769548370317264,0.09182221949755005
mt5,paired_held_out_tasks,single_script,single_distals_asjp,0.23099507068956066,0.9775536289611348
mt5,paired_held_out_tasks,single_script,single_distals_wiki_size,0.07169412526190878,0.11490347435815136
mt5,paired_held_out_tasks,single_script,composite_equal,0.017405361863848192,0.21247909983329843
mt5,paired_held_out_tasks,single_script,rrf_equal,0.021322689832780427,0.14276210720158208
mt5,paired_held_out_tasks,single_script,lightgbm_lambdarank,0.10669389589936704,0.678089702119226
mt5,paired_held_out_tasks,single_script,mlp_listnet,0.014938274547895512,0.12355807027307003
mt5,paired_held_out_tasks,single_distals_asjp,single_distals_wiki_size,0.09567644017783741,0.27469427849758943
mt5,paired_held_out_tasks,single_distals_asjp,composite_equal,0.2202873005769704,0.15364690846037238
mt5,paired_held_out_tasks,single_distals_asjp,rrf_equal,0.22189792324640137,0.10801199024640214
mt5,paired_held_out_tasks,single_distals_asjp,lightgbm_lambdarank,0.21782471146842688,0.28374413232884754
mt5,paired_held_out_tasks,single_distals_asjp,mlp_listnet,0.06742816267137183,0.11284639432125654
mt5,paired_held_out_tasks,single_distals_wiki_size,composite_equal,0.011136260564097604,0.050171071809093234
mt5,paired_held_out_tasks,single_distals_wiki_size,rrf_equal,0.013205806548105164,0.036939701393290475
mt5,paired_held_out_tasks,single_distals_wiki_size,lightgbm_lambdarank,0.04488195164707242,0.14650272152436877
mt5,paired_held_out_tasks,single_distals_wiki_size,mlp_listnet,0.011866163288807482,0.04546896809830334
mt5,paired_held_out_tasks,composite_equal,rrf_equal,0.7784921631223161,0.2713596495297634
mt5,paired_held_out_tasks,composite_equal,lightgbm_lambdarank,0.5489562710414309,0.20181340908976383
mt5,paired_held_out_tasks,composite_equal,mlp_listnet,0.7016031440646858,0.7997247226666376
mt5,paired_held_out_tasks,rrf_equal,lightgbm_lambdarank,0.5859559144055673,0.12699331742488698
mt5,paired_held_out_tasks,rrf_equal,mlp_listnet,0.614726051244297,0.46247882743359076
mt5,paired_held_out_tasks,lightgbm_lambdarank,mlp_listnet,0.22524529470604937,0.09854665828350018
