model,aggregation,method_a,method_b,ndcg_p_value,performance_loss_p_value
mt5,paired_target_queries,random,single_new_gen,0.2613408802884473,1.8691857247938e-05
mt5,paired_target_queries,random,single_new_typ,0.6098063109988149,0.022701924046611654
mt5,paired_target_queries,random,single_new_geo,1.8842047211760446e-11,0.069622214078023
mt5,paired_target_queries,random,single_script,2.3603770671663775e-11,0.8532519982836484
mt5,paired_target_queries,random,single_distals_asjp,0.001264194633603752,0.11960556030232504
mt5,paired_target_queries,random,single_distals_wiki_size,9.660824344254638e-07,2.3982798322149364e-11
mt5,paired_target_queries,random,composite_equal,3.833254430229564e-39,6.137920789622318e-35
mt5,paired_target_queries,random,rrf_equal,3.387910653750207e-36,3.1104031592065136e-32
mt5,paired_target_queries,random,lightgbm_lambdarank,2.9616843413027958e-05,0.22563282623262332
mt5,paired_target_queries,random,mlp_listnet,6.142802024332692e-22,3.3863308176224333e-12
mt5,paired_target_queries,single_new_gen,single_new_typ,0.3523539379382325,0.02915317715624039
mt5,paired_target_queries,single_new_gen,single_new_geo,3.256318502113748e-17,1.4135010137189855e-08
mt5,paired_target_queries,single_new_gen,single_script,4.4561397632699645e-12,6.7456223414134e-07
mt5,paired_target_queries,single_new_gen,single_distals_asjp,1.4046733328197534e-10,0.0015598762101119434
mt5,paired_target_queries,single_new_gen,single_distals_wiki_size,0.011157542710876246,0.04078451398870954
mt5,paired_target_queries,single_new_gen,composite_equal,2.0804250822789636e-61,2.1353255564913e-63
mt5,paired_target_queries,single_new_gen,rrf_equal,1.3776213311780221e-52,1.2820482642949637e-57
mt5,paired_target_queries,single_new_gen,lightgbm_lambdarank,4.7297935929953024e-14,4.368540555563248e-12
mt5,paired_target_queries,single_new_gen,mlp_listnet,2.0011480689164376e-41,1.5039167612096563e-33
mt5,paired_target_queries,single_new_typ,single_new_geo,1.6429008921985963e-18,3.105761964493022e-05
mt5,paired_target_queries,single_new_typ,single_script,1.6991887506752397e-13,0.007183489613285969
mt5,paired_target_queries,single_new_typ,single_distals_asjp,7.108006765590881e-07,0.5046809920622419
mt5,paired_target_queries,single_new_typ,single_distals_wiki_size,5.917630225838648e-05,2.8109901306643497e-05
mt5,paired_target_queries,single_new_typ,composite_equal,9.580439672046807e-62,1.0054191986793587e-53
mt5,paired_target_queries,single_new_typ,rrf_equal,5.489305387101719e-58,8.862637030725899e-51
mt5,paired_target_queries,single_new_typ,lightgbm_lambdarank,1.582073899240344e-10,6.197137305378141e-05
mt5,paired_target_queries,single_new_typ,mlp_listnet,6.276936495160662e-39,7.946521291833788e-24
mt5,paired_target_queries,single_new_geo,single_script,0.01548569928083214,0.05227422389818246
mt5,paired_target_queries,single_new_geo,single_distals_asjp,9.842689977036918e-05,0.00027581377530334314
mt5,paired_target_queries,single_new_geo,single_distals_wiki_size,8.997761117030338e-34,7.923712454598712e-15
mt5,paired_target_queries,single_new_geo,composite_equal,7.57953627140948e-23,4.134634238967765e-36
mt5,paired_target_queries,single_new_geo,rrf_equal,2.768372556088596e-20,3.6387824308163275e-32
mt5,paired_target_queries,single_new_geo,lightgbm_lambdarank,0.0017072832053180228,0.42223659781450923
mt5,paired_target_queries,single_new_geo,mlp_listnet,8.410524227506813e-07,1.1473518258705762e-08
mt5,paired_target_queries,single_script,single_distals_asjp,0.08068334008568775,0.04858928197174716
mt5,paired_target_queries,single_script,single_distals_wiki_size,1.7472902990961495e-50,8.698326992654266e-16
mt5,paired_target_queries,single_script,composite_equal,1.803760162981544e-30,1.6499898731443132e-43
mt5,paired_target_queries,single_script,rrf_equal,2.0944502438608837e-27,8.027185614389088e-40
mt5,paired_target_queries,single_script,lightgbm_lambdarank,0.4113814595186364,0.24707138240239843
mt5,paired_target_queries,single_script,mlp_listnet,4.653048590968233e-12,1.1668423856874363e-14
mt5,paired_target_queries,single_distals_asjp,single_distals_wiki_size,2.949614635267498e-14,9.619646803336826e-06
mt5,paired_target_queries,single_distals_asjp,composite_equal,3.5576688526917326e-41,7.576321498314808e-52
mt5,paired_target_queries,single_distals_asjp,rrf_equal,9.368118854997194e-34,7.208950103736387e-47
mt5,paired_target_queries,single_distals_asjp,lightgbm_lambdarank,0.2244444891770206,0.0006143137899057602
mt5,paired_target_queries,single_distals_asjp,mlp_listnet,1.2960492481830319e-27,3.0766705994088304e-27
mt5,paired_target_queries,single_distals_wiki_size,composite_equal,6.850175108904953e-80,1.5549412088745794e-76
mt5,paired_target_queries,single_distals_wiki_size,rrf_equal,6.757117099316531e-74,1.6607252355133519e-71
mt5,paired_target_queries,single_distals_wiki_size,lightgbm_lambdarank,1.5268710335463265e-19,5.229133812868279e-13
mt5,paired_target_queries,single_distals_wiki_size,mlp_listnet,2.3630253718905354e-49,3.459030806466901e-38
mt5,paired_target_queries,composite_equal,rrf_equal,0.26439916772401056,0.25421669911666095
mt5,paired_target_queries,composite_equal,lightgbm_lambdarank,3.6248195861451073e-37,2.031965092953473e-40
mt5,paired_target_queries,composite_equal,mlp_listnet,2.285889202050956e-12,6.806444807781754e-18
mt5,paired_target_queries,rrf_equal,lightgbm_lambdarank,1.8969680344861002e-31,6.176255689821234e-37
mt5,paired_target_queries,rrf_equal,mlp_listnet,5.496985583590702e-08,8.740793880477743e-14
mt5,paired_target_queries,lightgbm_lambdarank,mlp_listnet,1.1202258167391927e-18,1.8086891429322687e-13
