model,method,held_out_task,dataset,performance_col,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,n_candidates,n_fitting_tasks,n_validation_tasks,n_fitting_queries,n_validation_queries,mrr,exact_best_rank,r_precision,relevant_count,ndcg@1,precision@1,recall@1,hit@1,map@1,err@1,exact_best_hit@1,ndcg@3,precision@3,recall@3,hit@3,map@3,err@3,exact_best_hit@3,ndcg@5,precision@5,recall@5,hit@5,map@5,err@5,exact_best_hit@5,ndcg@10,precision@10,recall@10,hit@10,map@10,err@10,exact_best_hit@10
mt5,random,masakhaner,masakhaner,f1_score,masakhaner::bam,bam,lrl,yor,lrl,kin,lrl,0.6474575089715479,0.7389785916820414,0.12384808401847736,0.0,0.0,0.0,18,6,2,1032,329,0.05555555555555555,18.0,0.4,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1549554189662647,0.2,0.1,1.0,0.05,0.124755859375,0.0,0.2855741621863836,0.4,0.4,1.0,0.13583333333333333,0.14168476894583365,0.0
mt5,random,masakhaner,masakhaner,f1_score,masakhaner::bbj,bbj,lrl,yor,lrl,mos,lrl,0.6482846438873014,0.7066512958862919,0.08259611542321764,0.0,0.0,0.0,18,6,2,1032,329,0.06666666666666667,15.0,0.4,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01721726877402941,0.2,0.1,1.0,0.05,0.000244140625,0.0,0.10454880035402647,0.4,0.4,1.0,0.12333333333333334,0.0029021958534031,0.0
mt5,random,masakhaner,masakhaner,f1_score,masakhaner::ewe,ewe,lrl,yor,lrl,kin,lrl,0.7354257927702285,0.8068548308948001,0.08852774426021227,0.0,0.0,0.0,18,6,2,1032,329,0.06666666666666667,15.0,0.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22712750122817324,0.5,0.5,1.0,0.17718253968253966,0.02606101471284424,0.0
mt5,random,masakhaner,masakhaner,f1_score,masakhaner::fon,fon,lrl,yor,lrl,hau,lrl,0.6916229705034653,0.7309709476493796,0.05382974148623499,0.31155682328159817,0.0,0.0,18,6,2,1032,329,0.07142857142857142,14.0,0.6,10.0,0.2,1.0,0.1,1.0,1.0,0.0029296875,0.0,0.31155682328159817,1.0,0.3,1.0,1.0,0.04459631349891424,0.0,0.35861084079079186,1.0,0.5,1.0,1.0,0.04862634559236856,0.0,0.35722887898820493,0.6,0.6,1.0,0.5599999999999999,0.05387982153251512,0.0
mt5,random,masakhaner,masakhaner,f1_score,masakhaner::hau,hau,lrl,yor,lrl,kin,lrl,0.7210566429560229,0.8159562972754614,0.11630482494750695,0.05081722280378544,0.0,0.0,18,6,2,1032,329,0.05555555555555555,18.0,0.6,10.0,0.1,1.0,0.1,1.0,1.0,0.0009765625,0.0,0.05081722280378544,0.3333333333333333,0.1,1.0,0.3333333333333333,0.0009765625,0.0,0.13977696575757095,0.6,0.3,1.0,0.42000000000000004,0.005211886204779148,0.0,0.35084905696178537,0.6,0.6,1.0,0.4230952380952381,0.058173269392151394,0.0
mt5,random,masakhaner,masakhaner,f1_score,masakhaner::ibo,ibo,lrl,xho,lrl,nya,lrl,0.7900444423227735,0.8405692874718217,0.06010788866794273,0.5589894508416399,0.0,1.0,18,6,2,1032,329,0.3333333333333333,3.0,0.5,10.0,0.6,1.0,0.1,1.0,1.0,0.0615234375,0.0,0.5589894508416399,0.6666666666666666,0.2,1.0,0.5555555555555555,0.37404346466064453,1.0,0.43974986092010376,0.4,0.2,1.0,0.3333333333333333,0.37404346466064453,1.0,0.47398499736354666,0.5,0.5,1.0,0.3238095238095238,0.37404855933866643,1.0
mt5,random,masakhaner,masakhaner,f1_score,masakhaner::kin,kin,lrl,zul,lrl,hau,lrl,0.7240417728272778,0.8021357995781916,0.09735761300266124,0.498481258421031,0.0,1.0,18,6,2,1032,329,0.5,2.0,0.7,10.0,0.1,1.0,0.1,1.0,1.0,0.0009765625,0.0,0.498481258421031,1.0,0.3,1.0,1.0,0.5000103218480945,1.0,0.5004060458454537,0.8,0.4,1.0,0.76,0.5000337889128786,1.0,0.607154256581439,0.7,0.7,1.0,0.6083333333333333,0.5001060226185593,1.0
mt5,random,masakhaner,masakhaner,f1_score,masakhaner::lug,lug,lrl,yor,lrl,kin,lrl,0.7205298772490973,0.7750771193651876,0.07037653512564813,0.48517428550326,0.0,0.0,18,6,2,1032,329,0.05555555555555555,18.0,0.6,10.0,0.1,1.0,0.1,1.0,1.0,0.0009765625,0.0,0.48517428550326,1.0,0.3,1.0,1.0,0.15638260077685118,0.0,0.3816804132006997,0.6,0.3,1.0,0.6,0.15638260077685118,0.0,0.4797927689129675,0.6,0.6,1.0,0.4891666666666666,0.16547574813500115,0.0
mt5,random,masakhaner,masakhaner,f1_score,masakhaner::luo,luo,lrl,yor,lrl,kin,lrl,0.5850672180007596,0.6574446168578308,0.11008896719390515,0.02540861140189272,0.0,0.0,18,6,2,1032,329,0.05555555555555555,18.0,0.6,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02540861140189272,0.3333333333333333,0.1,1.0,0.1111111111111111,0.0003255208333333333,0.0,0.06638457590853418,0.4,0.2,1.0,0.14666666666666667,0.0016913731892903646,0.0,0.3252157280755694,0.6,0.6,1.0,0.3029761904761905,0.054634401013612735,0.0
mt5,random,masakhaner,masakhaner,f1_score,masakhaner::mos,mos,lrl,yor,lrl,wol,lrl,0.7548883414590704,0.8155419709860664,0.07437217419191822,0.05081722280378544,0.0,0.0,18,6,2,1032,329,0.0625,16.0,0.4,10.0,0.1,1.0,0.1,1.0,1.0,0.0009765625,0.0,0.05081722280378544,0.3333333333333333,0.1,1.0,0.3333333333333333,0.0009765625,0.0,0.07090789066145332,0.4,0.2,1.0,0.27999999999999997,0.0015619277954101562,0.0,0.18199506277977248,0.4,0.4,1.0,0.21749999999999997,0.03366412241421131,0.0
