model,aggregation,method_a,method_b,ndcg_p_value,performance_loss_p_value
xlm-r,paired_held_out_tasks,random,single_new_gen,0.03651666319576824,0.9642964594077611
xlm-r,paired_held_out_tasks,random,single_new_typ,0.00040515165245195886,0.3511773701118634
xlm-r,paired_held_out_tasks,random,single_new_geo,0.002264108247567176,0.505829371823457
xlm-r,paired_held_out_tasks,random,single_script,0.03641824150057656,0.33654472827748555
xlm-r,paired_held_out_tasks,random,single_distals_asjp,0.06607765617730728,0.8171119337375744
xlm-r,paired_held_out_tasks,random,single_distals_wiki_size,0.6596375639309421,0.0816615190186149
xlm-r,paired_held_out_tasks,random,composite_equal,0.0018991413210038054,0.07077111733462003
xlm-r,paired_held_out_tasks,random,rrf_equal,0.000547854070791566,0.04114793714372721
xlm-r,paired_held_out_tasks,random,lightgbm_lambdarank,0.006581975592124044,0.0355593289488541
xlm-r,paired_held_out_tasks,random,mlp_listnet,0.0008473570290582682,0.051148355729829946
xlm-r,paired_held_out_tasks,single_new_gen,single_new_typ,0.7292212840960215,0.4545257599560165
xlm-r,paired_held_out_tasks,single_new_gen,single_new_geo,0.5692800738624996,0.6132177436395141
xlm-r,paired_held_out_tasks,single_new_gen,single_script,0.09470134958833297,0.13267962404172443
xlm-r,paired_held_out_tasks,single_new_gen,single_distals_asjp,0.5481946871147362,0.6539018594557267
xlm-r,paired_held_out_tasks,single_new_gen,single_distals_wiki_size,0.10570884967618463,0.04167189454523121
xlm-r,paired_held_out_tasks,single_new_gen,composite_equal,0.28604603191097583,0.21728178378221935
xlm-r,paired_held_out_tasks,single_new_gen,rrf_equal,0.09775152794542596,0.15284078960607703
xlm-r,paired_held_out_tasks,single_new_gen,lightgbm_lambdarank,0.0760932889379336,0.011624139994280044
xlm-r,paired_held_out_tasks,single_new_gen,mlp_listnet,0.053910665099388674,0.09583206036548861
xlm-r,paired_held_out_tasks,single_new_typ,single_new_geo,0.728373817401815,0.825279839733011
xlm-r,paired_held_out_tasks,single_new_typ,single_script,0.002445483629335752,0.021974783988618685
xlm-r,paired_held_out_tasks,single_new_typ,single_distals_asjp,0.39761950052312456,0.5304600833554564
xlm-r,paired_held_out_tasks,single_new_typ,single_distals_wiki_size,0.0002422357803905624,0.0019327267071270573
xlm-r,paired_held_out_tasks,single_new_typ,composite_equal,0.39092877788314623,0.18385424287133748
xlm-r,paired_held_out_tasks,single_new_typ,rrf_equal,0.06075334043326055,0.09406417140312588
xlm-r,paired_held_out_tasks,single_new_typ,lightgbm_lambdarank,0.24435247213301314,0.1237564515180069
xlm-r,paired_held_out_tasks,single_new_typ,mlp_listnet,0.1592895409234289,0.19586363363363066
xlm-r,paired_held_out_tasks,single_new_geo,single_script,0.03219804081368531,0.11655766618344665
xlm-r,paired_held_out_tasks,single_new_geo,single_distals_asjp,0.26383852630745386,0.705381637503639
xlm-r,paired_held_out_tasks,single_new_geo,single_distals_wiki_size,0.020689994866578937,0.03098336641403374
xlm-r,paired_held_out_tasks,single_new_geo,composite_equal,0.626377096650636,0.08601253930330714
xlm-r,paired_held_out_tasks,single_new_geo,rrf_equal,0.21315064519232604,0.031592770289712344
xlm-r,paired_held_out_tasks,single_new_geo,lightgbm_lambdarank,0.4775813248319931,0.13320939205926552
xlm-r,paired_held_out_tasks,single_new_geo,mlp_listnet,0.32574598198304244,0.03103566634131932
xlm-r,paired_held_out_tasks,single_script,single_distals_asjp,0.30706298781540475,0.09883981891679487
xlm-r,paired_held_out_tasks,single_script,single_distals_wiki_size,0.2837455190059236,0.03940613570512164
xlm-r,paired_held_out_tasks,single_script,composite_equal,0.010292868986702085,0.038664359308613935
xlm-r,paired_held_out_tasks,single_script,rrf_equal,0.001743299667233956,0.021077588681515103
xlm-r,paired_held_out_tasks,single_script,lightgbm_lambdarank,0.009755055805741668,0.0044545315587306835
xlm-r,paired_held_out_tasks,single_script,mlp_listnet,0.0016444373039414695,0.01399013798962629
xlm-r,paired_held_out_tasks,single_distals_asjp,single_distals_wiki_size,0.18123448088101005,0.017228065096930298
xlm-r,paired_held_out_tasks,single_distals_asjp,composite_equal,0.017575084705119527,0.1355428794678674
xlm-r,paired_held_out_tasks,single_distals_asjp,rrf_equal,0.011281739552021016,0.07886815920603374
xlm-r,paired_held_out_tasks,single_distals_asjp,lightgbm_lambdarank,0.020489516413780356,0.0004809428149734804
xlm-r,paired_held_out_tasks,single_distals_asjp,mlp_listnet,0.01424545847053059,0.029761862821721444
xlm-r,paired_held_out_tasks,single_distals_wiki_size,composite_equal,0.010638400555534866,0.011765743802398119
xlm-r,paired_held_out_tasks,single_distals_wiki_size,rrf_equal,0.0017250255312855538,0.005039536289621
xlm-r,paired_held_out_tasks,single_distals_wiki_size,lightgbm_lambdarank,0.007223826600122857,0.0010959618349511164
xlm-r,paired_held_out_tasks,single_distals_wiki_size,mlp_listnet,0.005326554696728666,0.005167997570502134
xlm-r,paired_held_out_tasks,composite_equal,rrf_equal,0.12395262874984378,0.7065608575078423
xlm-r,paired_held_out_tasks,composite_equal,lightgbm_lambdarank,0.5132360524447542,0.8544231187971985
xlm-r,paired_held_out_tasks,composite_equal,mlp_listnet,0.41516327040343254,0.8887004244467571
xlm-r,paired_held_out_tasks,rrf_equal,lightgbm_lambdarank,0.8202830593133343,0.9553446424516231
xlm-r,paired_held_out_tasks,rrf_equal,mlp_listnet,0.5529884170275571,0.6830650670175324
xlm-r,paired_held_out_tasks,lightgbm_lambdarank,mlp_listnet,0.9009639895866101,0.6671485140739876
