model,method,held_out_task,dataset,performance_col,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,n_candidates,n_fitting_tasks,n_validation_tasks,n_fitting_queries,n_validation_queries,mrr,exact_best_rank,r_precision,relevant_count,ndcg@1,precision@1,recall@1,hit@1,map@1,err@1,exact_best_hit@1,ndcg@3,precision@3,recall@3,hit@3,map@3,err@3,exact_best_hit@3,ndcg@5,precision@5,recall@5,hit@5,map@5,err@5,exact_best_hit@5,ndcg@10,precision@10,recall@10,hit@10,map@10,err@10,exact_best_hit@10
xlm-r,random,masakhaner,masakhaner,f1_score,masakhaner::bam,bam,lrl,yor,lrl,fon,lrl,0.3717323147129109,0.3836450176574236,0.0310513688337539,0.5214792009556255,0.0,0.0,18,6,2,515,906,0.09090909090909091,11.0,0.4,10.0,0.9,1.0,0.1,1.0,1.0,0.4990234375,0.0,0.5214792009556255,0.6666666666666666,0.2,1.0,0.6666666666666666,0.4997572898864746,0.0,0.5307619078770914,0.6,0.3,1.0,0.55,0.5152449912857264,0.0,0.49060170073992837,0.4,0.4,1.0,0.3416666666666667,0.5163132482489345,0.0
xlm-r,random,masakhaner,masakhaner,f1_score,masakhaner::bbj,bbj,lrl,yor,lrl,yor,lrl,0.4213511765253693,0.4213511765253693,0.0,0.5081722280378544,1.0,1.0,18,6,2,515,906,1.0,1.0,0.4,10.0,1.0,1.0,0.1,1.0,1.0,0.9990234375,1.0,0.5081722280378544,0.3333333333333333,0.1,1.0,0.3333333333333333,0.9990234375,1.0,0.4686416759325756,0.4,0.2,1.0,0.3,0.9990270137786865,1.0,0.4904577554196394,0.4,0.4,1.0,0.22333333333333333,0.999040850264353,1.0
xlm-r,random,masakhaner,masakhaner,f1_score,masakhaner::ewe,ewe,lrl,yor,lrl,hau,lrl,0.5326476433076666,0.5397148000687414,0.013094243033866622,0.47066197815184,0.0,0.0,18,6,2,515,906,0.0625,16.0,0.6,10.0,0.8,1.0,0.1,1.0,1.0,0.2490234375,0.0,0.47066197815184,0.6666666666666666,0.2,1.0,0.6666666666666666,0.2501235008239746,0.0,0.4563501102453869,0.6,0.3,1.0,0.55,0.25579050998203456,0.0,0.5931441324549597,0.6,0.6,1.0,0.4572222222222222,0.30653367000054793,0.0
xlm-r,random,masakhaner,masakhaner,f1_score,masakhaner::fon,fon,lrl,yor,lrl,yor,lrl,0.5140029424473093,0.5140029424473093,0.0,0.5081722280378544,1.0,1.0,18,6,2,515,906,1.0,1.0,0.6,10.0,1.0,1.0,0.1,1.0,1.0,0.9990234375,1.0,0.5081722280378544,0.3333333333333333,0.1,1.0,0.3333333333333333,0.9990234375,1.0,0.5839066968954045,0.6,0.3,1.0,0.42000000000000004,0.9990852368995548,1.0,0.6060504735010195,0.6,0.6,1.0,0.3755555555555556,0.9990921146534633,1.0
xlm-r,random,masakhaner,masakhaner,f1_score,masakhaner::hau,hau,lrl,yor,lrl,luo,lrl,0.555890471515268,0.621295095416383,0.10527143121463348,0.40653778243028355,0.0,0.0,18,6,2,515,906,0.06666666666666667,15.0,0.7,10.0,0.7,1.0,0.1,1.0,1.0,0.1240234375,0.0,0.40653778243028355,0.6666666666666666,0.2,1.0,0.5555555555555555,0.1248788833618164,0.0,0.3816793418247814,0.6,0.3,1.0,0.4533333333333333,0.12743770238012075,0.0,0.4812691603595321,0.7,0.7,1.0,0.5097619047619047,0.13884318735926787,0.0
xlm-r,random,masakhaner,masakhaner,f1_score,masakhaner::ibo,ibo,lrl,xho,lrl,yor,lrl,0.2542825144000781,0.4912795924942488,0.48240774034786543,0.0,0.0,0.0,18,6,2,515,906,0.14285714285714285,7.0,0.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20135136483297597,0.4,0.2,1.0,0.13,0.12544078826904298,0.0,0.3626530108141977,0.5,0.5,1.0,0.20785714285714288,0.19645779505913621,1.0
xlm-r,random,masakhaner,masakhaner,f1_score,masakhaner::kin,kin,lrl,zul,lrl,lug,lrl,0.319016465849014,0.4946408419973537,0.3550543368783916,0.27525190782923276,0.0,0.0,18,6,2,515,906,0.05555555555555555,18.0,0.5,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27525190782923276,0.6666666666666666,0.2,1.0,0.38888888888888884,0.0628671646118164,0.0,0.21653716005490267,0.4,0.2,1.0,0.2333333333333333,0.0628671646118164,0.0,0.37128845429752416,0.5,0.5,1.0,0.2863095238095238,0.09856940563641568,0.0
xlm-r,random,masakhaner,masakhaner,f1_score,masakhaner::lug,lug,lrl,yor,lrl,luo,lrl,0.5765748531975625,0.6089540289840243,0.05317179006185904,0.7126464536866454,0.0,0.0,18,6,2,515,906,0.08333333333333333,12.0,0.6,10.0,0.7,1.0,0.1,1.0,1.0,0.1240234375,0.0,0.7126464536866454,1.0,0.3,1.0,1.0,0.2740157889202237,0.0,0.5606298623740734,0.6,0.3,1.0,0.6,0.2740157889202237,0.0,0.6098781030047201,0.6,0.6,1.0,0.4891666666666666,0.2795376497961559,0.0
xlm-r,random,masakhaner,masakhaner,f1_score,masakhaner::luo,luo,lrl,yor,lrl,kin,lrl,0.4233138589897044,0.4475331858039106,0.05411738745295647,0.3049033368227127,0.0,0.0,18,6,2,515,906,0.05555555555555555,18.0,0.5,10.0,0.6,1.0,0.1,1.0,1.0,0.0615234375,0.0,0.3049033368227127,0.3333333333333333,0.1,1.0,0.3333333333333333,0.0615234375,0.0,0.25532887579077856,0.4,0.2,1.0,0.27999999999999997,0.06170673370361328,0.0,0.3994543934235339,0.5,0.5,1.0,0.29,0.1042836782124497,0.0
xlm-r,random,masakhaner,masakhaner,f1_score,masakhaner::mos,mos,lrl,yor,lrl,fon,lrl,0.3621921935186909,0.471679707561552,0.23212258718714002,0.3557205596264981,0.0,0.0,18,6,2,515,906,0.09090909090909091,11.0,0.4,10.0,0.7,1.0,0.1,1.0,1.0,0.1240234375,0.0,0.3557205596264981,0.3333333333333333,0.1,1.0,0.3333333333333333,0.1240234375,0.0,0.27984082058552057,0.2,0.1,1.0,0.2,0.1240234375,0.0,0.3490692640511281,0.4,0.4,1.0,0.20666666666666664,0.13156088743959723,0.0
