model,method,n_tasks,n_queries,aggregation,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,mrr,exact_best_rank,r_precision,relevant_count,ndcg@1,precision@1,recall@1,hit@1,map@1,err@1,exact_best_hit@1,precision@3,recall@3,hit@3,map@3,err@3,exact_best_hit@3,ndcg@5,precision@5,recall@5,hit@5,map@5,err@5,exact_best_hit@5,ndcg@10,precision@10,recall@10,hit@10,map@10,err@10,exact_best_hit@10
xlm-r,lightgbm_lambdarank,9,1440,equal_weight_per_held_out_task,45.670378916353556,21.88398745958591,17.1464099794769,36.881070191758326,31.387380632210554,17.600691863690898,51.317796118530744,9.82087655709703,48.85117317933364,67.12553907149648,6.97514957246133,67.12553907149648,67.12553907149648,26.37879381710284,17.1464099794769,60.333344307222575,18.884018961931766,84.02640347241022,55.47719681582334,36.57898760072138,36.881070191758326,45.94491758705437,56.62247958508787,29.622978707284055,88.99917392887022,49.725499868909246,39.06568078933498,45.578802433784375,51.19577415000059,51.342950344109745,51.2022684908282,94.65696808544577,42.33958971965595,40.89686070095425,65.21810549127858
xlm-r,rrf_equal,9,1440,equal_weight_per_held_out_task,46.121526546861475,22.015487951921237,18.8287313951129,36.577279340313886,32.8527147270694,17.764203440876422,52.19675215670207,9.82087655709703,48.155969022818724,67.66544900025748,7.027178198762551,67.66544900025748,67.66544900025748,26.871741529496656,18.8287313951129,61.8371217337136,19.335583923154548,83.76909999613412,57.23104181684058,36.416255572599155,36.577279340313886,47.04243251700913,57.486204848335575,30.05252403556358,88.35438470234119,51.05445125489692,39.64899333791488,50.68799781129325,51.72189254757769,52.22892481668359,52.087645945308125,93.98298688371804,43.46576710081638,41.36067166405584,67.09150528862209
xlm-r,composite_equal,9,1440,equal_weight_per_held_out_task,44.09590441078631,22.403285044619153,19.130381061192338,34.01145235847642,32.30431617430051,17.966187498297792,52.12059546766773,9.82087655709703,47.211568858666425,65.81630010240907,6.841887724612625,65.81630010240907,65.81630010240907,26.63805216095331,19.130381061192338,60.372665349863915,18.892579236552844,83.66067497323293,55.40103831454474,35.54976259679526,34.01145235847642,45.6854071055016,57.63390166330588,30.125982400264792,88.70465958486206,50.60926152204775,38.836847531873055,49.31270720300381,51.0653864823424,52.156467380348936,52.01411157842298,93.96336752682835,43.36409300397763,40.498616746957545,66.4887141773008
xlm-r,mlp_listnet,9,1440,equal_weight_per_held_out_task,45.4266284272897,22.631450776464753,17.969941010416214,34.19932382306328,31.826744536827213,17.993816202278552,51.11838730754213,9.82087655709703,47.22779281194019,66.0621433369001,6.869048365069331,66.0621433369001,66.0621433369001,26.15388149651282,17.969941010416214,60.21719286578448,18.85431002719811,82.42902766712291,55.808340268255634,35.75018440989599,34.19932382306328,45.9590915878546,57.19766136279861,29.912542042529974,87.54051147939411,50.636139307520516,38.65334846243676,47.18263656948953,50.790915518053275,51.11681193133841,50.98109099959379,93.58480809268211,42.578593046271735,40.669578208868955,67.07499553154538
xlm-r,single_new_typ,9,1440,equal_weight_per_held_out_task,41.41672214858569,25.55009972368445,12.736420147886806,35.27965746785433,28.79838671081107,18.89952368507985,49.83825815874544,9.82087655709703,38.540961058334716,56.509936119688845,5.917621962228138,56.509936119688845,56.509936119688845,19.229536004782688,12.736420147886806,55.68682083086532,17.499124115561198,79.8921791888954,49.94542983944801,31.688178445634037,35.27965746785433,42.25951848575675,53.3609799352256,28.00255319167078,86.73239639821944,45.900498152369465,34.57584153168539,49.530938122421745,47.3791773049949,49.847257563770796,49.72225818667237,93.41417948560805,40.205706906409766,36.24874839670269,63.669095319061775
xlm-r,single_new_geo,9,1440,equal_weight_per_held_out_task,42.56076249149084,26.008017542197752,13.611419571842282,36.45445667185548,28.954116035661475,20.478659302734993,49.92240862899175,9.82087655709703,40.2922966424338,58.58817316630156,6.120587461273208,58.58817316630156,58.58817316630156,20.274553952232957,13.611419571842282,57.81441880589849,18.130683880991565,80.91757600709606,52.07315716699001,32.64514451060798,36.45445667185548,43.25227883685637,55.34002298460689,28.986470770533728,86.49115295862578,47.84297241786783,35.029094971518695,46.858465731928916,47.97372317656253,49.93628498258429,49.80304194944039,91.94966043766193,41.17869726579022,36.631656995923294,61.80333407318192
xlm-r,single_distals_asjp,9,1440,equal_weight_per_held_out_task,37.89472959691231,26.931871203654357,12.895597152079894,30.846815498454433,27.3626174975344,19.42846955310422,50.938016390362186,9.82087655709703,38.661416999360775,55.02106749684355,5.767559351048822,55.02106749684355,55.02106749684355,19.931018896488208,12.895597152079894,54.17681018519565,17.04839341579714,80.16276339814024,47.32116195613631,29.31248786640177,30.846815498454433,40.37928967410181,53.34628387108998,28.000740608594047,85.68678057241988,44.5367198019919,32.44121953230493,39.86737249285844,47.20981126665946,50.943484776137275,50.82022882461965,92.83666627686125,40.34058920915711,34.78663255364044,61.83687957277935
xlm-r,random,9,1440,equal_weight_per_held_out_task,29.224506131922404,27.524915099870576,7.619920867977031,17.45225132719459,18.511933414483945,24.175284833663554,45.152243285527305,9.82087655709703,32.737690570873426,52.48192362757811,5.5106688019806676,52.48192362757811,52.48192362757811,13.213152825438236,7.619920867977031,45.06392027798891,14.31728614371268,69.31694268236905,40.327950689498145,18.383846217721796,17.45225132719459,31.55344857482923,44.20533134802075,23.433030607913206,77.8805927760746,37.021359477504106,22.004800312693916,31.117551962651916,39.44253041691594,45.15178706726721,45.03003004659188,89.40936684984302,34.8397849035356,24.27141055505732,48.81612614401772
xlm-r,single_new_gen,9,1440,equal_weight_per_held_out_task,39.96976394497161,27.66993101678291,10.899887397652481,26.94975328912534,24.89706389110504,21.702469584080106,49.87897752226099,9.82087655709703,37.2936406678957,52.552203676989066,5.5197757235386185,52.552203676989066,52.552203676989066,17.38675744083187,10.899887397652481,56.52609351836093,17.749284219996927,79.3797876125743,49.708990162409364,27.443434064531843,26.94975328912534,41.46824109525027,55.50157688043742,29.06856333040519,85.32396368729327,47.286285121063095,30.671294969261606,45.53628260496316,46.5744645761241,49.89551419284956,49.76817866197867,91.9447867976177,40.819710822604144,32.24548019862619,57.617096623618835
xlm-r,single_script,9,1440,equal_weight_per_held_out_task,33.53413222567783,30.47452308333628,4.514424502707218,19.991075902705372,18.787397965935863,21.557608003642628,48.19626453747703,9.82087655709703,31.865720584152363,48.03376986558859,5.069423248684466,48.03376986558859,48.03376986558859,8.493522011268384,4.514424502707218,52.678292834202615,16.596435111194936,77.38599028716547,44.91020552261801,18.693828676278176,19.991075902705372,36.53579340426991,52.28581145204396,27.464470039922723,84.74072765433549,43.02137308012709,22.74349453995178,36.76371724067243,42.96591069247064,48.1967708441743,48.06440061502647,91.72636922636923,38.09002691624263,24.79068073564233,55.794802205415344
