model,method,aggregation,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,mrr,exact_best_rank,r_precision,relevant_count,ndcg@1,precision@1,recall@1,hit@1,map@1,err@1,exact_best_hit@1,precision@3,recall@3,hit@3,map@3,err@3,exact_best_hit@3,ndcg@5,precision@5,recall@5,hit@5,map@5,err@5,exact_best_hit@5,ndcg@10,precision@10,recall@10,hit@10,map@10,err@10,exact_best_hit@10
xlm-r,composite_equal,equal_weight_per_target_query,34.87065161232887,25.899093617566482,20.694444444444443,30.138888888888886,1440,30.130919567929666,21.466666666666665,32.77437221106794,10.152083333333334,43.82638888888889,59.166666666666664,5.867340820683758,59.166666666666664,59.166666666666664,27.142062717013886,20.694444444444443,43.51851851851852,12.922778934155785,79.79166666666667,38.04783950617284,33.22901569218461,30.138888888888886,33.30120061162882,38.55555555555556,19.07811533892,86.80555555555556,30.255787037037035,34.99095787437349,36.31944444444444,35.61832302743132,32.83333333333333,32.289591371602775,93.26388888888889,21.760912698412703,36.74412729625593,47.638888888888886
xlm-r,rrf_equal,equal_weight_per_target_query,33.55443111771187,28.177584801101446,17.569444444444443,28.40277777777778,1440,28.026884122442702,21.653472222222224,32.292816621626955,10.152083333333334,40.33333333333333,54.93055555555556,5.445518430111367,54.93055555555556,54.93055555555556,24.210001627604168,17.569444444444443,42.916666666666664,12.74208308679327,77.77777777777779,36.85185185185185,30.798250310450655,28.40277777777778,32.41464470233836,37.94444444444445,18.76022933454206,85.55555555555556,29.376388888888886,32.94080170928257,36.18055555555556,34.731476687086555,32.36805555555555,31.821959052909772,93.19444444444444,21.11591159611993,34.87043641662423,49.236111111111114
xlm-r,mlp_listnet,equal_weight_per_target_query,31.753131568917436,30.07964502392892,16.944444444444446,27.361111111111114,1440,26.832771025794155,22.324305555555554,31.36383934889968,10.152083333333334,37.02083333333334,51.388888888888886,5.0965503366579785,51.388888888888886,51.388888888888886,22.523328993055554,16.944444444444446,40.856481481481474,12.137088158881673,74.93055555555556,34.98456790123457,29.01283021759742,27.361111111111114,30.79728717549079,36.68055555555556,18.14465142628942,84.09722222222223,28.0712962962963,30.931759418604265,33.81944444444444,33.26084943998842,31.361111111111107,30.83796268529271,92.84722222222223,20.24516644620811,32.88070960395858,46.59722222222222
xlm-r,single_new_geo,equal_weight_per_target_query,30.734150354782404,33.37814338725054,12.36111111111111,28.194444444444443,1440,23.642097463355245,26.290277777777778,28.79998859816168,10.152083333333334,32.50347222222223,46.94444444444444,4.648461320554258,46.94444444444444,46.94444444444444,17.843017578125,12.36111111111111,41.08796296296296,12.194208507668693,77.5,33.80787037037037,27.117974641258584,28.194444444444443,30.494747759008956,37.527777777777786,18.564283225521237,84.58333333333333,27.828472222222224,28.80714611962192,33.33333333333333,30.88365304364023,28.826388888888893,28.304476623163033,91.18055555555556,18.949465388007056,30.032104257946507,39.23611111111111
xlm-r,lightgbm_lambdarank,equal_weight_per_target_query,28.82828306199871,35.09734030777139,12.986111111111112,28.055555555555557,1440,25.02209506858504,21.193055555555556,31.860823075050078,10.152083333333334,30.451388888888886,43.19444444444444,4.283454096478406,43.19444444444444,43.19444444444444,17.927381727430554,12.986111111111112,38.333333333333336,11.382635010391171,72.22222222222221,31.49691358024691,25.977019567637598,28.055555555555557,28.74904951134703,35.52777777777778,17.56777437304974,83.26388888888889,26.016203703703706,28.041700016444576,34.65277777777778,32.31172450766376,31.888888888888882,31.357182504497942,93.88888888888889,19.52716049382716,30.199284031144035,48.19444444444444
xlm-r,single_new_typ,equal_weight_per_target_query,27.859051194538065,36.14721806679043,12.5,36.80555555555556,1440,28.51076254431003,21.366666666666667,28.930886329634127,10.152083333333334,24.738811728395067,34.93055555555556,3.4582226149969246,34.93055555555556,34.93055555555556,15.904608832465279,12.5,35.18518518518518,10.433265746725928,76.25,26.73225308641975,29.806430781221326,36.80555555555556,27.066384460695915,31.91666666666667,15.763643426804192,84.65277777777777,21.742824074074075,31.597915452398727,42.986111111111114,30.195171538863207,28.97222222222223,28.453609305666127,92.91666666666667,16.678356481481483,33.251446448008906,53.95833333333333
xlm-r,random,equal_weight_per_target_query,20.304069393675235,37.59019513966314,2.7777777777777777,15.625,1440,16.037284345375767,25.985416666666666,29.840015287127684,10.152083333333334,21.895833333333332,39.09722222222222,3.875026450263404,39.09722222222222,39.09722222222222,6.857706705729166,2.7777777777777777,30.115740740740737,8.94168065338289,61.38888888888889,24.77623456790123,14.23004937528512,15.625,21.705388659468845,28.26388888888889,13.961824585727406,75.34722222222221,19.760185185185183,18.238684678344363,33.05555555555556,27.369030364747744,29.847222222222225,29.33314757972773,88.81944444444444,17.00868882275132,20.219465007792614,45.06944444444444
xlm-r,single_distals_asjp,equal_weight_per_target_query,24.67202417102839,39.96042369444213,8.75,21.52777777777778,1440,19.766381694903735,24.41111111111111,30.397480544305584,10.152083333333334,23.885416666666664,35.0,3.470132387323363,35.0,35.0,13.076850043402777,8.75,34.88425925925926,10.373518196386982,67.91666666666667,27.12577160493827,20.2345008763088,21.52777777777778,25.057147392661804,32.861111111111114,16.2775336865804,79.375,22.876851851851853,22.308505269708192,28.61111111111111,29.016382701710704,30.374999999999996,29.887140415758473,91.73611111111111,17.809669863315698,24.512133229414253,40.69444444444444
xlm-r,single_new_gen,equal_weight_per_target_query,20.787184854194294,44.58623060593847,6.597222222222222,17.84722222222222,1440,16.211318501225453,27.55763888888889,29.75428969829611,10.152083333333334,16.01388888888889,23.75,2.343500463510067,23.75,23.75,9.239501953125,6.597222222222222,33.35648148148148,9.901921171791937,68.125,23.722993827160494,15.640652374993943,17.84722222222222,23.86810142260909,35.72222222222222,17.663944684251323,81.875,22.744212962962962,18.2578489348843,25.13888888888889,26.375543685484665,29.791666666666668,29.277233279503296,90.83333333333333,17.17736717372134,19.516430617697587,30.76388888888889
xlm-r,single_script,equal_weight_per_target_query,21.020629959410954,44.94869893143826,2.361111111111111,9.51388888888889,1440,13.094989531745375,24.082638888888887,34.14015993281831,10.152083333333334,19.677189141029782,21.875,2.15517728070159,21.875,21.875,4.318644205729167,2.361111111111111,38.032407407407405,11.289451613328463,74.44444444444444,25.27006172839506,11.558715119134394,9.51388888888889,22.61743141851787,40.625,20.1177366254353,84.23611111111111,25.599537037037035,14.547744388169223,16.38888888888889,27.95454973085546,34.20138888888889,33.65623928462165,91.18055555555556,19.84365354938272,18.383733987493383,54.513888888888886
