model,method,hrl->hrl,hrl->mrl,hrl->lrl,mrl->hrl,mrl->mrl,mrl->lrl,lrl->hrl,lrl->mrl,lrl->lrl,*->hrl,*->mrl,*->lrl
xlm-r,random,3.470797996155216,15.820149377458268,55.923551635847076,18.486954905936003,11.729262450759908,37.97940806836018,32.63585055031604,42.52419028484608,41.987198439194216,22.709942067615003,19.673296383800114,41.21597120015092
xlm-r,single_new_gen,17.226767920200768,24.382705798369557,60.84792128292781,14.975973813042915,6.411185526924978,31.772605747567585,26.131938962948738,23.74583880670168,26.617773775044117,18.557643307318788,15.805127921919496,50.4818789702176
xlm-r,single_new_typ,13.50385250788157,17.655199306361016,35.3786014205949,13.958561846833117,10.836075998268557,42.45507829559399,34.22646741406582,18.848308773013773,35.72950563142236,18.934596370850983,13.557916260680964,40.66658018382763
xlm-r,single_new_geo,17.768730517754122,19.250092786967492,39.659334473703964,14.764925230389375,12.693841844485945,36.40859119797062,40.03334585773221,31.17009944517461,34.27102641972327,22.464692224749843,18.484871795087056,36.34319249603412
xlm-r,single_script,,12.12029806824535,32.520689691394885,19.77527273455606,14.442712886515432,54.81515350447326,28.5000207689526,32.48413418300074,34.403929257911294,22.828934546594848,23.743381209163473,49.39122968783666
xlm-r,single_distals_asjp,18.75903347340799,18.085748289350885,60.316523772653696,19.88845976661826,9.789721668157847,44.576368940214586,27.43080677156066,22.521701769644096,31.936664861907637,22.89630764240698,13.757390827960888,45.10538634403064
xlm-r,single_distals_wiki_size,13.452640833370703,20.694931145396758,23.47704517203926,20.390193446119113,21.626572927880567,58.2512491310789,0.9375565918901124,29.700316647207647,41.631189266816584,16.01678634623427,22.858226908379958,53.224046063530636
xlm-r,composite_equal,10.8081819862245,17.46022034162944,41.75518537021213,11.078112755729599,10.961101749448119,21.572548529353618,9.699725249628651,20.248588986045526,30.785749966636455,10.858576432803586,13.3987814314769,28.58507148845335
xlm-r,rrf_equal,16.82341665406166,17.60027787527031,39.736000342671275,11.44740034165201,10.299901926750334,28.353569259641066,14.528766451888831,22.659817978732715,29.657669609450892,13.002838980320583,13.546262856368527,31.23992104047702
xlm-r,lightgbm_lambdarank,13.253367816823053,13.11233807193291,46.34861598726529,9.371634785171103,8.784254974013628,43.48347309463488,21.41982994391768,13.544122270546573,27.17053532254331,11.245682679990084,10.404964069591403,40.20646829657398
xlm-r,mlp_listnet,10.8081819862245,17.16489533152117,47.8724057471278,12.494828269588298,9.78458862571762,30.207184744347398,20.337269716313664,19.167518651705386,28.552390955707622,14.748458640185378,12.833367754189656,33.603531875821126
