method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,conformal_alpha,conformal_best_source_coverage,conformal_average_set_size,conformal_singleton_rate,conformal_empty_rate,conformal_best_in_set_performance_loss
lightgbm_lambdarank,31.53848844400184,11.331289881231598,16.842105263157894,28.947368421052634,190,0.1,94.21052631578948,150.8,0.0,0.0,0.16480237203492112
single_new_gen,26.454088894888283,11.689196560473132,18.421052631578945,21.578947368421055,190,0.1,94.21052631578948,162.70526315789473,0.0,0.0,0.0923294069960012
composite_pairwise_nested,27.528801525956965,11.959907742296805,18.421052631578945,23.157894736842106,190,0.1,93.6842105263158,167.3684210526316,0.0,0.0,0.11610760486814825
rrf_pairwise_nested,26.865355507443073,12.024384798398698,18.421052631578945,20.526315789473685,190,0.1,91.05263157894737,160.42631578947368,0.0,0.0,0.1925505048646871
rrf_equal,26.924153787646787,12.151790175836371,18.421052631578945,20.526315789473685,190,0.1,91.57894736842105,160.49473684210525,0.0,0.0,0.1893501559144243
composite_equal,27.51284033244134,12.189023204059101,18.421052631578945,21.578947368421055,190,0.1,94.73684210526315,167.12105263157895,0.0,0.0,0.07108424607337835
mlp_listnet,26.033056346034154,12.435795529397407,18.421052631578945,20.526315789473685,190,0.1,95.78947368421052,165.29473684210527,0.0,0.0,0.12564018647704564
single_new_typ,23.680223258689022,12.607828320543046,16.842105263157894,18.421052631578945,190,0.1,90.0,160.16315789473686,0.0,0.0,0.14977012218811012
single_new_geo,25.205779068358865,13.139529026453667,18.421052631578945,20.526315789473685,190,0.1,92.10526315789474,170.1421052631579,0.0,0.0,0.2628904248511438
single_script,11.04725061447819,16.994053995651402,1.5789473684210527,7.894736842105263,190,0.1,96.84210526315789,172.94736842105263,0.0,0.0,0.04413029279910995
random,6.286613442815321,55.540207723642176,0.0,3.684210526315789,190,0.1,97.36842105263158,168.0,0.0,0.0,0.06380918807578755
