method_a,method_b,ndcg_p_value,performance_loss_p_value
random,single_new_gen,5.747765243007954e-13,1.5156277669446983e-49
random,single_new_typ,1.288521986669863e-11,1.0785193202342153e-48
random,single_new_geo,8.904701943676348e-12,4.1783415895573595e-47
random,single_script,0.0010652271507507797,9.896286249742826e-56
random,composite_equal,2.6222993182840346e-13,1.3078520845789648e-48
random,rrf_equal,3.1374301251485785e-13,1.2266462239393433e-48
random,composite_pairwise_nested,3.1332916262237286e-13,1.3425762480416424e-48
random,rrf_pairwise_nested,7.913450425987293e-13,7.802519570776549e-48
random,lightgbm_lambdarank,5.071024540645107e-21,7.932897499689933e-61
random,mlp_listnet,1.4644615276430405e-14,1.0231164541357638e-47
single_new_gen,single_new_typ,0.05932901210584606,0.3901344520211519
single_new_gen,single_new_geo,0.17968363349287958,0.0649605968552663
single_new_gen,single_script,2.3406092100598015e-12,0.6235884457708409
single_new_gen,composite_equal,0.357238372272168,0.3907783057225839
single_new_gen,rrf_equal,0.4314112465957235,0.44944401992578237
single_new_gen,composite_pairwise_nested,0.11304402153310376,0.29188088899947195
single_new_gen,rrf_pairwise_nested,0.7075015999513523,0.25310255323889846
single_new_gen,lightgbm_lambdarank,4.809677057293418e-05,0.03965530262953548
single_new_gen,mlp_listnet,0.7834265652969624,0.16363394904010356
single_new_typ,single_new_geo,0.43234838646665386,0.2573992558670012
single_new_typ,single_script,1.2615646807582559e-09,0.8147406671441065
single_new_typ,composite_equal,0.0036373256559622297,0.9128305259581698
single_new_typ,rrf_equal,0.007669782975582543,0.8363723164425927
single_new_typ,composite_pairwise_nested,0.0020737321887040715,0.7533400364655133
single_new_typ,rrf_pairwise_nested,0.0034988556350647655,0.7287707332417289
single_new_typ,lightgbm_lambdarank,1.2152284363169342e-06,0.017298495156455932
single_new_typ,mlp_listnet,0.028039562764094035,0.5574534658104573
single_new_geo,single_script,6.691584839206997e-10,0.8444015183630921
single_new_geo,composite_equal,0.014353609530541331,0.17147042558194198
single_new_geo,rrf_equal,0.014547901761231951,0.1638057886136392
single_new_geo,composite_pairwise_nested,0.010583275826929264,0.1935092856682752
single_new_geo,rrf_pairwise_nested,0.03126148477475882,0.27987233056355554
single_new_geo,lightgbm_lambdarank,4.059924126857647e-06,0.006309791214118632
single_new_geo,mlp_listnet,0.11683321037323921,0.3365069463949545
single_script,composite_equal,1.5636000167177383e-12,0.787620596923309
single_script,rrf_equal,7.077287097983663e-12,0.766628026490856
single_script,composite_pairwise_nested,3.083767844158929e-12,0.7523778007377495
single_script,rrf_pairwise_nested,7.682109196091378e-12,0.8530094659762715
single_script,lightgbm_lambdarank,2.450704276850154e-20,0.036589190091855045
single_script,mlp_listnet,3.8865900045968574e-14,0.9277145044924894
composite_equal,rrf_equal,0.7418826995720018,0.22000712806892592
composite_equal,composite_pairwise_nested,0.3928383564507556,0.7898382285943064
composite_equal,rrf_pairwise_nested,0.49580131313229825,0.7537098605255284
composite_equal,lightgbm_lambdarank,0.00034009503050952357,0.02184531693373789
composite_equal,mlp_listnet,0.47947931757317575,0.24981423106889844
rrf_equal,composite_pairwise_nested,0.3051234651735168,0.9026851291883713
rrf_equal,rrf_pairwise_nested,0.6478733402400458,0.6730708290468742
rrf_equal,lightgbm_lambdarank,0.0002113268647213536,0.02395007189633891
rrf_equal,mlp_listnet,0.6352227449766863,0.20291031009566882
composite_pairwise_nested,rrf_pairwise_nested,0.22089044501885155,0.5662005458198661
composite_pairwise_nested,lightgbm_lambdarank,0.0008378811827412909,0.024932100021642818
composite_pairwise_nested,mlp_listnet,0.21923177909776495,0.3436683220841506
rrf_pairwise_nested,lightgbm_lambdarank,0.00015886934369161132,0.01697981183283777
rrf_pairwise_nested,mlp_listnet,0.9368766600171191,0.6383481941971111
lightgbm_lambdarank,mlp_listnet,3.160746762063019e-05,0.013233631539447923
