method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,conformal_alpha,conformal_best_source_coverage,conformal_average_set_size,conformal_singleton_rate,conformal_empty_rate,conformal_best_in_set_performance_loss
lightgbm_lambdarank,25.964997007276548,18.274231704891093,16.842105263157894,28.947368421052634,190,0.1,94.73684210526315,145.80526315789473,0.0,0.0,0.14266172871137395
single_new_gen,19.160498476023236,22.355302211188253,13.684210526315791,17.36842105263158,190,0.1,89.47368421052632,159.14736842105262,0.0,0.0,0.25622214905201945
composite_pairwise_nested,20.22934503880192,22.782199807150587,13.684210526315791,17.894736842105264,190,0.1,91.57894736842105,167.18947368421053,0.0,0.0,0.11200953796180668
rrf_equal,19.702851589212898,22.84110808291659,13.684210526315791,17.36842105263158,190,0.1,90.0,162.7842105263158,0.0,0.0,0.33473440618164074
composite_equal,19.849801834133594,22.909847829515577,13.684210526315791,18.421052631578945,190,0.1,91.57894736842105,168.43684210526317,0.0,0.0,0.11473088092710117
single_new_typ,17.36515623065286,22.986291511240665,11.578947368421053,13.684210526315791,190,0.1,90.52631578947368,160.83684210526314,0.0,0.0,0.20380523182179291
rrf_pairwise_nested,19.426967836636884,23.102814143346446,13.684210526315791,16.315789473684212,190,0.1,92.10526315789474,161.8842105263158,0.0,0.0,0.47817402220471616
mlp_listnet,19.36840093080701,23.33739888391531,13.684210526315791,17.36842105263158,190,0.1,93.15789473684211,163.44736842105263,0.0,0.0,0.10455015324982422
single_script,7.999049648477214,23.5575629400303,2.1052631578947367,10.0,190,0.1,96.3157894736842,172.94736842105263,0.0,0.0,0.10389655374760268
single_new_geo,18.065324605975754,24.01294107470274,13.684210526315791,16.842105263157894,190,0.1,93.6842105263158,170.57894736842104,0.0,0.0,0.2007898367271443
random,4.385567228762639,80.231598579777,0.0,1.5789473684210527,190,0.1,90.52631578947368,152.23157894736843,0.0,0.0,0.14239190612780048
