method_a,method_b,ndcg_p_value,performance_loss_p_value
random,single_new_gen,0.002064651633231238,0.007993222926316029
random,single_new_typ,0.011519098518748137,0.36887609962935436
random,single_new_geo,0.0005303339772647349,0.07323544762418256
random,single_script,0.019919370259961034,0.987146983043023
random,single_distals_asjp,0.0024856562225142663,0.03991298477678491
random,single_distals_wiki_size,0.8603667764332733,0.9410998455432934
random,composite_equal,0.00881522405306352,0.6943025210797256
random,rrf_equal,0.00202033728158684,0.9578532012366262
random,lightgbm_lambdarank,0.00031217041164275966,0.9797138000744768
random,mlp_listnet,3.123633674923103e-05,0.040757012902806866
single_new_gen,single_new_typ,0.19758823811994938,0.04056677578757735
single_new_gen,single_new_geo,0.9634138534408953,0.1283993877844835
single_new_gen,single_script,0.03284307449056697,0.014389959712369749
single_new_gen,single_distals_asjp,0.7989738660475754,0.34627536455757635
single_new_gen,single_distals_wiki_size,0.0019405760434849947,0.037140820831563726
single_new_gen,composite_equal,0.24319362107816148,0.051961088040784906
single_new_gen,rrf_equal,0.5130768177119804,0.0906111246285739
single_new_gen,lightgbm_lambdarank,0.31640525721484436,0.10153293640997714
single_new_gen,mlp_listnet,0.15358068158998014,0.8601513360945714
single_new_typ,single_new_geo,0.10820576432295632,0.08588411312415305
single_new_typ,single_script,0.31729210542522884,0.3550558576626749
single_new_typ,single_distals_asjp,0.08778246289191154,0.03503653350731998
single_new_typ,single_distals_wiki_size,0.016745999646807726,0.4091843031628004
single_new_typ,composite_equal,0.7437067779455834,0.44184143954475535
single_new_typ,rrf_equal,0.0959667717380311,0.21004782874829947
single_new_typ,lightgbm_lambdarank,0.03137975397314271,0.47036937416782343
single_new_typ,mlp_listnet,0.028075009565984473,0.05271111478160418
single_new_geo,single_script,0.021927010304411704,0.06718663896082286
single_new_geo,single_distals_asjp,0.7987466487744878,0.5860036443748301
single_new_geo,single_distals_wiki_size,0.0007374770891823978,0.10463520957644398
single_new_geo,composite_equal,0.1910090367552406,0.12699052300522562
single_new_geo,rrf_equal,0.37794078584663404,0.2260288761520765
single_new_geo,lightgbm_lambdarank,0.2683451618078916,0.2703585735749729
single_new_geo,mlp_listnet,0.19965651352669928,0.44002736435305756
single_script,single_distals_asjp,0.02535756117040214,0.05050923063549838
single_script,single_distals_wiki_size,0.0009645688214017004,0.9350771512389692
single_script,composite_equal,0.17493120456621208,0.6851476254109473
single_script,rrf_equal,0.06363741691265987,0.9506464426465875
single_script,lightgbm_lambdarank,0.0036818395929673433,0.974068012643156
single_script,mlp_listnet,0.0008913938127376727,0.05351888704372054
single_distals_asjp,single_distals_wiki_size,0.00096757269482187,0.03417243786410669
single_distals_asjp,composite_equal,0.07292474292755781,0.032685090243926795
single_distals_asjp,rrf_equal,0.4027979016495903,0.08777615640973456
single_distals_asjp,lightgbm_lambdarank,0.3219420204922781,0.11836915330866017
single_distals_asjp,mlp_listnet,0.38296353568921265,0.7015133771895851
single_distals_wiki_size,composite_equal,0.003121071925949649,0.7367617848674725
single_distals_wiki_size,rrf_equal,0.0026966962889603922,0.9965483017603962
single_distals_wiki_size,lightgbm_lambdarank,0.00025211210228304735,0.9779155835402004
single_distals_wiki_size,mlp_listnet,8.141831859898191e-05,0.09923661756656674
composite_equal,rrf_equal,0.3940882139122982,0.1744114894196824
composite_equal,lightgbm_lambdarank,0.018412020825006332,0.7492616204151396
composite_equal,mlp_listnet,0.02121327402706341,0.0968147237217459
rrf_equal,lightgbm_lambdarank,0.13133953385691152,0.9869685727537609
rrf_equal,mlp_listnet,0.0744371920663931,0.1548748804372469
lightgbm_lambdarank,mlp_listnet,0.8550605252486657,0.22342412746614035
