method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
random,masakhaner_mt5::bam,bam,lrl,yor,lrl,kin,lrl,0.6474575089715479,0.7389785916820414,0.12384808401847736,0.0,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.7389785916820414,0.0,"swa,tsn,sna,nya,pcm,yor,zul,xho,wol,fon,hau,ewe,bbj,luo,lug,mos,ibo,kin",10,0.5555555555555556,1.0,0.0,0.7320926129440425,0.009318238465237858,"swa,sna,nya,yor,zul,xho,ewe,bbj,luo,ibo"
random,masakhaner_mt5::bbj,bbj,lrl,yor,lrl,mos,lrl,0.6482846438873014,0.7066512958862919,0.08259611542321764,0.0,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.7066512958862919,0.0,"swa,tsn,pcm,nya,sna,yor,zul,xho,wol,fon,hau,bam,ewe,luo,lug,mos,ibo,kin",10,0.5555555555555556,1.0,0.0,0.6863613714071861,0.02871278181646567,"swa,pcm,nya,yor,zul,xho,bam,ewe,luo,ibo"
random,masakhaner_mt5::ewe,ewe,lrl,yor,lrl,kin,lrl,0.7354257927702285,0.8068548308948001,0.08852774426021227,0.0,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8068548308948001,0.0,"swa,sna,tsn,nya,pcm,yor,wol,xho,hau,fon,bam,bbj,luo,mos,ibo,kin,lug,zul",10,0.5555555555555556,1.0,0.0,0.7791738348008703,0.0343072818480019,"swa,tsn,nya,yor,wol,xho,bbj,luo,mos,lug"
random,masakhaner_mt5::fon,fon,lrl,yor,lrl,hau,lrl,0.6916229705034653,0.7309709476493796,0.05382974148623499,0.31155682328159817,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.7309709476493796,0.0,"swa,tsn,nya,sna,pcm,yor,zul,wol,xho,ewe,hau,bam,bbj,luo,mos,ibo,lug,kin",10,0.5555555555555556,1.0,0.0,0.7191398630043864,0.016185437578660398,"swa,nya,sna,yor,zul,wol,bam,bbj,luo,lug"
random,masakhaner_mt5::hau,hau,lrl,yor,lrl,kin,lrl,0.7210566429560229,0.8159562972754614,0.11630482494750695,0.05081722280378544,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8159562972754614,0.0,"swa,tsn,sna,nya,pcm,yor,xho,zul,wol,fon,ewe,bam,bbj,lug,mos,luo,ibo,kin",10,0.5555555555555556,0.0,0.0,0.7639342759325071,0.06375589172687274,"swa,sna,nya,yor,xho,zul,bam,bbj,lug,ibo"
random,masakhaner_mt5::ibo,ibo,lrl,xho,lrl,nya,lrl,0.7900444423227735,0.8405692874718217,0.06010788866794273,0.5589894508416399,0.0,1.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8405692874718217,0.0,"tsn,swa,nya,sna,pcm,xho,yor,wol,fon,ewe,hau,bam,bbj,luo,lug,mos,kin,zul",10,0.5555555555555556,1.0,1.0,0.8405692874718217,0.0,"tsn,nya,sna,xho,yor,wol,bam,bbj,luo,kin"
random,masakhaner_mt5::kin,kin,lrl,zul,lrl,hau,lrl,0.7240417728272778,0.8021357995781916,0.09735761300266124,0.498481258421031,0.0,1.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8021357995781916,0.0,"swa,tsn,pcm,nya,sna,zul,yor,xho,wol,fon,ewe,hau,bam,bbj,luo,mos,ibo,lug",10,0.5555555555555556,1.0,1.0,0.8021357995781916,0.0,"swa,pcm,nya,zul,yor,xho,hau,bam,bbj,ibo"
random,masakhaner_mt5::lug,lug,lrl,yor,lrl,kin,lrl,0.7205298772490973,0.7750771193651876,0.07037653512564813,0.48517428550326,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.7750771193651876,0.0,"swa,tsn,nya,sna,pcm,yor,zul,wol,xho,fon,ewe,hau,bbj,bam,luo,mos,ibo,kin",10,0.5555555555555556,1.0,0.0,0.7662324730119899,0.011411311380784593,"swa,nya,sna,yor,zul,wol,hau,bbj,bam,ibo"
random,masakhaner_mt5::luo,luo,lrl,yor,lrl,kin,lrl,0.5850672180007596,0.6574446168578308,0.11008896719390515,0.02540861140189272,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.6574446168578308,0.0,"swa,sna,tsn,nya,pcm,yor,zul,wol,xho,hau,fon,bam,ewe,bbj,lug,mos,ibo,kin",10,0.5555555555555556,1.0,0.0,0.6410516471104853,0.024934373674992606,"swa,tsn,nya,yor,zul,wol,bam,ewe,bbj,ibo"
random,masakhaner_mt5::mos,mos,lrl,yor,lrl,wol,lrl,0.7548883414590704,0.8155419709860664,0.07437217419191822,0.05081722280378544,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8155419709860664,0.0,"swa,sna,tsn,nya,pcm,yor,xho,zul,wol,fon,hau,bam,ewe,bbj,luo,ibo,lug,kin",10,0.5555555555555556,1.0,0.0,0.8053169701038407,0.012537675859726366,"swa,tsn,nya,yor,xho,zul,bam,ewe,bbj,lug"
random,masakhaner_mt5::nya,nya,lrl,xho,lrl,swa,lrl,0.7787629602924762,0.8366831239437063,0.069225925554974,0.27949472542081993,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8366831239437063,0.0,"tsn,swa,pcm,sna,yor,xho,zul,wol,fon,ewe,bam,bbj,hau,luo,lug,mos,kin,ibo",10,0.5555555555555556,1.0,0.0,0.8073876880154686,0.03501377653006032,"tsn,pcm,sna,xho,zul,wol,bbj,hau,luo,kin"
random,masakhaner_mt5::pcm,pcm,lrl,xho,lrl,kin,lrl,0.7569447093831497,0.8401349560976066,0.09902009922414398,0.10163444560757089,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8401349560976066,0.0,"swa,tsn,sna,yor,zul,xho,wol,nya,hau,fon,bam,bbj,ewe,luo,mos,lug,ibo,kin",10,0.5555555555555556,1.0,0.0,0.8179671113362444,0.026386052146111012,"swa,sna,yor,xho,wol,nya,bbj,ewe,luo,ibo"
random,masakhaner_mt5::sna,sna,lrl,yor,lrl,nya,lrl,0.7422920553519894,0.8425038788629909,0.11894523695990974,0.05081722280378544,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8425038788629909,0.0,"bam,swa,tsn,nya,pcm,yor,zul,xho,wol,fon,hau,ewe,bbj,luo,lug,mos,ibo,kin",10,0.5555555555555556,1.0,1.0,0.8425038788629909,0.0,"bam,tsn,nya,yor,zul,xho,ewe,bbj,luo,ibo"
random,masakhaner_mt5::swa,swa,lrl,yor,lrl,nya,lrl,0.6325184019185999,0.8105279224840921,0.21962170040969312,0.2540861140189272,0.0,1.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8105279224840921,0.0,"sna,tsn,nya,pcm,xho,yor,zul,wol,fon,ewe,hau,bam,bbj,mos,luo,ibo,lug,kin",10,0.5555555555555556,1.0,1.0,0.8105279224840921,0.0,"sna,nya,pcm,yor,zul,wol,bam,bbj,mos,lug"
random,masakhaner_mt5::tsn,tsn,lrl,zul,lrl,swa,lrl,0.7269339172876698,0.7972090877628663,0.08815149194097018,0.1270430570094636,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.7972090877628663,0.0,"sna,swa,nya,pcm,xho,zul,yor,wol,mos,fon,hau,bam,ewe,bbj,luo,lug,kin,ibo",10,0.5555555555555556,1.0,0.0,0.7697370956878027,0.034460209368856624,"sna,nya,pcm,zul,yor,wol,bam,ewe,bbj,kin"
random,masakhaner_mt5::wol,wol,lrl,yor,lrl,fon,lrl,0.63757061767703,0.7345725591763003,0.1320522258659398,0.0,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.7345725591763003,0.0,"swa,tsn,pcm,nya,sna,yor,zul,xho,ewe,fon,hau,bbj,bam,luo,mos,ibo,lug,kin",10,0.5555555555555556,1.0,0.0,0.7231750891078579,0.015515785236005455,"swa,pcm,nya,yor,zul,xho,bbj,bam,luo,lug"
random,masakhaner_mt5::xho,xho,lrl,yor,lrl,zul,lrl,0.7096560014977371,0.8435841779061822,0.15876089181859895,0.2286775026170345,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8435841779061822,0.0,"swa,tsn,nya,sna,pcm,yor,zul,wol,fon,ewe,hau,bam,bbj,luo,mos,lug,ibo,kin",10,0.5555555555555556,1.0,1.0,0.8435841779061822,0.0,"swa,nya,sna,yor,zul,wol,bam,bbj,luo,ibo"
random,masakhaner_mt5::yor,yor,lrl,xho,lrl,kin,lrl,0.7344391056318759,0.7408764598979489,0.008688836283123051,0.5335808394397472,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.7408764598979489,0.0,"swa,sna,tsn,pcm,nya,xho,zul,wol,mos,ewe,fon,bam,bbj,hau,lug,luo,ibo,kin",10,0.5555555555555556,1.0,0.0,0.7353381466803087,0.0074753532031549075,"swa,tsn,pcm,xho,zul,wol,bam,bbj,hau,ibo"
random,masakhaner_mt5::zul,zul,lrl,yor,lrl,xho,lrl,0.7220067209989998,0.8896201663185034,0.18841012340484012,0.2286775026170345,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8896201663185034,0.0,"swa,sna,nya,pcm,tsn,yor,xho,wol,fon,hau,bam,ewe,bbj,ibo,luo,mos,kin,lug",10,0.5555555555555556,1.0,1.0,0.8896201663185034,0.0,"swa,nya,pcm,yor,xho,wol,ewe,bbj,ibo,kin"
single_new_gen,masakhaner_mt5::bam,bam,lrl,ibo,lrl,kin,lrl,0.7160646903040013,0.7389785916820414,0.031007530713283733,0.47852079904437456,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.7389785916820414,0.0,"swa,tsn,sna,nya,pcm,yor,zul,xho,wol,fon,hau,ewe,bbj,luo,lug,mos,ibo,kin",10,0.5555555555555556,1.0,0.0,0.7313907376278883,0.010268029601347213,"tsn,sna,nya,yor,xho,wol,hau,ewe,bbj,ibo"
single_new_gen,masakhaner_mt5::bbj,bbj,lrl,sna,lrl,mos,lrl,0.6421100415259405,0.7066512958862919,0.09133395033175856,0.0,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.7066512958862919,0.0,"swa,tsn,pcm,nya,sna,yor,zul,xho,wol,fon,hau,bam,ewe,luo,lug,mos,ibo,kin",10,0.5555555555555556,1.0,0.0,0.7031553202858223,0.004947242891679632,"swa,tsn,nya,sna,yor,zul,xho,lug,ibo,kin"
single_new_gen,masakhaner_mt5::ewe,ewe,lrl,fon,lrl,kin,lrl,0.7991718182597738,0.8068548308948001,0.009522174672370631,0.6497275923987381,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8068548308948001,0.0,"swa,sna,tsn,nya,pcm,yor,wol,xho,hau,fon,bam,bbj,luo,mos,ibo,kin,lug,zul",10,0.5555555555555556,1.0,0.0,0.7991718182597738,0.009522174672370631,"swa,sna,tsn,nya,yor,xho,hau,fon,bbj,ibo"
single_new_gen,masakhaner_mt5::fon,fon,lrl,ewe,lrl,hau,lrl,0.6339784396229218,0.7309709476493796,0.13268996303938152,0.28855888074700375,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.7309709476493796,0.0,"swa,tsn,nya,sna,pcm,yor,zul,wol,xho,ewe,hau,bam,bbj,luo,mos,ibo,lug,kin",10,0.5555555555555556,1.0,1.0,0.7309709476493796,0.0,"swa,tsn,nya,sna,yor,xho,ewe,hau,bbj,ibo"
single_new_gen,masakhaner_mt5::hau,hau,lrl,ibo,lrl,kin,lrl,0.7101431897970113,0.8159562972754614,0.12967987113006896,0.03206209786077819,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8159562972754614,0.0,"swa,tsn,sna,nya,pcm,yor,xho,zul,wol,fon,ewe,bam,bbj,lug,mos,luo,ibo,kin",10,0.5555555555555556,0.0,0.0,0.7639342759325071,0.06375589172687274,"tsn,sna,nya,yor,xho,wol,ewe,bam,bbj,ibo"
single_new_gen,masakhaner_mt5::ibo,ibo,lrl,yor,lrl,nya,lrl,0.7092681954541626,0.8405692874718217,0.15620496010813462,0.2540861140189272,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8405692874718217,0.0,"tsn,swa,nya,sna,pcm,xho,yor,wol,fon,ewe,hau,bam,bbj,luo,lug,mos,kin,zul",10,0.5555555555555556,1.0,1.0,0.8405692874718217,0.0,"tsn,swa,nya,sna,xho,yor,hau,bbj,lug,kin"
single_new_gen,masakhaner_mt5::kin,kin,lrl,sna,lrl,hau,lrl,0.7624678749371749,0.8021357995781916,0.04945287900362543,0.8596499700727654,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.8021357995781916,0.0,"swa,tsn,pcm,nya,sna,zul,yor,xho,wol,fon,ewe,hau,bam,bbj,luo,mos,ibo,lug",10,0.5555555555555556,1.0,0.0,0.7814561749345759,0.025780702786847614,"swa,tsn,nya,sna,zul,yor,xho,bbj,ibo,lug"
single_new_gen,masakhaner_mt5::lug,lug,lrl,kin,lrl,kin,lrl,0.7750771193651876,0.7750771193651876,0.0,0.8275878722119872,1.0,1.0,masakhaner_mt5,0.1,0.05,inf,18,18,1.0,1.0,1.0,0.7750771193651876,0.0,"swa,tsn,nya,sna,pcm,yor,zul,wol,xho,fon,ewe,hau,bbj,bam,luo,mos,ibo,kin",10,0.5555555555555556,1.0,1.0,0.7750771193651876,0.0,"swa,tsn,nya,sna,yor,zul,xho,bbj,ibo,kin"
