method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance_loss
single_new_gen,47.03726915111627,5.093288123131186,15.789473684210526,15.789473684210526,19,18.0,100.0,100.0,100.0,0.0,10.0,55.55555555555556,94.73684210526315,57.89473684210527,0.849440510239014
mlp_listnet,53.583672436690456,5.377858689425814,21.052631578947366,31.57894736842105,19,18.0,100.0,100.0,100.0,0.0,10.0,55.55555555555556,100.0,68.42105263157895,0.3770781630080361
single_distals_asjp,48.48291855999114,6.2017857072998765,21.052631578947366,26.31578947368421,19,18.0,100.0,100.0,100.0,0.0,10.0,55.55555555555556,100.0,57.89473684210527,0.5343768747081323
single_new_geo,46.76981008372794,6.9339308026945785,21.052631578947366,31.57894736842105,19,18.0,100.0,100.0,100.0,0.0,10.0,55.55555555555556,100.0,94.73684210526315,0.03802227188933624
single_script,32.011432549469994,10.291925317322912,0.0,10.526315789473683,19,18.0,100.0,100.0,100.0,0.0,10.0,55.55555555555556,100.0,31.57894736842105,1.3304598251016513
random,19.922401497849346,10.317295893578514,0.0,15.789473684210526,19,18.0,100.0,100.0,100.0,0.0,10.0,55.55555555555556,94.73684210526315,31.57894736842105,1.6842850991312128
lightgbm_lambdarank,52.73967883957719,10.417914727722321,26.31578947368421,47.368421052631575,19,18.0,100.0,100.0,100.0,0.0,10.0,55.55555555555556,100.0,84.21052631578947,0.20984007556714418
rrf_equal,43.251479992455586,10.482374281774414,10.526315789473683,26.31578947368421,19,18.0,100.0,100.0,100.0,0.0,10.0,55.55555555555556,100.0,63.1578947368421,0.49999523926940675
single_distals_wiki_size,20.67157424837973,10.497479062063707,0.0,0.0,19,18.0,100.0,100.0,100.0,0.0,10.0,55.55555555555556,94.73684210526315,57.89473684210527,1.1598695428292731
composite_equal,39.790498869869936,11.606533846457237,15.789473684210526,21.052631578947366,19,18.0,100.0,100.0,100.0,0.0,10.0,55.55555555555556,89.47368421052632,57.89473684210527,1.1092079984353598
single_new_typ,38.465891263808736,13.724782612863736,0.0,15.789473684210526,19,18.0,100.0,100.0,100.0,0.0,10.0,55.55555555555556,89.47368421052632,52.63157894736842,1.169477331054658
