method_a,method_b,ndcg_p_value,performance_loss_p_value
random,single_new_gen,0.05765871661218979,0.37867940981324477
random,single_new_typ,0.2329949806855189,0.5775179722540318
random,single_new_geo,0.0018236072461576074,0.20468864173591267
random,single_script,0.9487140487805622,0.43185743669060644
random,single_distals_asjp,0.25467237437499085,0.7291464091033776
random,single_distals_wiki_size,0.2364212294061822,0.09436066146362468
random,composite_equal,0.0800689527960804,0.9787614368492862
random,rrf_equal,0.013290025216808736,0.33219429277438506
random,lightgbm_lambdarank,0.002233618375219402,0.034471870367900156
random,mlp_listnet,0.0008112753357221017,0.08727580195165664
single_new_gen,single_new_typ,0.28705451646677355,0.15525628686973936
single_new_gen,single_new_geo,0.03217146421942287,0.4912619624433604
single_new_gen,single_script,0.025336345523684172,0.1595667575726414
single_new_gen,single_distals_asjp,0.13792211510530855,0.2677802738094293
single_new_gen,single_distals_wiki_size,0.001468368968229322,0.025290049788737303
single_new_gen,composite_equal,0.5679323572495805,0.3221412171631029
single_new_gen,rrf_equal,0.8584838995342521,0.8954051936792061
single_new_gen,lightgbm_lambdarank,0.39885871771923775,0.014659821321038467
single_new_gen,mlp_listnet,0.3949838300482168,0.19978707522983544
single_new_typ,single_new_geo,0.02363364680415707,0.10807320759061961
single_new_typ,single_script,0.25794822106811655,0.9508400506466782
single_new_typ,single_distals_asjp,0.9661649512215447,0.3705032296460518
single_new_typ,single_distals_wiki_size,0.07082235028614106,0.3980613272314701
single_new_typ,composite_equal,0.5745997969587945,0.5236649317008001
single_new_typ,rrf_equal,0.20820893674942142,0.05738081026612704
single_new_typ,lightgbm_lambdarank,0.07619313698736728,0.011272660127022086
single_new_typ,mlp_listnet,0.05284776625083014,0.03493406222464058
single_new_geo,single_script,0.0004899111647052315,0.05612881317091765
single_new_geo,single_distals_asjp,0.003680141808266926,0.21922828621033305
single_new_geo,single_distals_wiki_size,3.523660954391776e-06,0.011024034134437356
single_new_geo,composite_equal,0.021955841153672388,0.16251806879966224
single_new_geo,rrf_equal,0.08108949182005547,0.6145609123216992
single_new_geo,lightgbm_lambdarank,0.061231418660250905,0.15039494334862452
single_new_geo,mlp_listnet,0.29995088721648894,0.42524011532498557
single_script,single_distals_asjp,0.16795236781497777,0.4464867694617525
single_script,single_distals_wiki_size,0.11740501600611962,0.28971723810533034
single_script,composite_equal,0.0179137754135724,0.5295015839460447
single_script,rrf_equal,0.0015753619792379114,0.07926276848406569
single_script,lightgbm_lambdarank,0.00486429871805553,0.005694300264747779
single_script,mlp_listnet,0.004398549384690536,0.01792762989403158
single_distals_asjp,single_distals_wiki_size,0.004922124155373476,0.12943426310569026
single_distals_asjp,composite_equal,0.424162365924695,0.6721090404911639
single_distals_asjp,rrf_equal,0.011109876956600265,0.58703646181373
single_distals_asjp,lightgbm_lambdarank,0.03399275643825197,0.009299417974157783
single_distals_asjp,mlp_listnet,0.04853062114670441,0.08623599913049343
single_distals_wiki_size,composite_equal,0.00013724455717756094,0.10183068917364652
single_distals_wiki_size,rrf_equal,0.00010009104888237837,0.02016731530084018
single_distals_wiki_size,lightgbm_lambdarank,0.00028886995161317577,0.0009666354237699039
single_distals_wiki_size,mlp_listnet,0.0007231149159568861,0.0065434851678395555
composite_equal,rrf_equal,0.27405286240230287,0.07317669440130331
composite_equal,lightgbm_lambdarank,0.25983386645208323,0.021463172092130927
composite_equal,mlp_listnet,0.18582427169810042,0.07067790540544976
rrf_equal,lightgbm_lambdarank,0.5557378561422979,0.15854704895081478
rrf_equal,mlp_listnet,0.42209746570589446,0.3084479224170819
lightgbm_lambdarank,mlp_listnet,0.527851184837998,0.46248117000305644
