method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance_loss
lightgbm_lambdarank,57.09261381966461,7.8909740062641776,21.052631578947366,31.57894736842105,19,18.0,100.0,100.0,100.0,0.0,10.0,55.55555555555556,100.0,100.0,0.0
mlp_listnet,59.85297376685372,9.50028185571747,31.57894736842105,57.89473684210527,19,18.0,100.0,100.0,100.0,0.0,10.0,55.55555555555556,94.73684210526315,94.73684210526315,0.46165446980105446
single_new_geo,65.79416803835963,11.934813741839326,31.57894736842105,68.42105263157895,19,18.0,100.0,100.0,100.0,0.0,10.0,55.55555555555556,89.47368421052632,89.47368421052632,0.7290183288286363
single_new_gen,53.06778589823453,13.959371598391801,26.31578947368421,36.84210526315789,19,18.0,100.0,100.0,100.0,0.0,10.0,55.55555555555556,78.94736842105263,63.1578947368421,2.55543962795286
rrf_equal,53.92751206908627,14.655409963757055,26.31578947368421,42.10526315789473,19,18.0,100.0,100.0,100.0,0.0,10.0,55.55555555555556,89.47368421052632,73.68421052631578,1.1574641622990367
single_distals_asjp,45.16835470198018,17.329052750703934,26.31578947368421,47.368421052631575,19,18.0,100.0,100.0,100.0,0.0,10.0,55.55555555555556,84.21052631578947,63.1578947368421,1.7668293429204487
composite_equal,49.281996739573856,19.635029029154115,15.789473684210526,42.10526315789473,19,18.0,100.0,100.0,100.0,0.0,10.0,55.55555555555556,84.21052631578947,73.68421052631578,1.8110666024133903
random,36.702286043747826,19.758543508300697,10.526315789473683,15.789473684210526,19,18.0,100.0,100.0,100.0,0.0,10.0,55.55555555555556,78.94736842105263,57.89473684210527,3.115723599265142
single_script,36.3809455977656,22.40608718907157,0.0,10.526315789473683,19,18.0,100.0,100.0,100.0,0.0,10.0,55.55555555555556,73.68421052631578,36.84210526315789,2.568542271699602
single_new_typ,44.87222115024849,22.68782613433918,21.052631578947366,47.368421052631575,19,18.0,100.0,100.0,100.0,0.0,10.0,55.55555555555556,89.47368421052632,73.68421052631578,1.2594747038402772
single_distals_wiki_size,27.279471019692657,26.89633712911673,10.526315789473683,21.052631578947366,19,18.0,100.0,100.0,100.0,0.0,10.0,55.55555555555556,78.94736842105263,57.89473684210527,5.477313741283439
