method,resource_level,n_folds,mean_trial_complexity,median_trial_complexity,min_trial_complexity,max_trial_complexity,mean_test_pool_size,mean_pool_fraction_pct,near_oracle_hit_rate_pct,near_oracle_hit_rate_se_pct,exact_best_hit_rate_pct,exact_best_hit_rate_se_pct,mean_calibration_size,min_calibration_size,max_calibration_size,minimum_finite_calibration_size,finite_quantile_possible_rate_pct,infinite_threshold_rate_pct,mean_best_in_set_performance_loss_pct,alpha,epsilon
composite_equal,hrl,5,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
composite_equal,mrl,40,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05
composite_equal,lrl,140,28.242857142857144,19.0,17.0,44.0,176.0,16.047077922077925,89.28571428571429,2.6234041439699554,42.857142857142854,4.197446630351929,28.0,28.0,28.0,9,100.0,0.0,1.643713767408798,0.1,0.05
lightgbm_lambdarank,hrl,5,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
lightgbm_lambdarank,mrl,40,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05
lightgbm_lambdarank,lrl,140,14.214285714285714,10.0,4.0,75.0,176.0,8.0762987012987,88.57142857142857,2.698580626068047,35.714285714285715,4.064160223986865,28.0,28.0,28.0,9,100.0,0.0,2.1175849188681406,0.1,0.05
mlp_listnet,hrl,5,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
mlp_listnet,mrl,40,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05
mlp_listnet,lrl,140,35.964285714285715,28.0,13.0,76.0,176.0,20.434253246753244,89.28571428571429,2.6234041439699554,47.85714285714286,4.237048113266934,28.0,28.0,28.0,9,100.0,0.0,1.5258411477942944,0.1,0.05
rrf_equal,hrl,5,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
rrf_equal,mrl,40,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05
rrf_equal,lrl,140,41.457142857142856,28.0,22.0,73.0,176.0,23.555194805194805,88.57142857142857,2.698580626068047,50.0,4.2409446483998545,28.0,28.0,28.0,9,100.0,0.0,1.3393425657502787,0.1,0.05
single_distals_asjp,hrl,5,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
single_distals_asjp,mrl,40,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05
single_distals_asjp,lrl,140,26.835714285714285,28.0,21.0,32.0,176.0,15.247564935064933,89.28571428571429,2.6234041439699554,40.0,4.155260166386663,28.0,28.0,28.0,9,100.0,0.0,1.5694543748025325,0.1,0.05
single_distals_wiki_size,hrl,5,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
single_distals_wiki_size,mrl,40,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05
single_distals_wiki_size,lrl,140,26.571428571428573,23.0,19.0,32.0,176.0,15.097402597402596,87.14285714285714,2.839100277060259,32.857142857142854,3.983890626640375,28.0,28.0,28.0,9,100.0,0.0,2.2258014809780255,0.1,0.05
single_new_gen,hrl,5,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
single_new_gen,mrl,40,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05
single_new_gen,lrl,140,36.75,42.0,26.0,45.0,176.0,20.88068181818182,92.85714285714286,2.184420483744325,47.85714285714286,4.237048113266934,28.0,28.0,28.0,9,100.0,0.0,1.2494087755673373,0.1,0.05
single_new_geo,hrl,5,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
single_new_geo,mrl,40,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05
single_new_geo,lrl,140,29.942857142857143,26.0,14.0,42.0,176.0,17.01298701298702,90.0,2.5445667890399126,47.85714285714286,4.237048113266934,28.0,28.0,28.0,9,100.0,0.0,1.3733220314935497,0.1,0.05
