method_a,method_b,ndcg_p_value,performance_loss_p_value
single_new_gen,single_new_typ,0.05248755845305113,0.6578289491884256
single_new_gen,single_new_geo,0.304360776827427,0.1309443557379376
single_new_gen,single_script,3.2944476665126473e-12,0.32715675418206425
single_new_gen,single_distals_asjp,0.5906661962921058,0.4003557850344751
single_new_gen,single_distals_wiki_size,0.000129728173380783,4.556852413547958e-05
single_new_gen,composite_equal,0.47634927372327157,0.17682771995865101
single_new_gen,rrf_equal,0.5210374321792924,0.14677924772524317
single_new_gen,lightgbm_lambdarank,4.0014231370407764e-05,0.12379687536686898
single_new_gen,mlp_listnet,0.6298665307457899,0.45950259479199485
single_new_typ,single_new_geo,0.26792946868601786,0.32475973686891413
single_new_typ,single_script,1.325729635527687e-09,0.3920007232057616
single_new_typ,single_distals_asjp,0.09456034674376447,0.8806738473945298
single_new_typ,single_distals_wiki_size,0.02187451785967712,0.00021279122894400204
single_new_typ,composite_equal,0.02912652243081555,0.3554583432651394
single_new_typ,rrf_equal,0.03042650688420026,0.31325565743330624
single_new_typ,lightgbm_lambdarank,2.3096272914503904e-07,0.06911896313509344
single_new_typ,mlp_listnet,0.10727429391169555,0.9031688030162351
single_new_geo,single_script,2.7146278572143365e-10,0.5937113376037928
single_new_geo,single_distals_asjp,0.5781836883117186,0.38623106954021436
single_new_geo,single_distals_wiki_size,0.00032203867361440706,0.00042283433813677907
single_new_geo,composite_equal,0.12995427365526951,0.7445522586570691
single_new_geo,rrf_equal,0.1171189371689821,0.8036272403773894
single_new_geo,lightgbm_lambdarank,4.6735081769582935e-06,0.02178321440364186
single_new_geo,mlp_listnet,0.4979440585838765,0.3435023485702058
single_script,single_distals_asjp,2.078575892377463e-11,0.41763268515656665
single_script,single_distals_wiki_size,2.6629543045772856e-06,0.10817175479658106
single_script,composite_equal,1.8647272379731872e-11,0.5400153711997627
single_script,rrf_equal,4.3174147937008556e-11,0.5522015812405239
single_script,lightgbm_lambdarank,9.289669070649998e-20,0.05644092856756611
single_script,mlp_listnet,1.2325272390443652e-11,0.4100157710949191
single_distals_asjp,single_distals_wiki_size,0.00031765595806534035,0.00012634740526444086
single_distals_asjp,composite_equal,0.2603051919121457,0.2955451584667736
single_distals_asjp,rrf_equal,0.2511101412530848,0.23044386542216977
single_distals_asjp,lightgbm_lambdarank,1.1382770461308124e-05,0.03976376310329415
single_distals_asjp,mlp_listnet,0.9144205138465695,0.9349321817255415
single_distals_wiki_size,composite_equal,1.591889883613316e-05,0.0004920906148889393
single_distals_wiki_size,rrf_equal,2.0334185762487592e-05,0.0005232155189194797
single_distals_wiki_size,lightgbm_lambdarank,4.3917222683876245e-11,1.5795454045972326e-05
single_distals_wiki_size,mlp_listnet,0.00028392626406929924,0.0001520075290927824
composite_equal,rrf_equal,0.8900812792327777,0.48699795845286725
composite_equal,lightgbm_lambdarank,0.00014941479920201523,0.017038798719005738
composite_equal,mlp_listnet,0.2159240927741833,0.2562906597548122
rrf_equal,lightgbm_lambdarank,0.00013607896863872894,0.015445945863019492
rrf_equal,mlp_listnet,0.27170027862118984,0.2243479687059509
lightgbm_lambdarank,mlp_listnet,1.2602575575483771e-05,0.0412743806764316
