method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_grouping,cnotc_group,cnotc_calibration_size,cnotc_calibration_group_counts,cnotc_min_finite_calibration_size,cnotc_finite_quantile_possible,cnotc_threshold_is_infinite,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_test_pool_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
single_new_gen,sib200_xlm-r::ace,ace,lrl,ace,lrl,ban,lrl,0.6545051811723928,0.6874038175794872,0.047859257638309886,0.15245166841135635,0.0,0.0,sib200_xlm-r,0.1,0.05,resource_level,lrl,28,"hrl:1,mrl:8,lrl:28",9,1.0,0.0,160.0,160,160,176,0.9090909090909091,1.0,1.0,0.6874038175794872,0.0,"grn,pag,fon,fra,gle,fur,hun,nso,oci,nya,nus,ron,quy,eng,deu,dyu,dik,fij,pol,plt,fin,est,eus,por,ewe,kik,ltz,kin,lmo,kbp,lug,kea,lua,knc,kon,lij,lim,lit,kmb,kmr,ita,ind,mri,jav,ilo,nld,ibo,lus,mlt,mos,kac,kam,min,kab,ast,swh,ayr,tso,taq,tgl,ban,srd,bem,sun,swe,bam,azj,wol,afr,war,vie,yor,zsm,xho,ace,tur,als,umb,arb,tum,cat,ceb,slv,sna,smo,bug,crh,dan,cym,ces,cjk,scn,som,spa,bjn,ukr,khk,kir,bel,kaz,tat,rus,mkd,bul,tgk,bak,pes,snd,urd,pbt,prs,apc,kas,ckb,aeb,acq,acm,ajp,ars,azb,arz,ary,hin,npi,awa,bho,mai,mar,mag,zho,khm,sin,tzm,yue,shn,bod,kat,tir,asm,tam,tel,lao,kor,tha,ben,jpn,heb,ory,pan,guj,mya,hye,mni,ell,dzo,sat,ydd,kan,mal,amh",10,0.056818181818181816,1.0,1.0,0.6874038175794872,0.0,"ind,jav,min,ban,sun,ace,ceb,bug,bjn,jpn"
single_new_gen,sib200_xlm-r::acm,acm,lrl,acm,lrl,aeb,lrl,0.856275602554114,0.8799313911611156,0.02688367393710847,0.0,0.0,0.0,sib200_xlm-r,0.1,0.05,resource_level,lrl,28,"hrl:1,mrl:8,lrl:28",9,1.0,0.0,160.0,160,160,176,0.9090909090909091,1.0,1.0,0.8799313911611156,0.0,"nya,quy,lij,vie,lim,xho,spa,wol,lit,srd,lmo,yor,ron,oci,war,scn,mlt,tgl,taq,mri,mos,pol,tso,tum,min,nld,sna,swe,swh,sun,plt,ssw,lua,sot,nus,ltz,lus,tur,som,nso,por,slv,umb,lug,cym,dan,crh,deu,ewe,eus,est,fij,als,ace,eng,dik,dyu,ceb,cat,ces,cjk,bjn,bug,jav,ita,afr,ilo,ibo,ind,hun,gle,grn,fur,fon,fin,fra,kab,hat,kam,kac,kmr,ayr,kmb,kin,kik,bam,azj,ast,knc,kon,arb,kbp,bem,kea,ban,tat,tgk,bul,bel,rus,bak,ukr,kaz,kir,mkd,khk,snd,ary,arz,ars,azb,ajp,acq,aeb,urd,ckb,kas,apc,pbt,pes,acm,prs,bho,mar,npi,hin,mag,awa,mai,heb,lao,ell,guj,ory,pan,kor,kat,kan,zho,ydd,mal,yue,khm,hye,mni,mya,jpn,bod,ben,shn,sin,tzm,tha,tel,asm,tir,tam,dzo,sat,amh",10,0.056818181818181816,1.0,1.0,0.8799313911611156,0.0,"mlt,arb,ary,arz,ars,ajp,acq,aeb,apc,acm"
single_new_gen,sib200_xlm-r::acq,acq,lrl,acq,lrl,zho,lrl,0.8566015750135,0.8750609730284528,0.021094984902672108,0.0,0.0,0.0,sib200_xlm-r,0.1,0.05,resource_level,lrl,28,"hrl:1,mrl:8,lrl:28",9,1.0,0.0,160.0,160,160,176,0.9090909090909091,1.0,1.0,0.8750609730284528,0.0,"vie,lij,spa,oci,xho,wol,lit,lmo,srd,lim,war,yor,scn,ron,mos,mlt,tso,tgl,taq,pol,slv,min,tum,swh,plt,sna,swe,mri,sun,nld,ssw,lua,quy,nus,ltz,nya,sot,som,por,nso,tur,lus,lug,umb,ace,cym,dan,deu,dik,crh,eus,ewe,est,fij,dyu,eng,cat,ceb,ces,cjk,bjn,bug,fin,jav,ita,ibo,ind,hun,gle,grn,kam,fon,als,fur,fra,kab,afr,hat,kac,ilo,kmr,ayr,azj,kin,bam,ban,kik,kmb,kon,ast,knc,bem,arb,kbp,kea,tat,bul,tgk,bel,bak,rus,ukr,mkd,kir,kaz,khk,snd,ckb,ary,arz,ars,azb,ajp,aeb,acq,apc,kas,pes,pbt,acm,prs,urd,bho,mar,npi,hin,mai,awa,mag,ell,heb,ory,lao,pan,guj,kor,yue,kan,kat,zho,mal,ydd,khm,hye,mni,mya,jpn,ben,shn,sin,bod,tzm,tha,asm,tel,tir,tam,dzo,sat,amh",10,0.056818181818181816,1.0,0.0,0.8699844586075919,0.00580132651018801,"mlt,arb,ary,arz,ars,aeb,acq,apc,acm,amh"
single_new_gen,sib200_xlm-r::aeb,aeb,lrl,aeb,lrl,prs,lrl,0.812601963862468,0.835955241341525,0.027936038108428065,0.40653778243028355,0.0,0.0,sib200_xlm-r,0.1,0.05,resource_level,lrl,28,"hrl:1,mrl:8,lrl:28",9,1.0,0.0,160.0,160,160,176,0.9090909090909091,1.0,1.0,0.835955241341525,0.0,"lij,lim,vie,nya,spa,quy,xho,wol,yor,srd,lmo,oci,war,scn,lit,ron,mlt,tgl,taq,mos,sun,tum,tso,slv,min,pol,swh,sna,nld,swe,mri,som,plt,ltz,sot,nus,ssw,nso,tur,lus,por,lua,umb,lug,cym,crh,deu,dan,ace,eus,est,ewe,fij,eng,dik,dyu,ceb,cat,cjk,ces,bjn,bug,jav,ita,hun,ilo,ibo,ind,gle,grn,fur,fon,fin,als,fra,afr,kab,kam,kac,hat,kmr,ayr,kmb,kin,kik,bam,azj,knc,ast,kon,kbp,arb,bem,kea,ban,tgk,tat,bul,bel,rus,bak,ukr,kir,kaz,mkd,khk,snd,apc,ars,ary,arz,azb,acm,ajp,acq,aeb,urd,kas,ckb,pbt,pes,prs,bho,mai,mar,npi,hin,mag,awa,heb,zho,pan,lao,guj,kor,ory,yue,kan,kat,ydd,mal,khm,hye,mni,jpn,mya,ben,shn,sin,bod,tzm,tha,tel,asm,tir,tam,amh,dzo,sat,ell",10,0.056818181818181816,1.0,0.0,0.8236517506007152,0.014717882169224065,"mlt,arb,apc,ars,ary,arz,acm,ajp,aeb,amh"
single_new_gen,sib200_xlm-r::afr,afr,mrl,afr,mrl,crh,lrl,0.8658338820443034,0.8689376906057866,0.003571957569615072,0.3049033368227127,0.0,0.0,sib200_xlm-r,0.1,0.05,resource_level,mrl,8,"hrl:1,mrl:8,lrl:28",9,0.0,1.0,inf,176,176,176,1.0,1.0,1.0,0.8689376906057866,0.0,"zsm,grn,pap,glg,pag,plt,fra,fon,gle,fur,nso,hrv,hun,oci,hat,nus,nya,ron,quy,eng,deu,dik,dan,dyu,run,fij,pol,fao,fin,por,est,ewe,eus,ltz,lmo,kik,kin,kbp,lug,lua,kea,lin,knc,lij,lim,kon,kmb,lit,kmr,isl,jav,ita,ibo,ind,mri,ilo,nld,min,lvs,kam,luo,lus,mlt,kab,mos,kac,ast,ayr,swh,tso,tgl,tum,taq,ban,srd,bem,sun,azj,swe,bam,ssw,war,wol,vie,ace,xho,yor,tur,uzn,umb,arb,afr,als,slv,cat,smo,ces,ceb,sna,bos,bug,crh,cym,sag,slk,cjk,scn,som,spa,sot,bjn,ukr,khk,bel,kir,kaz,tat,bak,rus,bul,tgk,mkd,snd,pes,pbt,prs,urd,kas,ckb,apc,aeb,acm,acq,ajp,azb,ary,arz,ars,hin,npi,bho,awa,mar,mai,mag,ben,tzm,sin,shn,zho,kat,bod,kor,tam,asm,tir,lao,tha,tel,khm,ory,jpn,heb,pan,guj,mya,hye,mni,mal,dzo,sat,yue,ydd,kan,amh,ell",10,0.056818181818181816,1.0,0.0,0.8658338820443034,0.003571957569615072,"eng,dan,ltz,lim,nld,afr,pes,jpn,hye,ydd"
single_new_gen,sib200_xlm-r::ajp,ajp,lrl,ajp,lrl,lao,lrl,0.8343422475373127,0.8586657602788293,0.028327102193545305,0.10163444560757089,0.0,0.0,sib200_xlm-r,0.1,0.05,resource_level,lrl,28,"hrl:1,mrl:8,lrl:28",9,1.0,0.0,160.0,160,160,176,0.9090909090909091,1.0,1.0,0.8586657602788293,0.0,"lij,quy,spa,nya,war,xho,lit,sot,wol,lmo,srd,lim,yor,oci,scn,ron,vie,mlt,tso,tgl,som,pol,taq,mos,min,sna,nld,swe,mri,sun,swh,plt,ltz,ssw,slv,nus,nso,tur,lus,por,tum,lua,lug,umb,dan,cym,crh,ace,deu,ewe,eus,est,fij,eng,dik,dyu,ceb,ces,cat,cjk,bjn,bug,jav,ita,ilo,ibo,ind,hun,gle,grn,fon,fin,fur,fra,als,kab,kac,afr,kam,hat,ayr,kmr,kin,ban,kik,bam,kmb,azj,kon,ast,knc,kea,kbp,arb,bem,bul,tat,tgk,bak,bel,rus,ukr,kir,kaz,mkd,khk,snd,ars,ary,arz,azb,aeb,acm,ajp,acq,urd,ckb,apc,pes,kas,pbt,prs,bho,mar,npi,hin,awa,mag,mai,ell,amh,heb,pan,lao,ory,kor,guj,kan,kat,ydd,mal,yue,hye,khm,mni,zho,jpn,mya,ben,tzm,shn,bod,sin,tha,tel,asm,tam,tir,dzo,sat",10,0.056818181818181816,1.0,0.0,0.8370515788737072,0.025171821685429176,"mlt,arb,ars,ary,arz,aeb,acm,ajp,apc,heb"
single_new_gen,sib200_xlm-r::als,als,lrl,als,lrl,als,lrl,0.9041643940062214,0.9041643940062214,0.0,0.5081722280378544,1.0,1.0,sib200_xlm-r,0.1,0.05,resource_level,lrl,28,"hrl:1,mrl:8,lrl:28",9,1.0,0.0,160.0,160,160,176,0.9090909090909091,1.0,1.0,0.9041643940062214,0.0,"grn,hat,fra,fon,plt,gle,fur,hrv,hun,oci,nya,nso,nus,quy,ron,eng,dan,deu,dik,dyu,pol,fin,fij,est,ewe,eus,por,kik,ltz,kin,lua,lug,kea,kbp,lim,knc,lij,kon,kmb,lmo,lit,kmr,isl,jav,ita,mos,ibo,nld,mri,ind,ilo,lvs,min,lus,mlt,kab,kac,kam,ast,ayr,swh,tso,tgl,taq,ban,srd,bem,azj,swe,bam,sun,wol,vie,afr,yor,xho,ace,umb,tur,arb,tum,als,slv,cat,ceb,sna,bug,cym,crh,slk,ces,scn,spa,bjn,som,ukr,bel,kaz,kir,khk,tat,rus,bul,mkd,bak,tgk,snd,pes,prs,pbt,urd,kas,ckb,apc,acm,aeb,acq,ajp,ars,azb,ary,arz,hin,npi,bho,awa,mar,mai,mag,kat,ben,sin,yue,shn,bod,tzm,zho,asm,tam,tir,lao,kor,tel,tha,khm,heb,ory,jpn,pan,guj,hye,mya,mni,mal,dzo,ell,amh,sat,kan,ydd",10,0.056818181818181816,1.0,1.0,0.9041643940062214,0.0,"eng,kmr,als,rus,pes,ckb,mai,jpn,guj,hye"
single_new_gen,sib200_xlm-r::amh,amh,lrl,amh,lrl,vie,mrl,0.7872193152473278,0.7956311590260697,0.010572541916330743,0.457355005234069,0.0,0.0,sib200_xlm-r,0.1,0.05,resource_level,lrl,28,"hrl:1,mrl:8,lrl:28",9,1.0,0.0,160.0,160,160,176,0.9090909090909091,1.0,1.0,0.7956311590260697,0.0,"bjn,lug,spa,tum,kbp,lua,som,sot,kea,tur,ces,lus,cjk,sna,cat,ceb,slv,bug,kon,taq,tgl,lij,ssw,ban,sun,kin,kik,bam,srd,ltz,arb,bem,swh,tso,ast,lim,knc,lmo,kmb,swe,azj,kmr,ayr,lit,oci,kab,afr,mlt,nya,kam,grn,kac,hat,hun,ind,ilo,nld,ibo,nso,wol,mos,vie,xho,nus,mri,ita,war,jav,ace,dik,dyu,quy,ron,scn,umb,dan,yor,deu,crh,cym,fon,fra,fin,fij,plt,min,gle,fur,eng,est,por,als,eus,ewe,pol,ukr,mkd,bak,bel,rus,bul,khk,kaz,tgk,kir,tat,prs,ajp,pes,pbt,kas,aeb,acm,acq,snd,apc,ary,arz,ars,azb,ckb,urd,mar,awa,bho,mai,mag,hin,npi,kat,zho,kor,ell,lao,shn,asm,khm,tha,tel,amh,sin,tzm,sat,ben,kan,ydd,pan,jpn,bod,mni,yue,tir,tam,dzo,mya,ory,mal,hye,guj,heb",10,0.056818181818181816,1.0,0.0,0.7872193152473278,0.010572541916330743,"mlt,aeb,acm,apc,ary,arz,ars,amh,tir,heb"
single_new_gen,sib200_xlm-r::apc,apc,lrl,apc,lrl,kir,lrl,0.8216974645996491,0.8630487377729603,0.0479130220154373,0.16031048930389097,0.0,0.0,sib200_xlm-r,0.1,0.05,resource_level,lrl,28,"hrl:1,mrl:8,lrl:28",9,1.0,0.0,160.0,160,160,176,0.9090909090909091,1.0,1.0,0.8630487377729603,0.0,"spa,ron,lij,oci,lmo,yor,quy,nya,war,xho,wol,srd,lim,vie,scn,lit,mlt,tso,tgl,taq,mos,som,mri,tum,pol,min,swh,nld,swe,sun,plt,sna,ltz,nus,sot,lus,slv,tur,ssw,por,umb,lug,lua,nso,cym,deu,dan,crh,dik,eus,fij,ewe,est,ace,als,dyu,eng,ceb,cat,ces,cjk,bjn,bug,jav,ita,afr,ilo,ibo,ind,hun,gle,grn,fin,fur,fon,fra,kab,kam,kac,hat,kmr,ayr,kin,bam,kik,kmb,azj,ast,kon,knc,arb,kbp,bem,ban,kea,tat,tgk,bul,bel,rus,bak,ukr,kir,mkd,kaz,khk,snd,arz,ary,ars,azb,ajp,acq,aeb,acm,urd,apc,kas,ckb,pes,pbt,prs,bho,mar,mai,npi,awa,hin,mag,lao,heb,pan,guj,kor,ory,yue,kat,kan,mal,ydd,hye,khm,zho,mni,mya,jpn,ell,ben,tzm,shn,bod,sin,tha,tel,tir,asm,tam,sat,amh,dzo",10,0.056818181818181816,1.0,0.0,0.8583952621331443,0.005391903650567845,"mlt,arb,arz,ary,ars,ajp,aeb,acm,apc,heb"
single_new_gen,sib200_xlm-r::arb,arb,lrl,arb,lrl,ilo,lrl,0.0571428571428571,0.4033136238642886,0.8583165711206295,0.0,0.0,0.0,sib200_xlm-r,0.1,0.05,resource_level,lrl,28,"hrl:1,mrl:8,lrl:28",9,1.0,0.0,160.0,160,160,176,0.9090909090909091,1.0,1.0,0.4033136238642886,0.0,"hat,grn,plt,fon,gle,fra,fur,hun,nso,oci,nus,nya,quy,ron,por,eng,deu,dyu,dik,fij,fin,est,eus,pol,ewe,kik,kin,lug,ltz,lua,kbp,kea,knc,lim,lij,kon,kmb,lmo,lit,kmr,ita,jav,mri,nld,ibo,ind,ilo,kam,min,lus,mlt,mos,kab,kac,swh,ayr,tgl,tum,tso,ast,taq,bem,ban,srd,azj,swe,bam,ssw,sun,war,wol,afr,vie,ace,xho,yor,umb,arb,tur,als,cat,ces,slv,ceb,sna,bug,crh,dan,cym,scn,cjk,som,sot,bjn,spa,kaz,ukr,khk,bel,kir,tat,rus,mkd,bul,bak,tgk,snd,pes,pbt,prs,urd,acm,ckb,apc,kas,aeb,acq,ajp,azb,arz,ary,ars,bho,hin,npi,awa,mar,mag,mai,khm,sin,tzm,shn,zho,bod,kat,asm,tam,tir,lao,kor,tha,tel,ben,jpn,heb,ory,guj,pan,mya,hye,mni,amh,dzo,ell,sat,yue,ydd,kan,mal",10,0.056818181818181816,0.0,0.0,0.360279755436671,0.10670075564344955,"mlt,arb,acm,apc,aeb,ajp,arz,ary,ars,heb"
