method,resource_level,n_folds,mean_trial_complexity,median_trial_complexity,min_trial_complexity,max_trial_complexity,mean_test_pool_size,mean_pool_fraction_pct,near_oracle_hit_rate_pct,near_oracle_hit_rate_se_pct,exact_best_hit_rate_pct,exact_best_hit_rate_se_pct,mean_calibration_size,min_calibration_size,max_calibration_size,minimum_finite_calibration_size,finite_quantile_possible_rate_pct,infinite_threshold_rate_pct,mean_best_in_set_performance_loss_pct,alpha,epsilon,task_key,model_key,task,model
composite_equal,hrl,5,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05,sib200,xlm-r,SIB-200,XLM-R
composite_equal,mrl,40,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05,sib200,xlm-r,SIB-200,XLM-R
composite_equal,lrl,140,109.52857142857142,113.0,104.0,113.0,176.0,62.23214285714286,93.57142857142856,2.0802784336415368,72.85714285714285,3.77186767508248,28.0,28.0,28.0,9,100.0,0.0,1.034300965072953,0.1,0.05,sib200,xlm-r,SIB-200,XLM-R
lightgbm_lambdarank,hrl,5,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05,sib200,xlm-r,SIB-200,XLM-R
lightgbm_lambdarank,mrl,40,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05,sib200,xlm-r,SIB-200,XLM-R
lightgbm_lambdarank,lrl,140,46.135714285714286,42.0,12.0,105.0,176.0,26.213474025974023,92.85714285714286,2.184420483744325,57.85714285714286,4.188254651100343,28.0,28.0,28.0,9,100.0,0.0,1.4216022467739808,0.1,0.05,sib200,xlm-r,SIB-200,XLM-R
mlp_listnet,hrl,5,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05,sib200,xlm-r,SIB-200,XLM-R
mlp_listnet,mrl,40,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05,sib200,xlm-r,SIB-200,XLM-R
mlp_listnet,lrl,140,58.87857142857143,56.0,40.0,127.0,176.0,33.45373376623376,90.0,2.5445667890399126,60.71428571428571,4.142431845483944,28.0,28.0,28.0,9,100.0,0.0,1.4249167295274394,0.1,0.05,sib200,xlm-r,SIB-200,XLM-R
rrf_equal,hrl,5,176.0,176.0,176.0,176.0,176.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05,sib200,xlm-r,SIB-200,XLM-R
