paradigm,method,sib200_xlm-r_ctc,sib200_xlm-r_hit_rate_pct,sib200_xlm-r_hit_rate_se_pct,sib200_xlm-r_n,sib200_xlm-r_mean_calibration_size,sib200_xlm-r_infinite_threshold_rate_pct,sib200_mt5_ctc,sib200_mt5_hit_rate_pct,sib200_mt5_hit_rate_se_pct,sib200_mt5_n,sib200_mt5_mean_calibration_size,sib200_mt5_infinite_threshold_rate_pct,taxi1500_xlm-r_ctc,taxi1500_xlm-r_hit_rate_pct,taxi1500_xlm-r_hit_rate_se_pct,taxi1500_xlm-r_n,taxi1500_xlm-r_mean_calibration_size,taxi1500_xlm-r_infinite_threshold_rate_pct,taxi1500_mt5_ctc,taxi1500_mt5_hit_rate_pct,taxi1500_mt5_hit_rate_se_pct,taxi1500_mt5_n,taxi1500_mt5_mean_calibration_size,taxi1500_mt5_infinite_threshold_rate_pct,ud_pos_xlm-r_ctc,ud_pos_xlm-r_hit_rate_pct,ud_pos_xlm-r_hit_rate_se_pct,ud_pos_xlm-r_n,ud_pos_xlm-r_mean_calibration_size,ud_pos_xlm-r_infinite_threshold_rate_pct,ud_pos_mt5_ctc,ud_pos_mt5_hit_rate_pct,ud_pos_mt5_hit_rate_se_pct,ud_pos_mt5_n,ud_pos_mt5_mean_calibration_size,ud_pos_mt5_infinite_threshold_rate_pct
Trained rankers,LightGBM,176.0,100.0,0.0,40,8.0,100.0,176.0,100.0,0.0,40,8.0,100.0,32.0,100.0,0.0,26,5.0,100.0,32.0,100.0,0.0,26,5.0,100.0,73.0,100.0,0.0,40,8.0,100.0,73.0,100.0,0.0,40,8.0,100.0
Trained rankers,MLP,176.0,100.0,0.0,40,8.0,100.0,176.0,100.0,0.0,40,8.0,100.0,32.0,100.0,0.0,26,5.0,100.0,32.0,100.0,0.0,26,5.0,100.0,73.0,100.0,0.0,40,8.0,100.0,73.0,100.0,0.0,40,8.0,100.0
Composite distances,Comp-Eq,176.0,100.0,0.0,40,8.0,100.0,176.0,100.0,0.0,40,8.0,100.0,32.0,100.0,0.0,26,5.0,100.0,32.0,100.0,0.0,26,5.0,100.0,73.0,100.0,0.0,40,8.0,100.0,73.0,100.0,0.0,40,8.0,100.0
Composite distances,Comp-RRF,176.0,100.0,0.0,40,8.0,100.0,176.0,100.0,0.0,40,8.0,100.0,32.0,100.0,0.0,26,5.0,100.0,32.0,100.0,0.0,26,5.0,100.0,73.0,100.0,0.0,40,8.0,100.0,73.0,100.0,0.0,40,8.0,100.0
Individual distances,Genetic,176.0,100.0,0.0,40,8.0,100.0,176.0,100.0,0.0,40,8.0,100.0,32.0,100.0,0.0,26,5.0,100.0,32.0,100.0,0.0,26,5.0,100.0,73.0,100.0,0.0,40,8.0,100.0,73.0,100.0,0.0,40,8.0,100.0
Individual distances,Typological,176.0,100.0,0.0,40,8.0,100.0,176.0,100.0,0.0,40,8.0,100.0,32.0,100.0,0.0,26,5.0,100.0,32.0,100.0,0.0,26,5.0,100.0,73.0,100.0,0.0,40,8.0,100.0,73.0,100.0,0.0,40,8.0,100.0
Individual distances,Geographic,176.0,100.0,0.0,40,8.0,100.0,176.0,100.0,0.0,40,8.0,100.0,32.0,100.0,0.0,26,5.0,100.0,32.0,100.0,0.0,26,5.0,100.0,73.0,100.0,0.0,40,8.0,100.0,73.0,100.0,0.0,40,8.0,100.0
Individual distances,Script,176.0,100.0,0.0,40,8.0,100.0,176.0,100.0,0.0,40,8.0,100.0,32.0,100.0,0.0,26,5.0,100.0,32.0,100.0,0.0,26,5.0,100.0,73.0,100.0,0.0,40,8.0,100.0,73.0,100.0,0.0,40,8.0,100.0
Individual distances,ASJP,176.0,100.0,0.0,40,8.0,100.0,176.0,100.0,0.0,40,8.0,100.0,32.0,100.0,0.0,26,5.0,100.0,32.0,100.0,0.0,26,5.0,100.0,73.0,100.0,0.0,40,8.0,100.0,73.0,100.0,0.0,40,8.0,100.0
Individual distances,Wiki-size,176.0,100.0,0.0,40,8.0,100.0,176.0,100.0,0.0,40,8.0,100.0,32.0,100.0,0.0,26,5.0,100.0,32.0,100.0,0.0,26,5.0,100.0,73.0,100.0,0.0,40,8.0,100.0,73.0,100.0,0.0,40,8.0,100.0
