method,resource_level,n_folds,mean_trial_complexity,median_trial_complexity,min_trial_complexity,max_trial_complexity,mean_test_pool_size,mean_pool_fraction_pct,near_oracle_hit_rate_pct,near_oracle_hit_rate_se_pct,exact_best_hit_rate_pct,exact_best_hit_rate_se_pct,mean_calibration_size,min_calibration_size,max_calibration_size,minimum_finite_calibration_size,finite_quantile_possible_rate_pct,infinite_threshold_rate_pct,mean_best_in_set_performance_loss_pct,alpha,epsilon
composite_equal,hrl,6,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
composite_equal,mrl,26,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,5.0,5.0,5.0,9,0.0,100.0,0.0,0.1,0.05
composite_equal,lrl,730,22.534246575342465,23.0,21.0,24.0,32.0,70.4195205479452,90.54794520547945,1.0835242880857143,87.3972602739726,1.229186066806936,146.0,146.0,146.0,9,100.0,0.0,1.2763713128092469,0.1,0.05
lightgbm_lambdarank,hrl,6,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
lightgbm_lambdarank,mrl,26,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,5.0,5.0,5.0,9,0.0,100.0,0.0,0.1,0.05
lightgbm_lambdarank,lrl,730,10.736986301369862,11.0,8.0,13.0,32.0,33.55308219178082,91.78082191780823,1.0172469637627306,87.26027397260275,1.2348794576864128,146.0,146.0,146.0,9,100.0,0.0,1.2500809341769044,0.1,0.05
mlp_listnet,hrl,6,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
mlp_listnet,mrl,26,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,5.0,5.0,5.0,9,0.0,100.0,0.0,0.1,0.05
mlp_listnet,lrl,730,17.236986301369864,17.0,14.0,20.0,32.0,53.865582191780824,93.28767123287672,0.9267977519523005,90.13698630136986,1.1043139815657264,146.0,146.0,146.0,9,100.0,0.0,0.9379423175723104,0.1,0.05
rrf_equal,hrl,6,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
rrf_equal,mrl,26,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,5.0,5.0,5.0,9,0.0,100.0,0.0,0.1,0.05
rrf_equal,lrl,730,27.327397260273973,27.0,26.0,28.0,32.0,85.39811643835617,91.64383561643835,1.024923266659108,88.08219178082192,1.1999923806163566,146.0,146.0,146.0,9,100.0,0.0,1.1403850314343296,0.1,0.05
single_distals_asjp,hrl,6,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
single_distals_asjp,mrl,26,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,5.0,5.0,5.0,9,0.0,100.0,0.0,0.1,0.05
single_distals_asjp,lrl,730,28.735616438356164,29.0,28.0,30.0,32.0,89.79880136986301,92.19178082191782,0.9937069691662699,88.63013698630137,1.1757217766328998,146.0,146.0,146.0,9,100.0,0.0,1.2700272765302876,0.1,0.05
single_distals_wiki_size,hrl,6,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
single_distals_wiki_size,mrl,26,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,5.0,5.0,5.0,9,0.0,100.0,0.0,0.1,0.05
single_distals_wiki_size,lrl,730,30.947945205479453,31.0,30.0,32.0,32.0,96.7123287671233,92.19178082191782,0.9937069691662699,89.45205479452055,1.1376674404508251,146.0,146.0,146.0,9,100.0,0.0,1.1309007992008655,0.1,0.05
single_new_gen,hrl,6,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
single_new_gen,mrl,26,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,5.0,5.0,5.0,9,0.0,100.0,0.0,0.1,0.05
single_new_gen,lrl,730,23.90958904109589,24.0,23.0,24.0,32.0,74.71746575342466,95.2054794520548,0.7912975119473475,91.91780821917808,1.0094867933119973,146.0,146.0,146.0,9,100.0,0.0,0.6847540837822509,0.1,0.05
single_new_geo,hrl,6,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
single_new_geo,mrl,26,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,5.0,5.0,5.0,9,0.0,100.0,0.0,0.1,0.05
single_new_geo,lrl,730,28.82054794520548,29.0,28.0,29.0,32.0,90.06421232876713,93.01369863013699,0.9441333766270066,90.41095890410958,1.0905218295385428,146.0,146.0,146.0,9,100.0,0.0,0.9635020028461498,0.1,0.05
single_new_typ,hrl,6,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
single_new_typ,mrl,26,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,5.0,5.0,5.0,9,0.0,100.0,0.0,0.1,0.05
single_new_typ,lrl,730,28.0,28.0,28.0,28.0,32.0,87.5,92.73972602739727,0.9610492516330789,90.68493150684932,1.0764573483816002,146.0,146.0,146.0,9,100.0,0.0,1.056091304168303,0.1,0.05
single_script,hrl,6,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
single_script,mrl,26,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,5.0,5.0,5.0,9,0.0,100.0,0.0,0.1,0.05
single_script,lrl,730,17.68082191780822,18.0,15.0,21.0,32.0,55.25256849315069,92.87671232876711,0.9526423723213465,88.76712328767124,1.1695204086635342,146.0,146.0,146.0,9,100.0,0.0,1.0101681710369026,0.1,0.05
