method_a,method_b,ndcg_p_value,performance_loss_p_value
single_new_gen,single_new_typ,1.359299319576958e-13,2.3250335653558706e-10
single_new_gen,single_new_geo,5.439884654059891e-48,1.6248381690873102e-17
single_new_gen,single_script,1.951189707595585e-98,1.6774698204753953e-24
single_new_gen,single_distals_asjp,4.2686648159222207e-19,0.00038388622928181126
single_new_gen,single_distals_wiki_size,6.390543450376245e-46,1.017732220178443e-13
single_new_gen,composite_equal,5.105488145173265e-85,2.1880140017132523e-85
single_new_gen,rrf_equal,5.0434806075381476e-79,1.1061618062524386e-73
single_new_gen,lightgbm_lambdarank,1.2730628655939775e-214,1.87692372857476e-172
single_new_gen,mlp_listnet,9.750950989619584e-127,3.929953659954406e-73
single_new_typ,single_new_geo,7.572767065635345e-26,2.8376375691999412e-06
single_new_typ,single_script,1.450936639403193e-64,4.6677446404478575e-05
single_new_typ,single_distals_asjp,0.025396702190506496,0.037792453454642286
single_new_typ,single_distals_wiki_size,3.137639658510484e-10,0.8190635047806828
single_new_typ,composite_equal,3.480437538329691e-64,1.5480120678860368e-63
single_new_typ,rrf_equal,8.354884463581945e-62,3.271769171732466e-54
single_new_typ,lightgbm_lambdarank,6.43396401645891e-209,3.5447351046534185e-149
single_new_typ,mlp_listnet,2.4494070965034236e-113,1.9235150753055506e-52
single_new_geo,single_script,1.1364732686420327e-05,0.1287519029597057
single_new_geo,single_distals_asjp,1.8407316002723203e-14,1.2436998039872276e-10
single_new_geo,single_distals_wiki_size,5.788643426005446e-11,1.4094590865989965e-06
single_new_geo,composite_equal,1.2778955434280086e-31,2.724983909399759e-43
single_new_geo,rrf_equal,7.816526703514095e-30,8.36076225712656e-34
single_new_geo,lightgbm_lambdarank,6.590864817022596e-185,7.809816629683705e-103
single_new_geo,mlp_listnet,2.927805870702693e-72,1.6349657273994452e-29
single_script,single_distals_asjp,1.363742520827243e-36,1.1313191510277834e-09
single_script,single_distals_wiki_size,1.3209912044645088e-81,7.439024010326603e-09
single_script,composite_equal,5.983668588325333e-09,3.2697323382559525e-48
single_script,rrf_equal,2.993794474319946e-08,2.3798753629055414e-38
single_script,lightgbm_lambdarank,2.4872426891423184e-204,1.431580681429001e-130
single_script,mlp_listnet,1.7165161434234532e-69,1.3477618848882319e-35
single_distals_asjp,single_distals_wiki_size,0.006813320827057032,0.011906061592442561
single_distals_asjp,composite_equal,2.905417418235443e-51,3.886422692171425e-70
single_distals_asjp,rrf_equal,1.2545874192509968e-46,3.024351790951371e-60
single_distals_asjp,lightgbm_lambdarank,1.1825584770741625e-182,3.7830849551686104e-144
single_distals_asjp,mlp_listnet,1.0080871671074477e-89,5.928879332572512e-57
single_distals_wiki_size,composite_equal,3.5611776324129505e-45,5.7605494786329035e-70
single_distals_wiki_size,rrf_equal,1.4249043438281318e-41,5.628782216215363e-58
single_distals_wiki_size,lightgbm_lambdarank,4.588331744786121e-236,9.404290833577425e-159
single_distals_wiki_size,mlp_listnet,4.157387590354896e-114,5.168274900362189e-53
composite_equal,rrf_equal,0.9779723398715094,0.024065529299272873
composite_equal,lightgbm_lambdarank,3.660095722852521e-132,5.446740320449028e-49
composite_equal,mlp_listnet,1.0615430058152359e-29,0.5322694340626363
rrf_equal,lightgbm_lambdarank,2.419244491734023e-128,1.5673356989266735e-52
rrf_equal,mlp_listnet,5.204875887699045e-28,0.4684883392092806
lightgbm_lambdarank,mlp_listnet,2.103870480174777e-90,4.268329339613996e-50
