method,resource_level,n_folds,mean_trial_complexity,median_trial_complexity,min_trial_complexity,max_trial_complexity,mean_test_pool_size,mean_pool_fraction_pct,near_oracle_hit_rate_pct,near_oracle_hit_rate_se_pct,exact_best_hit_rate_pct,exact_best_hit_rate_se_pct,mean_calibration_size,min_calibration_size,max_calibration_size,minimum_finite_calibration_size,finite_quantile_possible_rate_pct,infinite_threshold_rate_pct,mean_best_in_set_performance_loss_pct,alpha,epsilon
composite_equal,hrl,6,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
composite_equal,mrl,26,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,5.0,5.0,5.0,9,0.0,100.0,0.0,0.1,0.05
composite_equal,lrl,730,21.206849315068492,21.0,19.0,22.0,32.0,66.27140410958904,91.5068493150685,1.0325175725552511,87.94520547945206,1.2059303514354605,146.0,146.0,146.0,9,100.0,0.0,1.3716735362706745,0.1,0.05
lightgbm_lambdarank,hrl,6,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
lightgbm_lambdarank,mrl,26,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,5.0,5.0,5.0,9,0.0,100.0,0.0,0.1,0.05
lightgbm_lambdarank,lrl,730,8.882191780821918,9.0,6.0,12.0,32.0,27.756849315068493,93.97260273972603,0.8814583005777371,89.86301369863014,1.1178438846409264,146.0,146.0,146.0,9,100.0,0.0,0.919780058401865,0.1,0.05
mlp_listnet,hrl,6,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
mlp_listnet,mrl,26,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,5.0,5.0,5.0,9,0.0,100.0,0.0,0.1,0.05
mlp_listnet,lrl,730,17.942465753424656,18.0,16.0,20.0,32.0,56.07020547945205,91.64383561643835,1.0249232666591077,87.3972602739726,1.229186066806936,146.0,146.0,146.0,9,100.0,0.0,1.2808285663738446,0.1,0.05
rrf_equal,hrl,6,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
rrf_equal,mrl,26,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,5.0,5.0,5.0,9,0.0,100.0,0.0,0.1,0.05
rrf_equal,lrl,730,23.34931506849315,23.0,22.0,25.0,32.0,72.9666095890411,90.82191780821918,1.0693196345056823,87.3972602739726,1.229186066806936,146.0,146.0,146.0,9,100.0,0.0,1.5476182282718747,0.1,0.05
single_distals_asjp,hrl,6,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
single_distals_asjp,mrl,26,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,5.0,5.0,5.0,9,0.0,100.0,0.0,0.1,0.05
single_distals_asjp,lrl,730,28.964383561643835,29.0,28.0,29.0,32.0,90.51369863013699,90.13698630136986,1.1043139815657264,87.8082191780822,1.2118179852315791,146.0,146.0,146.0,9,100.0,0.0,2.240802103964655,0.1,0.05
single_distals_wiki_size,hrl,6,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
single_distals_wiki_size,mrl,26,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,5.0,5.0,5.0,9,0.0,100.0,0.0,0.1,0.05
single_distals_wiki_size,lrl,730,25.0,25.0,25.0,25.0,32.0,78.125,96.84931506849314,0.6469742571814596,94.52054794520548,0.8428842072976231,146.0,146.0,146.0,9,100.0,0.0,0.6613718299594933,0.1,0.05
single_new_gen,hrl,6,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
single_new_gen,mrl,26,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,5.0,5.0,5.0,9,0.0,100.0,0.0,0.1,0.05
single_new_gen,lrl,730,23.905479452054795,24.0,23.0,24.0,32.0,74.70462328767124,93.56164383561644,0.9090183631548239,88.63013698630137,1.1757217766328996,146.0,146.0,146.0,9,100.0,0.0,0.9945414050304193,0.1,0.05
single_new_geo,hrl,6,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
single_new_geo,mrl,26,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,5.0,5.0,5.0,9,0.0,100.0,0.0,0.1,0.05
single_new_geo,lrl,730,28.68082191780822,29.0,28.0,29.0,32.0,89.62756849315069,86.84931506849315,1.2516808884918742,83.83561643835617,1.3634213501710009,146.0,146.0,146.0,9,100.0,0.0,2.7822140395886774,0.1,0.05
single_new_typ,hrl,6,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
single_new_typ,mrl,26,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,5.0,5.0,5.0,9,0.0,100.0,0.0,0.1,0.05
single_new_typ,lrl,730,22.236986301369864,22.0,18.0,24.0,32.0,69.49058219178083,90.95890410958904,1.0621097195843348,86.16438356164383,1.278790453037388,146.0,146.0,146.0,9,100.0,0.0,1.3647469391810745,0.1,0.05
single_script,hrl,6,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
single_script,mrl,26,32.0,32.0,32.0,32.0,32.0,100.0,100.0,0.0,100.0,0.0,5.0,5.0,5.0,9,0.0,100.0,0.0,0.1,0.05
single_script,lrl,730,18.724657534246575,19.0,16.0,22.0,32.0,58.51455479452055,90.82191780821918,1.0693196345056823,86.02739726027397,1.2840835531759234,146.0,146.0,146.0,9,100.0,0.0,1.4035028037387225,0.1,0.05
