method_a,method_b,ndcg_p_value,performance_loss_p_value
single_new_gen,single_new_typ,1.830167411353966e-95,3.652321390946174e-63
single_new_gen,single_new_geo,1.3143133178706823e-116,1.5487679755651452e-99
single_new_gen,single_script,2.3611507031721807e-58,4.420947291716728e-09
single_new_gen,single_distals_asjp,4.1102395108732395e-18,2.646562985186532e-25
single_new_gen,single_distals_wiki_size,8.632106857773108e-23,0.010542480252473448
single_new_gen,composite_equal,2.0812055860672556e-127,1.0521313585213823e-147
single_new_gen,rrf_equal,7.443356693885329e-103,4.2740630934487214e-125
single_new_gen,lightgbm_lambdarank,1.3082519751101794e-269,2.183075335926662e-270
single_new_gen,mlp_listnet,9.411793020312303e-222,2.4212879788846544e-252
single_new_typ,single_new_geo,1.8142289210430777e-06,3.4455101457136464e-08
single_new_typ,single_script,1.3245058037808765e-31,5.934679541652345e-35
single_new_typ,single_distals_asjp,4.057807612247929e-34,2.8155666710497775e-16
single_new_typ,single_distals_wiki_size,6.536765295588246e-70,1.2969122179432573e-49
single_new_typ,composite_equal,5.737291389935486e-13,3.596841820722345e-36
single_new_typ,rrf_equal,4.68898394908706e-05,3.9886564406352183e-22
single_new_typ,lightgbm_lambdarank,9.000631717768092e-218,6.840104349572444e-140
single_new_typ,mlp_listnet,2.146763989731901e-136,2.9110774683320707e-123
single_new_geo,single_script,8.53153938388114e-57,1.614590441458609e-67
single_new_geo,single_distals_asjp,1.3044014617652168e-54,1.869496711896863e-43
single_new_geo,single_distals_wiki_size,8.603092763336381e-86,2.7067186489219243e-85
single_new_geo,composite_equal,0.0012178293566925246,7.263139355468472e-17
single_new_geo,rrf_equal,0.5581169807199609,2.9962139971299234e-07
single_new_geo,lightgbm_lambdarank,2.779787174237417e-185,3.9668393936766885e-115
single_new_geo,mlp_listnet,2.54419602994263e-104,2.689631868617288e-100
single_script,single_distals_asjp,4.002164507779632e-05,2.0596888258602457e-07
single_script,single_distals_wiki_size,3.338540073562399e-36,9.716945375669767e-07
single_script,composite_equal,1.904442444672147e-65,5.038597720871043e-112
single_script,rrf_equal,5.476497585870909e-43,1.0140805627388505e-90
single_script,lightgbm_lambdarank,1.3230848336818e-277,1.0451915961645791e-237
single_script,mlp_listnet,7.882099598095672e-220,1.8063158544575097e-219
single_distals_asjp,single_distals_wiki_size,0.0530628845215279,3.3153477306893207e-16
single_distals_asjp,composite_equal,1.3155262814349388e-75,1.1195102764132483e-92
single_distals_asjp,rrf_equal,2.699913113119492e-59,9.198331662580178e-74
single_distals_asjp,lightgbm_lambdarank,5.495578421918569e-217,7.385055368110478e-201
single_distals_asjp,mlp_listnet,7.570471950824874e-156,4.4212283888028635e-186
single_distals_wiki_size,composite_equal,2.891163354026653e-88,3.2992840705036554e-129
single_distals_wiki_size,rrf_equal,2.279116234520723e-65,8.437591189672234e-107
single_distals_wiki_size,lightgbm_lambdarank,3.8559722248552197e-275,6.872135614238267e-258
single_distals_wiki_size,mlp_listnet,3.4517387573198618e-214,4.352062754244405e-239
composite_equal,rrf_equal,3.301329828396659e-08,2.9960178548447517e-09
composite_equal,lightgbm_lambdarank,9.135533800951582e-174,1.2434735193836473e-73
composite_equal,mlp_listnet,8.341925801311175e-94,1.1044161917465851e-62
rrf_equal,lightgbm_lambdarank,1.0459060775453633e-180,7.622253100930646e-88
rrf_equal,mlp_listnet,6.950324741140486e-101,1.0290155895527138e-77
lightgbm_lambdarank,mlp_listnet,5.268552974245336e-97,0.0007471871615492223
