method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,cnotc_calibration_size,cnotc_finite_quantile_possible,cnotc_threshold_is_infinite,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance_loss
lightgbm_lambdarank,73.81051097542743,9.745765112322404,56.16797900262467,74.40944881889764,762,9.853018372703412,30.79068241469816,94.22572178477691,90.28871391076116,0.8811541241907632,140.04724409448818,0.958005249343832,0.04199475065616798,10.0,31.25,94.88188976377953,89.63254593175853,0.7769671260643917
mlp_listnet,57.60729696482828,11.53242042672246,54.85564304461942,64.82939632545933,762,18.53280839895013,57.91502624671916,91.99475065616798,87.92650918635171,1.2270404900956777,140.04724409448818,0.958005249343832,0.04199475065616798,10.0,31.25,85.17060367454067,77.95275590551181,2.5380186766346973
composite_equal,38.56885235984952,29.660029921999243,25.853018372703414,33.33333333333333,762,21.66010498687664,67.6878280839895,91.86351706036746,88.4514435695538,1.3140704481333232,140.04724409448818,0.958005249343832,0.04199475065616798,10.0,31.25,56.95538057742782,49.4750656167979,10.68181225994113
rrf_equal,35.95351942359399,33.44822974406548,22.440944881889763,30.577427821522306,762,23.712598425196852,74.10187007874016,91.20734908136482,87.92650918635171,1.4826263866646567,140.04724409448818,0.958005249343832,0.04199475065616798,10.0,31.25,59.055118110236215,51.83727034120735,10.538339338634202
single_new_geo,36.38007736364197,39.074802402116084,15.879265091863518,32.15223097112861,762,28.82020997375328,90.063156167979,87.4015748031496,84.51443569553805,2.665375654724061,140.04724409448818,0.958005249343832,0.04199475065616798,10.0,31.25,47.63779527559055,40.0262467191601,13.889977853711668
single_new_typ,32.46932096104481,45.68605369813611,16.535433070866144,54.98687664041994,762,22.646981627296586,70.77181758530183,91.33858267716536,86.74540682414698,1.3074347317613968,140.04724409448818,0.958005249343832,0.04199475065616798,10.0,31.25,78.21522309711287,70.34120734908137,4.461108983662933
single_distals_asjp,21.518000814357706,54.83443742412415,4.330708661417323,17.716535433070867,762,29.091863517060368,90.91207349081365,90.5511811023622,88.32020997375328,2.146700178338843,140.04724409448818,0.958005249343832,0.04199475065616798,10.0,31.25,45.800524934383205,37.664041994750654,15.113567617522754
single_script,24.722656820540973,59.44756860574957,0.9186351706036745,6.299212598425196,762,19.28215223097113,60.256725721784775,91.20734908136482,86.61417322834646,1.3445630534504822,140.04724409448818,0.958005249343832,0.04199475065616798,10.0,31.25,85.95800524934383,78.34645669291339,2.36074809487665
single_distals_wiki_size,20.02236430195374,61.75669847443832,1.0498687664041995,3.805774278215223,762,25.293963254593177,79.04363517060368,96.98162729658793,94.750656167979,0.6335976848693308,140.04724409448818,0.958005249343832,0.04199475065616798,10.0,31.25,26.64041994750656,17.585301837270343,18.249515866383394
single_new_gen,14.734126714405122,62.99514483492212,1.0498687664041995,12.46719160104987,762,24.245406824146983,75.76689632545933,93.83202099737534,89.10761154855643,0.9527758867089318,140.04724409448818,0.958005249343832,0.04199475065616798,10.0,31.25,30.971128608923888,23.753280839895012,20.690181154815214
