method,resource_level,n_folds,mean_trial_complexity,median_trial_complexity,min_trial_complexity,max_trial_complexity,mean_test_pool_size,mean_pool_fraction_pct,near_oracle_hit_rate_pct,near_oracle_hit_rate_se_pct,exact_best_hit_rate_pct,exact_best_hit_rate_se_pct,mean_calibration_size,min_calibration_size,max_calibration_size,minimum_finite_calibration_size,finite_quantile_possible_rate_pct,infinite_threshold_rate_pct,mean_best_in_set_performance_loss_pct,alpha,epsilon
composite_equal,hrl,6,73.0,73.0,73.0,73.0,73.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
composite_equal,mrl,40,73.0,73.0,73.0,73.0,73.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05
composite_equal,lrl,101,60.73267326732673,65.0,42.0,65.0,73.0,83.19544283195442,96.03960396039604,1.9502688716427932,94.05940594059405,2.3638289873887772,20.0,20.0,20.0,9,100.0,0.0,0.5795914067631784,0.1,0.05
lightgbm_lambdarank,hrl,6,73.0,73.0,73.0,73.0,73.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
lightgbm_lambdarank,mrl,40,73.0,73.0,73.0,73.0,73.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05
lightgbm_lambdarank,lrl,101,47.62376237623762,52.0,22.0,64.0,73.0,65.2380306523803,96.03960396039604,1.9502688716427932,92.07920792079209,2.7006300390071005,20.0,20.0,20.0,9,100.0,0.0,0.6176274400338599,0.1,0.05
mlp_listnet,hrl,6,73.0,73.0,73.0,73.0,73.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
mlp_listnet,mrl,40,73.0,73.0,73.0,73.0,73.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05
mlp_listnet,lrl,101,44.76237623762376,47.0,28.0,51.0,73.0,61.318323613183246,95.04950495049505,2.169198247545213,93.06930693069307,2.539753532352606,20.0,20.0,20.0,9,100.0,0.0,0.6809220281459981,0.1,0.05
rrf_equal,hrl,6,73.0,73.0,73.0,73.0,73.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
rrf_equal,mrl,40,73.0,73.0,73.0,73.0,73.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05
rrf_equal,lrl,101,36.35643564356435,36.0,25.0,53.0,73.0,49.80333649803336,92.07920792079209,2.7006300390071005,88.11881188118812,3.235670225419444,20.0,20.0,20.0,9,100.0,0.0,1.52011087512796,0.1,0.05
single_distals_asjp,hrl,6,73.0,73.0,73.0,73.0,73.0,100.0,100.0,0.0,100.0,0.0,1.0,1.0,1.0,9,0.0,100.0,0.0,0.1,0.05
single_distals_asjp,mrl,40,73.0,73.0,73.0,73.0,73.0,100.0,100.0,0.0,100.0,0.0,8.0,8.0,8.0,9,0.0,100.0,0.0,0.1,0.05
