method_a,method_b,ndcg_p_value,performance_loss_p_value
random,single_new_gen,0.6493387548228806,0.08032559402086824
random,single_new_typ,0.36364907315067513,0.04333354996030159
random,single_new_geo,0.7985237955333402,0.44305322086954685
random,single_script,0.5704666923413299,0.9245920814613251
random,single_distals_asjp,0.6162739353094444,0.32924572124327245
random,single_distals_wiki_size,0.2636748176041507,0.6092055937382302
random,composite_equal,0.5610877143299513,0.2481235721932058
random,rrf_equal,0.37535102466808706,0.3118538027581791
random,lightgbm_lambdarank,0.7685782524792111,0.1676626349683825
random,mlp_listnet,0.776334875123675,0.31193998039827225
random,nnrank,0.33525102162148174,0.35967406474133684
single_new_gen,single_new_typ,0.18898934692313576,0.08184776473610526
single_new_gen,single_new_geo,0.5380546541251994,0.39099615128059495
single_new_gen,single_script,0.1617387024874336,0.19191897639086938
single_new_gen,single_distals_asjp,0.6948759983385978,0.8083134969374132
single_new_gen,single_distals_wiki_size,0.05051603697477769,0.03759346328023144
single_new_gen,composite_equal,0.5411639180537231,0.7167083310267105
single_new_gen,rrf_equal,0.03825470325095779,0.5622952227289632
single_new_gen,lightgbm_lambdarank,0.1291322015266656,0.5698163017776555
single_new_gen,mlp_listnet,0.27752473246559145,0.8629447982992169
single_new_gen,nnrank,0.4429793749535444,0.5400195492738422
single_new_typ,single_new_geo,0.17698242923937832,0.1711307433279919
single_new_typ,single_script,0.023113209369687217,0.1034639227413926
single_new_typ,single_distals_asjp,0.6924729560500799,0.45765566212061365
single_new_typ,single_distals_wiki_size,0.008519182166536817,0.012907503989925614
single_new_typ,composite_equal,0.21539068457981228,0.2568058476025076
single_new_typ,rrf_equal,0.9940436978745516,0.17565933106701576
single_new_typ,lightgbm_lambdarank,0.031688159274495004,0.9540188870536447
single_new_typ,mlp_listnet,0.17354076108686423,0.541983555788341
single_new_typ,nnrank,0.873386150640888,0.2474640424236518
single_new_geo,single_script,0.23449788887315448,0.2887930553870497
single_new_geo,single_distals_asjp,0.5263213340186843,0.15294491318825262
single_new_geo,single_distals_wiki_size,0.08480332077451105,0.09858475253177972
single_new_geo,composite_equal,0.41246847466027875,0.3006476077403573
single_new_geo,rrf_equal,0.0934825456426257,0.4782034144898858
single_new_geo,lightgbm_lambdarank,0.15612584205664815,0.30276027240021447
single_new_geo,mlp_listnet,0.3897993636334679,0.5545231815427543
single_new_geo,nnrank,0.20979124821745504,0.9198979149716575
single_script,single_distals_asjp,0.22326259071571627,0.1708416197098633
single_script,single_distals_wiki_size,0.16929928566333768,0.7566314767091809
single_script,composite_equal,0.08982051330879824,0.21496451891229254
single_script,rrf_equal,0.04513534011101292,0.21016589156272272
single_script,lightgbm_lambdarank,0.7716118777971034,0.10036872792769862
single_script,mlp_listnet,0.8192626721636347,0.23823588255180875
single_script,nnrank,0.007132794142679714,0.39675532585673906
single_distals_asjp,single_distals_wiki_size,0.07028173768801632,0.060061487840985125
single_distals_asjp,composite_equal,0.9391583479005812,0.9782439292781385
single_distals_asjp,rrf_equal,0.605196750264097,0.7216419241559143
single_distals_asjp,lightgbm_lambdarank,0.20199335398661555,0.5784010985705373
single_distals_asjp,mlp_listnet,0.3570539664767156,0.9558508880414379
single_distals_asjp,nnrank,0.7530634915958925,0.7756228664297818
single_distals_wiki_size,composite_equal,0.011474676112787073,0.028471845415259073
single_distals_wiki_size,rrf_equal,0.015094722308780431,0.048339399907164946
single_distals_wiki_size,lightgbm_lambdarank,0.31110827930487456,0.030430524765169435
single_distals_wiki_size,mlp_listnet,0.3753707781848196,0.05222972824649207
single_distals_wiki_size,nnrank,0.009097141931013224,0.19170141431359716
composite_equal,rrf_equal,0.16982365343106284,0.34343639613791355
composite_equal,lightgbm_lambdarank,0.11154368035843902,0.5048474442974408
composite_equal,mlp_listnet,0.24199535061037483,0.9301185529811561
composite_equal,nnrank,0.6617839517016834,0.7689192997363913
rrf_equal,lightgbm_lambdarank,0.018947110012212318,0.4142164555000462
rrf_equal,mlp_listnet,0.14127981778762516,0.791738480427404
rrf_equal,nnrank,0.8734227085194654,0.8810853739601667
lightgbm_lambdarank,mlp_listnet,0.9455432307858501,0.4536252210082234
lightgbm_lambdarank,nnrank,0.03720038947400114,0.4743220792937189
mlp_listnet,nnrank,0.15305873689105473,0.8068262992026823
