method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
random,masakhaner_mt5::ewe,ewe,lrl,hau,lrl,hau,lrl,0.7824610519537883,0.7824610519537883,0.0,0.89716021995878,1.0,1.0,masakhaner_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7824610519537883,0.0,"sna,tsn,nya,yor,wol,hau,luo,ibo,lug",9,1.0,1.0,1.0,0.7824610519537883,0.0,"sna,tsn,nya,yor,wol,hau,luo,ibo,lug"
random,masakhaner_mt5::hau,hau,lrl,ewe,lrl,nya,lrl,0.6702736276729232,0.7639342759325071,0.12260301862389364,0.6509329268323873,0.0,1.0,masakhaner_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7639342759325071,0.0,"tsn,sna,nya,yor,wol,ewe,lug,luo,ibo",9,1.0,1.0,1.0,0.7639342759325071,0.0,"tsn,sna,nya,yor,wol,ewe,lug,luo,ibo"
random,masakhaner_mt5::ibo,ibo,lrl,ewe,lrl,nya,lrl,0.6130834599631044,0.8405692874718217,0.27063304703045465,0.4143966033228182,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.8405692874718217,0.0,"tsn,nya,sna,yor,wol,ewe,hau,luo,lug",9,1.0,1.0,1.0,0.8405692874718217,0.0,"tsn,nya,sna,yor,wol,ewe,hau,luo,lug"
random,masakhaner_mt5::lug,lug,lrl,ewe,lrl,tsn,lrl,0.7126837597727865,0.7699917759873776,0.074426790001885,0.5039294104462673,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7699917759873776,0.0,"tsn,nya,sna,yor,wol,ewe,hau,luo,ibo",9,1.0,1.0,1.0,0.7699917759873776,0.0,"tsn,nya,sna,yor,wol,ewe,hau,luo,ibo"
random,masakhaner_mt5::luo,luo,lrl,hau,lrl,hau,lrl,0.6428147470895663,0.6428147470895663,0.0,0.9745913885981072,1.0,1.0,masakhaner_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.6428147470895663,0.0,"sna,tsn,nya,yor,wol,hau,ewe,lug,ibo",9,1.0,1.0,1.0,0.6428147470895663,0.0,"sna,tsn,nya,yor,wol,hau,ewe,lug,ibo"
random,masakhaner_mt5::nya,nya,lrl,hau,lrl,lug,lrl,0.7827591782104362,0.7887899816205876,0.007645638954187728,0.7380550650885381,0.0,1.0,masakhaner_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7887899816205876,0.0,"tsn,sna,yor,wol,ewe,hau,luo,lug,ibo",9,1.0,1.0,1.0,0.7887899816205876,0.0,"tsn,sna,yor,wol,ewe,hau,luo,lug,ibo"
random,masakhaner_mt5::sna,sna,lrl,ewe,lrl,nya,lrl,0.7241346974076829,0.8425038788629909,0.14049689790752573,0.4839689510696109,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.8425038788629909,0.0,"tsn,nya,yor,wol,hau,ewe,luo,lug,ibo",9,1.0,1.0,1.0,0.8425038788629909,0.0,"tsn,nya,yor,wol,hau,ewe,luo,lug,ibo"
random,masakhaner_mt5::tsn,tsn,lrl,ewe,lrl,hau,lrl,0.6435845630635626,0.7701879332425511,0.1643798412239185,0.46521382612660367,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7701879332425511,0.0,"sna,nya,yor,wol,hau,ewe,luo,lug,ibo",9,1.0,1.0,1.0,0.7701879332425511,0.0,"sna,nya,yor,wol,hau,ewe,luo,lug,ibo"
random,masakhaner_mt5::wol,wol,lrl,hau,lrl,nya,lrl,0.7210951127619958,0.7231750891078579,0.0028761725579182417,0.7247480921707672,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7231750891078579,0.0,"tsn,nya,sna,yor,ewe,hau,luo,ibo,lug",9,1.0,1.0,1.0,0.7231750891078579,0.0,"tsn,nya,sna,yor,ewe,hau,luo,ibo,lug"
random,masakhaner_mt5::yor,yor,lrl,hau,lrl,hau,lrl,0.7353381466803087,0.7353381466803087,0.0,0.9171206793354363,1.0,1.0,masakhaner_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7353381466803087,0.0,"sna,tsn,nya,wol,ewe,hau,lug,luo,ibo",9,1.0,1.0,1.0,0.7353381466803087,0.0,"sna,tsn,nya,wol,ewe,hau,lug,luo,ibo"
single_new_gen,masakhaner_mt5::ewe,ewe,lrl,ibo,lrl,hau,lrl,0.7666610358716239,0.7824610519537883,0.020192718912605444,0.5977050351613036,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7824610519537883,0.0,"sna,tsn,nya,yor,wol,hau,luo,ibo,lug",9,1.0,1.0,1.0,0.7824610519537883,0.0,"sna,tsn,nya,yor,wol,hau,luo,ibo,lug"
single_new_gen,masakhaner_mt5::hau,hau,lrl,ibo,lrl,nya,lrl,0.7101431897970113,0.7639342759325071,0.07041323819360629,0.5226845353892745,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7639342759325071,0.0,"tsn,sna,nya,yor,wol,ewe,lug,luo,ibo",9,1.0,1.0,1.0,0.7639342759325071,0.0,"tsn,sna,nya,yor,wol,ewe,lug,luo,ibo"
single_new_gen,masakhaner_mt5::ibo,ibo,lrl,yor,lrl,nya,lrl,0.7092681954541626,0.8405692874718217,0.15620496010813462,0.7192999401455309,0.0,1.0,masakhaner_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.8405692874718217,0.0,"tsn,nya,sna,yor,wol,ewe,hau,luo,lug",9,1.0,1.0,1.0,0.8405692874718217,0.0,"tsn,nya,sna,yor,wol,ewe,hau,luo,lug"
single_new_gen,masakhaner_mt5::lug,lug,lrl,sna,lrl,tsn,lrl,0.7379044795383299,0.7699917759873776,0.04167225865224517,0.8287932066456364,0.0,1.0,masakhaner_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7699917759873776,0.0,"tsn,nya,sna,yor,wol,ewe,hau,luo,ibo",9,1.0,1.0,1.0,0.7699917759873776,0.0,"tsn,nya,sna,yor,wol,ewe,hau,luo,ibo"
single_new_gen,masakhaner_mt5::luo,luo,lrl,hau,lrl,hau,lrl,0.6428147470895663,0.6428147470895663,0.0,0.8663034565316509,1.0,1.0,masakhaner_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.6428147470895663,0.0,"sna,tsn,nya,yor,wol,hau,ewe,lug,ibo",9,1.0,1.0,1.0,0.6428147470895663,0.0,"sna,tsn,nya,yor,wol,hau,ewe,lug,ibo"
single_new_gen,masakhaner_mt5::nya,nya,lrl,sna,lrl,lug,lrl,0.7883608654442746,0.7887899816205876,0.0005440182891665112,0.8663034565316509,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7887899816205876,0.0,"tsn,sna,yor,wol,ewe,hau,luo,lug,ibo",9,1.0,1.0,1.0,0.7887899816205876,0.0,"tsn,sna,yor,wol,ewe,hau,luo,lug,ibo"
single_new_gen,masakhaner_mt5::sna,sna,lrl,tsn,lrl,nya,lrl,0.8039881794610885,0.8425038788629909,0.04571575320683591,0.8287932066456364,0.0,1.0,masakhaner_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.8425038788629909,0.0,"tsn,nya,yor,wol,hau,ewe,luo,lug,ibo",9,1.0,1.0,1.0,0.8425038788629909,0.0,"tsn,nya,yor,wol,hau,ewe,luo,lug,ibo"
single_new_gen,masakhaner_mt5::tsn,tsn,lrl,sna,lrl,hau,lrl,0.7409822790928483,0.7701879332425511,0.037920165831142924,0.7392603995221873,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7701879332425511,0.0,"sna,nya,yor,wol,hau,ewe,luo,lug,ibo",9,1.0,1.0,1.0,0.7701879332425511,0.0,"sna,nya,yor,wol,hau,ewe,luo,lug,ibo"
single_new_gen,masakhaner_mt5::wol,wol,lrl,ibo,lrl,nya,lrl,0.7159784252678257,0.7231750891078579,0.0099514819418217,0.61766549453796,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7231750891078579,0.0,"tsn,nya,sna,yor,ewe,hau,luo,ibo,lug",9,1.0,1.0,1.0,0.7231750891078579,0.0,"tsn,nya,sna,yor,ewe,hau,luo,ibo,lug"
single_new_gen,masakhaner_mt5::yor,yor,lrl,ibo,lrl,hau,lrl,0.7079083216051746,0.7353381466803087,0.03730232845795686,0.5789499102182963,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7353381466803087,0.0,"sna,tsn,nya,wol,ewe,hau,lug,luo,ibo",9,1.0,1.0,1.0,0.7353381466803087,0.0,"sna,tsn,nya,wol,ewe,hau,lug,luo,ibo"
single_new_typ,masakhaner_mt5::ewe,ewe,lrl,luo,lrl,hau,lrl,0.7625160025377455,0.7824610519537883,0.025490149786037843,0.5093775624715036,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7824610519537883,0.0,"sna,tsn,nya,yor,wol,hau,luo,ibo,lug",9,1.0,1.0,1.0,0.7824610519537883,0.0,"sna,tsn,nya,yor,wol,hau,luo,ibo,lug"
single_new_typ,masakhaner_mt5::hau,hau,lrl,yor,lrl,nya,lrl,0.7210566429560229,0.7639342759325071,0.05612738468128686,0.5027240760126181,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7639342759325071,0.0,"tsn,sna,nya,yor,wol,ewe,lug,luo,ibo",9,1.0,1.0,1.0,0.7639342759325071,0.0,"tsn,sna,nya,yor,wol,ewe,lug,luo,ibo"
single_new_typ,masakhaner_mt5::ibo,ibo,lrl,yor,lrl,nya,lrl,0.7092681954541626,0.8405692874718217,0.15620496010813462,0.8154862337278654,0.0,1.0,masakhaner_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.8405692874718217,0.0,"tsn,nya,sna,yor,wol,ewe,hau,luo,lug",9,1.0,1.0,1.0,0.8405692874718217,0.0,"tsn,nya,sna,yor,wol,ewe,hau,luo,lug"
single_new_typ,masakhaner_mt5::lug,lug,lrl,tsn,lrl,tsn,lrl,0.7699917759873776,0.7699917759873776,0.0,0.942529290737329,1.0,1.0,masakhaner_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7699917759873776,0.0,"tsn,nya,sna,yor,wol,ewe,hau,luo,ibo",9,1.0,1.0,1.0,0.7699917759873776,0.0,"tsn,nya,sna,yor,wol,ewe,hau,luo,ibo"
single_new_typ,masakhaner_mt5::luo,luo,lrl,nya,lrl,hau,lrl,0.6410516471104853,0.6428147470895663,0.002742780851036251,0.7955257743512091,0.0,0.0,masakhaner_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.6428147470895663,0.0,"sna,tsn,nya,yor,wol,hau,ewe,lug,ibo",9,1.0,1.0,1.0,0.6428147470895663,0.0,"sna,tsn,nya,yor,wol,hau,ewe,lug,ibo"
single_new_typ,masakhaner_mt5::nya,nya,lrl,tsn,lrl,lug,lrl,0.7860107137049926,0.7887899816205876,0.0035234574225763314,0.7888722878923236,0.0,1.0,masakhaner_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.7887899816205876,0.0,"tsn,sna,yor,wol,ewe,hau,luo,lug,ibo",9,1.0,1.0,1.0,0.7887899816205876,0.0,"tsn,sna,yor,wol,ewe,hau,luo,lug,ibo"
single_new_typ,masakhaner_mt5::sna,sna,lrl,tsn,lrl,nya,lrl,0.8039881794610885,0.8425038788629909,0.04571575320683591,0.8663034565316509,0.0,1.0,masakhaner_mt5,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.8425038788629909,0.0,"tsn,nya,yor,wol,hau,ewe,luo,lug,ibo",9,1.0,1.0,1.0,0.8425038788629909,0.0,"tsn,nya,yor,wol,hau,ewe,luo,lug,ibo"
