method,hrl->hrl,hrl->mrl,hrl->lrl,mrl->hrl,mrl->mrl,mrl->lrl,lrl->hrl,lrl->mrl,lrl->lrl,*->hrl,*->mrl,*->lrl
random,,,,,,,,,7.830614062997836,,,7.830614062997836
single_new_gen,,,,,,,,,4.199169235935154,,,4.199169235935154
single_new_typ,,,,,,,,,3.2781465128925755,,,3.2781465128925755
single_new_geo,,,,,,,,,5.5382762742114675,,,5.5382762742114675
single_script,,,,,,,,,8.237523411184482,,,8.237523411184482
single_distals_asjp,,,,,,,,,4.638106947669838,,,4.638106947669838
single_distals_wiki_size,,,,,,,,,9.29627579570305,,,9.29627579570305
composite_equal,,,,,,,,,4.665846962110862,,,4.665846962110862
rrf_equal,,,,,,,,,4.978532046661745,,,4.978532046661745
lightgbm_lambdarank,,,,,,,,,3.3698444878176503,,,3.3698444878176503
mlp_listnet,,,,,,,,,4.522697727078941,,,4.522697727078941
nnrank,,,,,,,,,5.312076992308796,,,5.312076992308796
