method_a,method_b,ndcg_p_value,performance_loss_p_value
random,single_new_gen,0.41382870884349965,0.31187255892190235
random,single_new_typ,0.3988039906396977,0.2747525199026647
random,single_new_geo,0.006440428787530924,0.02368352037895644
random,single_script,0.602280317196924,0.56314297884043
random,single_distals_asjp,0.11388583738092341,0.04574282761942983
random,single_distals_wiki_size,0.3427222760394754,0.7453662238012475
random,composite_equal,0.21375665535782956,0.14711830403279627
random,rrf_equal,0.15449728766371892,0.05800217401939745
random,lightgbm_lambdarank,0.004554505783473022,0.060583865026334886
random,mlp_listnet,0.06275691944934118,0.06203330639607511
random,nnrank,0.9462516581741026,0.2985666849779474
single_new_gen,single_new_typ,0.7390381222621035,0.8593335551347356
single_new_gen,single_new_geo,0.024494977729746858,0.020481262518104178
single_new_gen,single_script,0.16277174430138644,0.6319631828717223
single_new_gen,single_distals_asjp,0.16202127011367595,0.03130452289930436
single_new_gen,single_distals_wiki_size,0.09983314174518158,0.3989065204947156
single_new_gen,composite_equal,0.27707361160526817,0.5518111471410476
single_new_gen,rrf_equal,0.2071553212710859,0.36327982161417005
single_new_gen,lightgbm_lambdarank,0.007157260500088978,0.09005905576659469
single_new_gen,mlp_listnet,0.2593544156475069,0.11207136587358126
single_new_gen,nnrank,0.5546318788618041,0.7044454784054569
single_new_typ,single_new_geo,0.14935243023049502,0.24090189019139271
single_new_typ,single_script,0.06047699411062502,0.4878656388667873
single_new_typ,single_distals_asjp,0.3691105304862866,0.24988402078309757
single_new_typ,single_distals_wiki_size,0.1705897607353271,0.3407654478400279
single_new_typ,composite_equal,0.4814450175062493,0.597569788454514
single_new_typ,rrf_equal,0.3294873182435086,0.2233936684055628
single_new_typ,lightgbm_lambdarank,0.058674254983803395,0.48179722853620166
single_new_typ,mlp_listnet,0.4825405323211784,0.4975091056336652
single_new_typ,nnrank,0.44786757930935106,0.6665374992892709
single_new_geo,single_script,0.012443111983908012,0.11902862379841127
single_new_geo,single_distals_asjp,0.11647639877024855,0.770184192106415
single_new_geo,single_distals_wiki_size,0.012939197063969574,0.032745942045045585
single_new_geo,composite_equal,0.33635390155642747,0.46806755417295326
single_new_geo,rrf_equal,0.32026129215612975,0.7259804076223441
single_new_geo,lightgbm_lambdarank,0.9072224090726818,0.24728746640279262
single_new_geo,mlp_listnet,0.06893021759251258,0.28912013352383925
single_new_geo,nnrank,0.010405400324138711,0.09169412545212899
single_script,single_distals_asjp,0.0025879971113500003,0.15195783102263433
single_script,single_distals_wiki_size,0.6440195245696051,0.8799510271683024
single_script,composite_equal,0.0005168525786348822,0.19653009171167068
single_script,rrf_equal,1.8053176227287572e-05,0.13529653475147027
single_script,lightgbm_lambdarank,0.003973333381588368,0.23776757022626135
single_script,mlp_listnet,0.05924892570385282,0.2513230405905253
single_script,nnrank,0.4579805505635488,0.721663066067241
single_distals_asjp,single_distals_wiki_size,0.044927575414494825,0.05325129671519964
single_distals_asjp,composite_equal,0.9913626828869249,0.5034113140246796
single_distals_asjp,rrf_equal,0.838374968936978,0.8013524060260453
single_distals_asjp,lightgbm_lambdarank,0.01527377079865687,0.33736330063852515
single_distals_asjp,mlp_listnet,0.8174567239178241,0.36007548173045806
single_distals_asjp,nnrank,0.07472434371966415,0.11581559086120127
single_distals_wiki_size,composite_equal,0.02007162267006267,0.09576410816288378
single_distals_wiki_size,rrf_equal,0.0288498315849311,0.04721372196699972
single_distals_wiki_size,lightgbm_lambdarank,0.01026837749212953,0.06570302134336936
single_distals_wiki_size,mlp_listnet,0.027756134480817665,0.07243651441248405
single_distals_wiki_size,nnrank,0.39605347595170554,0.7048587921059041
composite_equal,rrf_equal,0.7631684414222687,0.34343639613791355
composite_equal,lightgbm_lambdarank,0.24616987991560313,0.788326142356306
composite_equal,mlp_listnet,0.8805825984882348,0.8046036116212262
composite_equal,nnrank,0.1643234320197853,0.38284680149163197
rrf_equal,lightgbm_lambdarank,0.21536643441947595,0.8844950222893382
rrf_equal,mlp_listnet,0.945448050500578,0.8763427224630497
rrf_equal,nnrank,0.12922011338502928,0.25086102950879724
lightgbm_lambdarank,mlp_listnet,0.056864663426236695,0.8300173613156355
lightgbm_lambdarank,nnrank,0.0063315435950535735,0.18089261349964503
mlp_listnet,nnrank,0.08966196339270006,0.19002682782808017
