method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
random,masakhaner_xlm-r::ewe,ewe,lrl,hau,lrl,hau,lrl,0.5397148000687414,0.5397148000687414,0.0,0.7634636764904309,1.0,1.0,masakhaner_xlm-r,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.5397148000687414,0.0,"sna,tsn,nya,yor,wol,hau,luo,ibo,lug",9,1.0,1.0,1.0,0.5397148000687414,0.0,"sna,tsn,nya,yor,wol,hau,luo,ibo,lug"
random,masakhaner_xlm-r::hau,hau,lrl,ewe,lrl,luo,lrl,0.4562809016662559,0.621295095416383,0.26559712923459816,0.7138517881202946,0.0,1.0,masakhaner_xlm-r,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.621295095416383,0.0,"tsn,sna,nya,yor,wol,ewe,lug,luo,ibo",9,1.0,1.0,1.0,0.621295095416383,0.0,"tsn,sna,nya,yor,wol,ewe,lug,luo,ibo"
random,masakhaner_xlm-r::ibo,ibo,lrl,ewe,lrl,yor,lrl,0.3254170961693432,0.4912795924942488,0.3376132427622612,0.6563810788576236,0.0,0.0,masakhaner_xlm-r,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.4912795924942488,0.0,"tsn,nya,sna,yor,wol,ewe,hau,luo,lug",9,1.0,1.0,1.0,0.4912795924942488,0.0,"tsn,nya,sna,yor,wol,ewe,hau,luo,lug"
random,masakhaner_xlm-r::lug,lug,lrl,ewe,lrl,luo,lrl,0.5114841341921023,0.6089540289840243,0.16006117071684425,0.6309724674557309,0.0,1.0,masakhaner_xlm-r,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.6089540289840243,0.0,"tsn,nya,sna,yor,wol,ewe,hau,luo,ibo",9,1.0,1.0,1.0,0.6089540289840243,0.0,"tsn,nya,sna,yor,wol,ewe,hau,luo,ibo"
random,masakhaner_xlm-r::luo,luo,lrl,hau,lrl,lug,lrl,0.4317468072849714,0.4358913422878965,0.009508183808311881,0.9358758042784435,0.0,1.0,masakhaner_xlm-r,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.4358913422878965,0.0,"sna,tsn,nya,yor,wol,hau,ewe,lug,ibo",9,1.0,1.0,1.0,0.4358913422878965,0.0,"sna,tsn,nya,yor,wol,hau,ewe,lug,ibo"
random,masakhaner_xlm-r::nya,nya,lrl,hau,lrl,sna,lrl,0.4789742293143916,0.5369746145215419,0.10801327220809155,0.7392603995221873,0.0,0.0,masakhaner_xlm-r,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.5369746145215419,0.0,"tsn,sna,yor,wol,ewe,hau,luo,lug,ibo",9,1.0,1.0,1.0,0.5369746145215419,0.0,"tsn,sna,yor,wol,ewe,hau,luo,lug,ibo"
random,masakhaner_xlm-r::sna,sna,lrl,ewe,lrl,yor,lrl,0.2574387875345992,0.3781543282644001,0.3192229513380006,0.5747070926267092,0.0,1.0,masakhaner_xlm-r,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.3781543282644001,0.0,"tsn,nya,yor,wol,hau,ewe,luo,lug,ibo",9,1.0,1.0,1.0,0.3781543282644001,0.0,"tsn,nya,yor,wol,hau,ewe,luo,lug,ibo"
random,masakhaner_xlm-r::tsn,tsn,lrl,ewe,lrl,nya,lrl,0.3208374230293613,0.4927299654627095,0.34885749696982304,0.46521382612660367,0.0,0.0,masakhaner_xlm-r,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.4927299654627095,0.0,"sna,nya,yor,wol,hau,ewe,luo,lug,ibo",9,1.0,1.0,1.0,0.4927299654627095,0.0,"sna,nya,yor,wol,hau,ewe,luo,lug,ibo"
random,masakhaner_xlm-r::wol,wol,lrl,hau,lrl,yor,lrl,0.3687312009951314,0.409444948533901,0.099436438731393,0.5801552446519455,0.0,0.0,masakhaner_xlm-r,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.409444948533901,0.0,"tsn,nya,sna,yor,ewe,hau,luo,ibo,lug",9,1.0,1.0,1.0,0.409444948533901,0.0,"tsn,nya,sna,yor,ewe,hau,luo,ibo,lug"
random,masakhaner_xlm-r::yor,yor,lrl,hau,lrl,ibo,lrl,0.2971355838498393,0.307247127887072,0.032910133633370094,0.7314015786296526,0.0,0.0,masakhaner_xlm-r,0.1,0.05,inf,9,9,1.0,1.0,1.0,0.307247127887072,0.0,"sna,tsn,nya,wol,ewe,hau,lug,luo,ibo",9,1.0,1.0,1.0,0.307247127887072,0.0,"sna,tsn,nya,wol,ewe,hau,lug,luo,ibo"
