method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance_loss
single_new_geo,84.15601937756468,5.311197031769667,50.0,80.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
single_distals_asjp,77.67706494082019,5.782376499773103,40.0,50.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
rrf_equal,78.23658461765719,6.6126321222472795,40.0,50.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
lightgbm_lambdarank,84.45253366749948,7.155161980779499,30.0,70.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
mlp_listnet,78.65098122098001,7.207494491871974,40.0,60.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
composite_equal,77.63463676490431,8.265378262444264,40.0,50.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
single_new_typ,73.87782657487276,10.121017069442084,20.0,50.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
single_new_gen,72.16575864132912,11.030263232277596,30.0,50.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
nnrank,68.34241358670872,12.76369072507491,20.0,70.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
single_script,64.10645578334216,14.021259848580936,10.0,30.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
single_distals_wiki_size,60.3220672789653,14.901906076480726,20.0,20.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
random,67.9128295675962,16.81220019402694,10.0,50.0,10,9.0,100.0,100.0,100.0,0.0,9.0,100.0,100.0,100.0,0.0
