method_a,method_b,ndcg_p_value,performance_loss_p_value
random,single_new_gen,4.344411476595385e-07,2.2169352223296544e-08
random,single_new_typ,3.096999544123884e-05,1.751734950987491e-05
random,single_new_geo,5.013529897935275e-08,1.8276024971751383e-07
random,single_script,0.0010003729058254665,4.801563967981215e-06
random,single_distals_asjp,8.488779030902327e-07,1.834258680989702e-08
random,single_distals_wiki_size,0.01835514464871927,0.09216389239291038
random,composite_equal,5.931356667309161e-06,4.379442667087939e-07
random,rrf_equal,9.803250315500801e-05,5.595903427051248e-06
random,lightgbm_lambdarank,2.996133905809188e-08,7.397551945173398e-08
random,mlp_listnet,1.282358095210576e-09,4.222697194117738e-10
random,nnrank,9.029649768207397e-09,1.0099159305326088e-09
single_new_gen,single_new_typ,0.1902152439277697,0.09503464916107734
single_new_gen,single_new_geo,0.7151114192120263,0.6352817783515999
single_new_gen,single_script,0.00020419125136737616,0.17222038633988626
single_new_gen,single_distals_asjp,0.5371944494204314,0.6521373967283279
single_new_gen,single_distals_wiki_size,8.649706560643461e-05,3.500724118344873e-06
single_new_gen,composite_equal,0.4120821617960302,0.6755330052372932
single_new_gen,rrf_equal,0.019530644452323092,0.23656653766683006
single_new_gen,lightgbm_lambdarank,0.044134559878540675,0.6202438259321873
single_new_gen,mlp_listnet,0.0008732837123385252,0.11821066480971412
single_new_gen,nnrank,0.18487489129106793,0.07784646688497623
single_new_typ,single_new_geo,0.0777080038825801,0.19523758305475805
single_new_typ,single_script,0.0038966015924270965,0.7606701089997494
single_new_typ,single_distals_asjp,0.07259857044603607,0.1628869131654011
single_new_typ,single_distals_wiki_size,0.0030823648511111245,0.0007160088760486337
single_new_typ,composite_equal,0.5158181062915687,0.16204481039440827
single_new_typ,rrf_equal,0.5106680301730698,0.35483270670398104
single_new_typ,lightgbm_lambdarank,0.0003338795295871006,0.03862792617793548
single_new_typ,mlp_listnet,3.6964073909250316e-05,0.003656860984498793
single_new_typ,nnrank,0.006388029573329754,0.0018264958072862867
single_new_geo,single_script,6.092716088238945e-05,0.41950402963378863
single_new_geo,single_distals_asjp,0.8687365324163948,0.8749107563240316
single_new_geo,single_distals_wiki_size,1.0707035308836122e-05,2.457711952186642e-05
single_new_geo,composite_equal,0.2487830645217507,0.8538969918430998
single_new_geo,rrf_equal,0.013016925915178744,0.6472941878409048
single_new_geo,lightgbm_lambdarank,0.06293213467758103,0.31968310964064484
single_new_geo,mlp_listnet,0.00967223120774356,0.08670059664197455
single_new_geo,nnrank,0.4247701091092286,0.07677169095797919
single_script,single_distals_asjp,3.912548220730654e-05,0.25167965649683804
single_script,single_distals_wiki_size,0.2904856237501235,0.0013979096766492723
single_script,composite_equal,0.0005814335569933155,0.2875440716557791
single_script,rrf_equal,0.018220590341763657,0.594422277805076
single_script,lightgbm_lambdarank,1.0555943541185686e-08,0.07735348586246947
single_script,mlp_listnet,5.9720462218477e-10,0.014063571276419246
single_script,nnrank,3.829737807064095e-08,0.010589586662131369
single_distals_asjp,single_distals_wiki_size,3.125852215929222e-05,2.6010171162911782e-05
single_distals_asjp,composite_equal,0.042547447106036126,0.981617906050253
single_distals_asjp,rrf_equal,0.0004840001596571662,0.47179334418808994
single_distals_asjp,lightgbm_lambdarank,0.058205060882770304,0.2761612481412145
single_distals_asjp,mlp_listnet,0.006854399045942229,0.019460788994561582
single_distals_asjp,nnrank,0.5429423881903731,0.07357613361842252
single_distals_wiki_size,composite_equal,0.000148014502221181,1.0080590652498174e-05
single_distals_wiki_size,rrf_equal,0.004631662762736881,4.96990564757251e-05
single_distals_wiki_size,lightgbm_lambdarank,2.3426405635815558e-07,1.869945777246954e-06
single_distals_wiki_size,mlp_listnet,1.4428921529806976e-08,2.6316891923099233e-07
single_distals_wiki_size,nnrank,1.499008824696243e-06,3.1581384442874095e-08
composite_equal,rrf_equal,0.0037989307053147873,0.24671624154804056
composite_equal,lightgbm_lambdarank,0.0008483223079976388,0.30774875357807663
composite_equal,mlp_listnet,5.935778770194375e-06,0.07309542322711905
composite_equal,nnrank,0.006558946949071201,0.026826772822178106
rrf_equal,lightgbm_lambdarank,4.555552031110259e-06,0.07358880952140709
rrf_equal,mlp_listnet,9.068496053490097e-09,0.0184132937474475
rrf_equal,nnrank,9.559691575561506e-06,0.004032375529719859
lightgbm_lambdarank,mlp_listnet,0.5656899945830143,0.13041855509042782
lightgbm_lambdarank,nnrank,0.19381869721221978,0.23207830261226156
mlp_listnet,nnrank,0.019067148583345402,0.8689614047127456
