method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
random,opus100::amh,amh,lrl,lit,mrl,ben,mrl,0.2557803972242186,1.7376664967515505,0.8528023658726329,0.03206209786077819,0.0,0.0,opus100,0.1,0.05,24.0,24,24,0.9230769230769231,1.0,1.0,1.7376664967515505,0.0,"nld,slk,jpn,ita,lit,por,pol,rus,ron,tha,swe,ukr,vie,tur,dan,ces,ben,heb,hrv,fra,ind,hun,spa,fin",10,0.38461538461538464,1.0,1.0,1.7376664967515505,0.0,"nld,jpn,lit,pol,swe,vie,ben,ind,hun,spa"
random,opus100::asm,asm,lrl,lit,mrl,ben,mrl,5.578465020939614,20.2044160111796,0.7238987250186835,0.27525190782923276,0.0,0.0,opus100,0.1,0.05,24.0,24,24,0.9230769230769231,1.0,1.0,20.2044160111796,0.0,"slk,nld,swe,kor,lit,pol,por,rus,ron,tha,tur,vie,ukr,dan,ces,spa,ben,hrv,heb,ind,ita,hun,fra,fin",10,0.38461538461538464,1.0,1.0,20.2044160111796,0.0,"slk,swe,lit,por,tur,ukr,ben,ita,hun,fra"
random,opus100::bel,bel,mrl,lit,mrl,ukr,mrl,5.630658457262708,18.01834699901645,0.6875041613101323,0.0,0.0,0.0,opus100,0.1,0.05,24.0,24,24,0.9230769230769231,1.0,1.0,18.01834699901645,0.0,"slk,nld,kor,ita,lit,ron,pol,por,rus,tur,swe,tha,vie,ukr,dan,deu,spa,ben,hrv,heb,ind,hun,fra,fin",10,0.38461538461538464,0.0,0.0,8.570558590358525,0.5243426829982597,"slk,kor,lit,pol,swe,vie,spa,ind,hun,fra"
random,opus100::ben,ben,mrl,lit,mrl,jpn,hrl,1.6529516549205705,4.145626749233094,0.6012782252463147,0.36357938051903277,0.0,0.0,opus100,0.1,0.05,24.0,24,24,0.96,1.0,1.0,4.145626749233094,0.0,"nld,slk,kor,ita,jpn,lit,por,pol,ron,rus,tha,tur,swe,vie,ukr,dan,ces,hrv,fra,heb,ind,hun,spa,fin",10,0.4,0.0,0.0,3.8459896231496655,0.07227788322691112,"nld,kor,lit,pol,tur,vie,hrv,hun,spa,fin"
random,opus100::bre,bre,lrl,por,mrl,nld,mrl,4.035142399173494,6.0242505758357545,0.33018350608470637,0.0,0.0,0.0,opus100,0.1,0.05,24.0,24,24,0.9230769230769231,1.0,1.0,6.0242505758357545,0.0,"slk,nld,kor,jpn,por,ron,pol,rus,tur,tha,swe,vie,ukr,dan,deu,ces,ben,hrv,heb,ind,ita,hun,fra,fin",10,0.38461538461538464,1.0,0.0,6.008177585272859,0.0026680481431775927,"slk,kor,por,pol,swe,ukr,ben,ita,hun,fra"
random,opus100::ces,ces,mrl,lit,mrl,slk,mrl,8.494315312549528,26.62864738455812,0.6810083820676766,0.15245166841135635,0.0,0.0,opus100,0.1,0.05,24.0,24,24,0.96,1.0,1.0,26.62864738455812,0.0,"slk,nld,swe,kor,jpn,lit,ron,por,rus,tur,tha,vie,pol,ukr,dan,deu,spa,hrv,heb,ita,hun,ind,fra,fin",10,0.4,1.0,1.0,26.62864738455812,0.0,"slk,swe,lit,por,vie,ukr,hrv,ind,fra,fin"
random,opus100::dan,dan,mrl,lit,mrl,swe,mrl,3.920894775997727,19.220950583451007,0.7960093201959758,0.1270430570094636,0.0,0.0,opus100,0.1,0.05,24.0,24,24,0.96,1.0,1.0,19.220950583451007,0.0,"slk,nld,swe,kor,jpn,lit,por,ron,pol,rus,tur,tha,vie,ukr,ces,spa,deu,hrv,heb,ind,ita,hun,fin,fra",10,0.4,1.0,1.0,19.220950583451007,0.0,"slk,swe,lit,ron,tha,ukr,hrv,hun,fin,fra"
random,opus100::deu,deu,hrl,lit,mrl,fra,hrl,12.879290715487857,14.3482,0.10237585791333711,0.0,0.0,0.0,opus100,0.1,0.05,24.0,24,24,0.96,1.0,1.0,14.3482,0.0,"slk,nld,swe,kor,jpn,lit,ron,por,rus,tur,tha,vie,pol,ukr,ces,dan,spa,hrv,heb,hun,ita,ind,fra,fin",10,0.4,1.0,1.0,14.3482,0.0,"slk,swe,lit,por,vie,ukr,hrv,ind,fra,fin"
random,opus100::fin,fin,mrl,lit,mrl,ukr,mrl,3.201104332030265,3.548430749626707,0.09788169534743792,0.7888722878923236,0.0,0.0,opus100,0.1,0.05,24.0,24,24,0.96,1.0,1.0,3.548430749626707,0.0,"nld,slk,jpn,kor,ita,lit,por,pol,rus,ron,tha,tur,swe,vie,ukr,dan,ces,ben,spa,hrv,heb,ind,hun,fra",10,0.4,0.0,0.0,3.201104332030265,0.09788169534743792,"nld,jpn,lit,pol,tur,vie,ben,ind,hun,fra"
random,opus100::fra,fra,hrl,ron,mrl,kor,mrl,6.115427454417702,11.235665043718877,0.4557129079033522,0.37688635343680366,0.0,0.0,opus100,0.1,0.05,24.0,24,24,0.96,1.0,1.0,11.235665043718877,0.0,"slk,nld,kor,jpn,lit,ron,pol,por,rus,tur,swe,tha,vie,ukr,dan,deu,ces,ben,hrv,heb,ind,ita,hun,fin",10,0.4,1.0,1.0,11.235665043718877,0.0,"slk,kor,ron,por,tha,ukr,ben,ita,hun,fin"
