method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance_loss
nnrank,58.571081621240936,15.025313711046573,52.17391304347826,58.69565217391305,46,21.108695652173914,83.0167224080268,95.65217391304348,95.65217391304348,0.867507875899376,10.0,39.33110367892975,82.6086956521739,82.6086956521739,4.708071485605729
mlp_listnet,64.6020381857084,15.584982931822855,54.347826086956516,73.91304347826086,46,18.52173913043478,72.8361204013378,91.30434782608695,91.30434782608695,2.9123346901692218,10.0,39.33110367892975,84.78260869565217,82.6086956521739,4.406028641646942
lightgbm_lambdarank,63.019895630646,19.065022336091992,50.0,67.3913043478261,46,20.608695652173914,81.02341137123744,95.65217391304348,89.13043478260869,1.3676265923151139,10.0,39.33110367892975,86.95652173913044,78.26086956521739,3.9484785950563097
single_new_gen,53.93109243755131,20.80343298524251,41.30434782608695,47.82608695652174,46,14.217391304347826,55.91973244147158,89.13043478260869,80.43478260869566,3.2051108866886446,10.0,39.33110367892975,76.08695652173914,67.3913043478261,5.8320312946843895
composite_equal,50.820785786684944,22.4128297681817,43.47826086956522,58.69565217391305,46,18.391304347826086,72.33779264214047,93.47826086956522,91.30434782608695,1.5873449833460718,10.0,39.33110367892975,89.13043478260869,82.6086956521739,3.9021837703065296
single_distals_asjp,56.28381527749462,22.50949051395352,39.130434782608695,58.69565217391305,46,19.32608695652174,75.9933110367893,91.30434782608695,91.30434782608695,2.0743942777530306,10.0,39.33110367892975,76.08695652173914,73.91304347826086,6.004205584671943
single_new_geo,55.51837058983038,23.301501825454896,45.65217391304348,63.04347826086957,46,20.695652173913043,81.41137123745821,93.47826086956522,91.30434782608695,2.7377138445183613,10.0,39.33110367892975,86.95652173913044,82.6086956521739,4.543770605276771
rrf_equal,45.144672725643474,25.681238477823054,39.130434782608695,56.52173913043478,46,17.52173913043478,68.89297658862876,89.13043478260869,89.13043478260869,3.164231759785884,10.0,39.33110367892975,89.13043478260869,86.95652173913044,2.7619339595705186
single_script,36.88687106219841,28.266137020556155,39.130434782608695,50.0,46,22.565217391304348,88.75585284280938,89.13043478260869,89.13043478260869,2.1758547782124196,10.0,39.33110367892975,73.91304347826086,67.3913043478261,7.816712063728907
single_new_typ,47.91423420226947,29.775667818215435,34.78260869565217,52.17391304347826,46,21.130434782608695,83.1036789297659,84.78260869565217,84.78260869565217,4.015593987266019,10.0,39.33110367892975,76.08695652173914,67.3913043478261,7.084724992888041
single_distals_wiki_size,32.896615032363194,48.60473877528341,13.043478260869565,26.08695652173913,46,15.521739130434783,61.023411371237465,82.6086956521739,73.91304347826086,6.392445468711433,10.0,39.33110367892975,54.347826086956516,45.65217391304348,14.615900046579103
random,21.628658211296116,57.02267319180558,0.0,8.695652173913043,46,23.217391304347824,91.32441471571906,97.82608695652173,93.47826086956522,0.6284023193645347,10.0,39.33110367892975,67.3913043478261,54.347826086956516,11.950193437926817
