method,hrl->hrl,hrl->mrl,hrl->lrl,mrl->hrl,mrl->mrl,mrl->lrl,lrl->hrl,lrl->mrl,lrl->lrl,*->hrl,*->mrl,*->lrl
random,,,,46.958328620037534,58.33971539888159,57.39856574824908,,,,46.958328620037534,58.33971539888159,57.39856574824908
single_new_gen,42.20941192411044,17.979833707624103,34.82097851330877,28.850612625852428,18.40538869626776,9.471229773142008,,,,32.19031245041693,18.22534620107237,22.14610414322539
single_new_typ,,17.206849532536612,39.630812863612356,23.702089216398843,35.645520451553246,21.83603908162419,,,,23.702089216398843,34.22716115009044,24.06038580437271
single_new_geo,,11.471233021691074,31.076826283572796,10.436017174127011,30.22432348987075,15.947799776276794,,,,10.436017174127011,28.06050535892694,18.784492246394795
single_script,,19.28784899400412,,44.03659359382868,29.308109613457706,23.882849991204726,,,,44.03659359382868,28.537320335038196,23.882849991204726
single_distals_asjp,,28.215538394564042,4.907673944069604,41.01137708526068,20.824647400313538,19.69859899810638,,,,41.01137708526068,21.961707553275154,18.77416618222908
single_distals_wiki_size,0.0,58.93879456008382,,43.980150067141295,52.3847882517384,44.31893796091797,,,,32.98511255035597,53.645174080266365,44.31893796091797
composite_equal,,19.18903575210612,,10.436017174127011,28.908475419737012,17.888933629052662,,,,10.436017174127011,27.03935240673107,17.888933629052662
rrf_equal,,23.98629469013265,,21.081994098502033,27.72481662206095,24.4448655712488,,,,21.081994098502033,27.149659401764293,24.4448655712488
lightgbm_lambdarank,,19.27148291866128,16.313875565519826,18.512051684647062,19.15199360630047,19.42037704123918,,,,18.512051684647062,19.170376577432897,19.03206435677426
mlp_listnet,,11.471233021691074,19.85054956557591,25.317330151123898,15.340421053475445,12.4161927251703,,,,25.317330151123898,14.89397628057725,14.274781935271703
nnrank,,25.165077416189526,,10.436017174127011,15.371050203989093,12.550182540432234,,,,10.436017174127011,17.2545169755661,12.550182540432234
