method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
random,sib200_mt5::amh,amh,lrl,ces,mrl,kor,mrl,0.737629061183166,0.7904340141802447,0.06680501098101468,0.17786027981324906,0.0,0.0,sib200_mt5,0.1,0.05,21.0,21,21,0.3088235294117647,1.0,0.0,0.7833324383265011,0.008984400628442859,"lug,som,ces,sna,luo,arb,lin,hun,hrv,nld,ibo,wol,ron,dan,bel,pes,azb,asm,tel,ben,mya",10,0.14705882352941177,1.0,0.0,0.7818134799086136,0.010906077062702614,"som,ces,arb,lin,hun,nld,ibo,dan,bel,pes"
random,sib200_mt5::arb,arb,hrl,ron,mrl,npi,lrl,0.859869495590228,0.9032292625893178,0.048005272631213174,0.10163444560757089,0.0,0.0,sib200_mt5,0.1,0.05,21.0,21,21,0.3088235294117647,1.0,0.0,0.8895152067145867,0.01518336090597477,"hat,hrv,ron,por,eng,pol,kik,ita,nld,ind,ilo,luo,yor,tur,rus,urd,ckb,tam,tha,tel,mni",10,0.14705882352941177,1.0,0.0,0.8895152067145867,0.01518336090597477,"hrv,ron,pol,kik,ita,ind,ilo,tur,rus,urd"
random,sib200_mt5::asm,asm,lrl,ces,mrl,tam,mrl,0.7287991234910163,0.7743092020674748,0.05877507132156318,0.0,0.0,0.0,sib200_mt5,0.1,0.05,21.0,21,21,0.3088235294117647,1.0,0.0,0.7507984522335482,0.03036351598450688,"som,ilo,ces,slk,luo,kik,lin,vie,hun,ind,ibo,nld,dik,dan,bel,pes,azb,kor,heb,ben,kan",10,0.14705882352941177,1.0,0.0,0.7507984522335482,0.03036351598450688,"ilo,ces,kik,lin,vie,ind,ibo,dan,bel,pes"
random,sib200_mt5::azb,azb,lrl,lit,mrl,mal,lrl,0.6515443574998709,0.7240501650371033,0.1001392044893973,0.0,0.0,0.0,sib200_mt5,0.1,0.05,21.0,21,21,0.3088235294117647,1.0,0.0,0.7215519078110741,0.0034503924543696812,"nya,spa,lit,wol,yor,swe,nld,tur,luo,dik,dan,ewe,ibo,ind,bel,ckb,urd,amh,guj,kor,bod",10,0.14705882352941177,0.0,0.0,0.6868149083645453,0.05142634926497105,"spa,lit,swe,nld,tur,dik,dan,ind,bel,ckb"
random,sib200_mt5::bel,bel,mrl,arb,hrl,kor,mrl,0.8180659657845311,0.8745612240408233,0.06459840283709524,0.0,0.0,0.0,sib200_mt5,0.1,0.05,21.0,21,21,0.3088235294117647,1.0,0.0,0.8647780015183876,0.011186435270058371,"lug,hat,arb,por,lit,slk,kik,nld,yor,swh,fin,dik,swe,mri,tgk,urd,pes,tha,kan,bod,heb",10,0.14705882352941177,1.0,0.0,0.8543895492992298,0.023064908650296895,"hat,arb,slk,kik,nld,swh,fin,mri,tgk,urd"
random,sib200_mt5::ben,ben,mrl,ces,mrl,spa,hrl,0.8282070365893163,0.8675302395167322,0.04532776050471903,0.0,0.0,0.0,sib200_mt5,0.1,0.05,21.0,21,21,0.3088235294117647,1.0,0.0,0.8392389388187708,0.03261131359953687,"lug,som,ces,luo,sna,arb,lin,nya,mri,isl,hrv,ibo,ron,dan,bel,pes,azb,asm,kor,amh,guj",10,0.14705882352941177,1.0,0.0,0.8284310704708967,0.04506951719356341,"som,ces,arb,lin,nya,isl,hrv,dan,bel,pes"
random,sib200_mt5::bod,bod,lrl,slk,mrl,tel,lrl,0.1105907103007903,0.180629639552113,0.3877488181064323,0.0,0.0,0.0,sib200_mt5,0.1,0.05,20.0,20,20,0.29411764705882354,0.0,0.0,0.1556093304553949,0.138517184437494,"tur,som,slk,sna,luo,arb,swh,hat,hrv,ind,nld,ilo,ron,dan,bel,pes,azb,heb,tha,tam",10,0.14705882352941177,0.0,0.0,0.1552616906580321,0.140441784399188,"som,slk,arb,swh,hat,ind,nld,dan,bel,pes"
random,sib200_mt5::ceb,ceb,mrl,ron,mrl,spa,hrl,0.8250887148478734,0.8460518815905234,0.02477763739883252,0.20326889121514177,0.0,0.0,sib200_mt5,0.1,0.05,20.0,20,20,0.29411764705882354,1.0,0.0,0.8250887148478734,0.02477763739883252,"fra,hun,ron,eng,deu,fin,ewe,mri,ita,nld,ind,ilo,vie,yor,tgk,urd,ckb,asm,tha,mni",10,0.14705882352941177,1.0,0.0,0.8250887148478734,0.02477763739883252,"hun,ron,fin,ewe,mri,nld,ind,yor,tgk,urd"
random,sib200_mt5::ces,ces,mrl,ron,mrl,dan,mrl,0.9000961754992536,0.9269271141191526,0.02894611476048595,0.15245166841135635,0.0,0.0,sib200_mt5,0.1,0.05,20.0,20,20,0.29411764705882354,1.0,0.0,0.9039800317290038,0.024756080646055105,"hat,hrv,ron,eng,dik,por,kik,isl,ilo,ind,nld,luo,yor,arb,tgk,urd,ckb,tha,kor,guj",10,0.14705882352941177,1.0,0.0,0.9039800317290038,0.024756080646055105,"hrv,ron,por,kik,isl,ind,nld,arb,tgk,urd"
random,sib200_mt5::ckb,ckb,lrl,ron,mrl,kor,mrl,0.6412683082120468,0.6555792476017928,0.021829457601193886,0.40653778243028355,0.0,0.0,sib200_mt5,0.1,0.05,20.0,20,20,0.29411764705882354,1.0,1.0,0.6555792476017928,0.0,"vie,lit,ron,yor,pol,swe,nld,tur,lug,deu,ewe,dik,ibo,ind,ukr,azb,urd,pan,kor,bod",10,0.14705882352941177,1.0,0.0,0.6416638921584142,0.021226046270199944,"lit,ron,swe,nld,tur,deu,ewe,ind,ukr,azb"
