method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance_loss
random,14.371196025745864,9.556418091860772,4.054054054054054,5.405405405405405,74,27.5,40.39941476002856,93.24324324324324,33.78378378378378,1.6262002314691826,10.0,14.691481763093014,82.43243243243244,12.162162162162163,3.1123510565067782
lightgbm_lambdarank,19.469010822196843,10.019380944864075,2.7027027027027026,6.756756756756757,74,25.5,37.46227045459782,95.94594594594594,62.16216216216216,0.9133722131550918,10.0,14.691481763093014,90.54054054054053,35.13513513513514,1.696726528518932
mlp_listnet,19.279479144315793,11.083956441775351,8.108108108108109,10.81081081081081,74,45.9054054054054,67.4477546600309,95.94594594594594,81.08108108108108,0.548595580726621,10.0,14.691481763093014,85.13513513513513,22.972972972972975,2.513288326093598
single_script,9.66985664080911,12.154518632818032,1.3513513513513513,4.054054054054054,74,18.513513513513512,27.197818022626212,94.5945945945946,47.2972972972973,1.285399889597349,10.0,14.691481763093014,85.13513513513513,33.78378378378378,2.1046627354918668
nnrank,15.286889543481747,13.671336388517128,2.7027027027027026,9.45945945945946,74,29.10810810810811,42.76571968387825,97.2972972972973,71.62162162162163,0.5874087038359094,10.0,14.691481763093014,79.72972972972973,29.72972972972973,2.8509867821153936
single_new_geo,14.373541377676982,13.735066955985308,1.3513513513513513,6.756756756756757,74,50.189189189189186,73.74686067141312,95.94594594594594,77.02702702702703,0.44474375947707084,10.0,14.691481763093014,87.83783783783784,32.432432432432435,2.080835087120608
composite_equal,13.783249451035898,13.862252645137971,1.3513513513513513,4.054054054054054,74,23.783783783783782,34.94274325476371,94.5945945945946,45.94594594594595,1.2224540917322984,10.0,14.691481763093014,83.78378378378379,24.324324324324326,2.601266168246099
single_new_gen,12.220214056636824,13.89967801150326,2.7027027027027026,5.405405405405405,74,43.13513513513514,63.373539780189425,97.2972972972973,75.67567567567568,0.6022846422898848,10.0,14.691481763093014,82.43243243243244,14.864864864864865,3.241868415761312
rrf_equal,13.858436695006684,14.163777785260399,0.0,6.756756756756757,74,25.08108108108108,36.848805327066195,95.94594594594594,50.0,1.1302393823802095,10.0,14.691481763093014,85.13513513513513,21.62162162162162,2.560782649015124
single_distals_asjp,11.217955856110496,14.452068840393412,4.054054054054054,6.756756756756757,74,33.648648648648646,49.430600677403746,91.8918918918919,55.4054054054054,1.2145400441685101,10.0,14.691481763093014,83.78378378378379,12.162162162162163,3.056329277394288
single_distals_wiki_size,9.452479327676851,15.642230571336363,0.0,2.7027027027027026,74,32.945945945945944,48.40239856224511,93.24324324324324,56.75675675675676,1.127308670710886,10.0,14.691481763093014,82.43243243243244,17.56756756756757,2.9139081191215874
single_new_typ,13.61652139757524,15.690349610085775,0.0,6.756756756756757,74,22.513513513513512,33.07757885763,93.24324324324324,40.54054054054054,1.527069832375295,10.0,14.691481763093014,83.78378378378379,25.675675675675674,2.456493130204287
