method_a,method_b,ndcg_p_value,performance_loss_p_value
random,single_new_gen,0.1992998331580283,0.19215819272409274
random,single_new_typ,0.8233840892792014,0.6317323914146398
random,single_new_geo,0.9101869826633093,0.37981724975384945
random,single_script,0.05682477750202625,0.18460361566448383
random,single_distals_asjp,0.48093615148826446,0.2553526883418103
random,single_distals_wiki_size,0.20010801431921305,0.11765969352610248
random,composite_equal,0.945886020419834,0.378872229976565
random,rrf_equal,0.9863123724880298,0.6127896208585839
random,lightgbm_lambdarank,0.0179674601354461,0.010424247447559593
random,mlp_listnet,0.8491165797029913,0.985329659847281
random,nnrank,0.8076075743508334,0.2251645507955072
single_new_gen,single_new_typ,0.23859660183652506,0.01211176533706914
single_new_gen,single_new_geo,0.16673076236091058,0.0038758852454288044
single_new_gen,single_script,0.42650372783263346,0.009475967675292494
single_new_gen,single_distals_asjp,0.5229956881039068,0.0010836475809414606
single_new_gen,single_distals_wiki_size,0.8211635955494008,0.0010859727085590683
single_new_gen,composite_equal,0.11816498431580469,0.002794446051695042
single_new_gen,rrf_equal,0.10054345700105081,0.00744760520818075
single_new_gen,lightgbm_lambdarank,0.0017599313863029835,0.3099729190340704
single_new_gen,mlp_listnet,0.26701230216913713,0.14272852838518804
single_new_gen,nnrank,0.24363381848266946,0.00015087752417577524
single_new_typ,single_new_geo,0.6630933767888214,0.5710838358421416
single_new_typ,single_script,0.07727473203815173,0.3510829202820681
single_new_typ,single_distals_asjp,0.46958288189679315,0.39460019447843026
single_new_typ,single_distals_wiki_size,0.2527620986677795,0.09912090326567309
single_new_typ,composite_equal,0.8059072918872218,0.5830486306822803
single_new_typ,rrf_equal,0.7619483063450457,0.9837560842943792
single_new_typ,lightgbm_lambdarank,0.02165413716172356,0.0059021828506162785
single_new_typ,mlp_listnet,0.9470723848986956,0.5375896958082089
single_new_typ,nnrank,0.9704390761230709,0.2498302546195455
single_new_geo,single_script,0.05946962877512626,0.5461174688207543
single_new_geo,single_distals_asjp,0.26516124860892615,0.7432159568928388
single_new_geo,single_distals_wiki_size,0.17196748735121356,0.3336337706605516
single_new_geo,composite_equal,0.7939668075357483,0.9478332175469487
single_new_geo,rrf_equal,0.8385949586889287,0.5473927352633706
single_new_geo,lightgbm_lambdarank,0.05816413644777683,0.0006447717311336901
single_new_geo,mlp_listnet,0.8000163329975778,0.3776948789785643
single_new_geo,nnrank,0.642717446433576,0.5626252813569753
single_script,single_distals_asjp,0.2561925975448758,0.7322786477783536
single_script,single_distals_wiki_size,0.7220304482780806,0.8197881458802303
single_script,composite_equal,0.05387673650477264,0.48900546137755746
single_script,rrf_equal,0.054310567240807024,0.3139331981738533
single_script,lightgbm_lambdarank,0.00010296198457037908,0.0009968748966760373
single_script,mlp_listnet,0.03712809081039437,0.20910514328515725
single_script,nnrank,0.06240638095593601,0.8112081109151211
single_distals_asjp,single_distals_wiki_size,0.5461080103455301,0.5831739074348578
single_distals_asjp,composite_equal,0.11869421177989117,0.6438544234383635
single_distals_asjp,rrf_equal,0.17189746441555254,0.26666230441456573
single_distals_asjp,lightgbm_lambdarank,0.009477592320323115,0.001813502767358801
single_distals_asjp,mlp_listnet,0.5911955256644874,0.25976866850283137
single_distals_asjp,nnrank,0.5069562590756324,0.8835695798113747
single_distals_wiki_size,composite_equal,0.21113926428219998,0.3164057426160191
single_distals_wiki_size,rrf_equal,0.18573994842146357,0.1636482119864654
single_distals_wiki_size,lightgbm_lambdarank,0.0017978877768405472,0.0002511815849904089
single_distals_wiki_size,mlp_listnet,0.22893192476582794,0.08690368981686719
single_distals_wiki_size,nnrank,0.27633698099127374,0.5559494095826006
composite_equal,rrf_equal,0.8665796465062486,0.2797072524759286
composite_equal,lightgbm_lambdarank,0.044792779838038435,0.0027863936982221896
composite_equal,mlp_listnet,0.9313711379052534,0.36423760471001837
composite_equal,nnrank,0.7741212426850332,0.4423235657205823
rrf_equal,lightgbm_lambdarank,0.04126559325967509,0.006905011728746602
rrf_equal,mlp_listnet,0.8911386088965703,0.5939261398374556
rrf_equal,nnrank,0.7335136150720425,0.11620777704741692
lightgbm_lambdarank,mlp_listnet,0.015327700826661763,0.03314508303627846
lightgbm_lambdarank,nnrank,0.01827003488097392,0.0010761745134794613
mlp_listnet,nnrank,0.9300327668737003,0.19811501907994386
