method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
random,sib200_xlm-r::amh,amh,lrl,ces,mrl,vie,mrl,0.6908581614463968,0.7956311590260697,0.1316853876209742,0.12824839144311276,0.0,0.0,sib200_xlm-r,0.1,0.05,50.0,50,50,0.7352941176470589,1.0,0.0,0.7700673412263545,0.032130237120185055,"lug,spa,som,tur,ces,sna,luo,tgl,kik,arb,swh,lin,swe,nya,hun,ind,hrv,ilo,nld,ibo,wol,mri,dik,ron,dan,yor,deu,fra,por,pol,ukr,bel,rus,pes,azb,ckb,mar,asm,tha,tel,ben,kan,ydd,bod,mni,tam,mya,ory,mal,guj",10,0.14705882352941177,1.0,0.0,0.7625521082437743,0.041575861386308,"som,ces,arb,lin,hun,nld,ibo,dan,bel,pes"
random,sib200_xlm-r::arb,arb,hrl,ron,mrl,ilo,lrl,0.2566614049172188,0.4033136238642886,0.3636183115808083,0.24984329642734004,0.0,0.0,sib200_xlm-r,0.1,0.05,50.0,50,50,0.7352941176470589,1.0,1.0,0.4033136238642886,0.0,"hat,fra,hrv,hun,ron,por,eng,dik,fin,pol,ewe,kik,lug,lin,ita,mri,nld,ibo,ind,ilo,luo,tgl,vie,yor,tur,ces,ceb,sna,som,ukr,bel,rus,tgk,urd,ckb,azb,npi,tam,kor,tha,tel,ben,jpn,guj,pan,mya,mni,amh,ydd,kan",10,0.14705882352941177,1.0,1.0,0.4033136238642886,0.0,"hrv,ron,pol,kik,ita,ind,ilo,tur,rus,urd"
random,sib200_xlm-r::asm,asm,lrl,ces,mrl,amh,lrl,0.6382026577080209,0.7220400165911813,0.11611179014559955,0.0,0.0,0.0,sib200_xlm-r,0.1,0.05,50.0,50,50,0.7352941176470589,1.0,1.0,0.7220400165911813,0.0,"som,lug,ilo,spa,ces,slk,luo,ceb,tgl,kik,arb,lin,lit,swe,vie,hat,hun,hrv,ind,ibo,nld,ita,ron,dik,dan,deu,yor,fra,ewe,por,ukr,bel,rus,pes,azb,ckb,mar,kor,tha,heb,ben,mya,pan,guj,jpn,mni,kan,amh,tam,mal",10,0.14705882352941177,0.0,0.0,0.6598988012185503,0.08606339530322096,"ilo,ces,kik,lin,vie,ind,ibo,dan,bel,pes"
random,sib200_xlm-r::azb,azb,lrl,lit,mrl,kan,lrl,0.6759427090963479,0.721860917958237,0.06361088087684186,0.17786027981324906,0.0,0.0,sib200_xlm-r,0.1,0.05,50.0,50,50,0.7352941176470589,1.0,1.0,0.721860917958237,0.0,"nya,vie,spa,ron,lit,wol,yor,pol,sna,swe,mri,nld,swh,slk,tur,lug,luo,deu,dik,dan,ewe,ceb,ilo,ibo,ind,isl,hun,hrv,hat,arb,tgk,bel,rus,ckb,urd,pes,npi,amh,pan,guj,kor,kan,ydd,jpn,mya,ben,bod,tha,tel,asm",10,0.14705882352941177,1.0,0.0,0.699439697450125,0.031060305316888186,"spa,lit,swe,nld,tur,dik,dan,ind,bel,ckb"
random,sib200_xlm-r::bel,bel,mrl,arb,hrl,urd,mrl,0.0571428571428571,0.8509144008024655,0.9328453519073507,0.0,0.0,0.0,sib200_xlm-r,0.1,0.05,50.0,50,50,0.7352941176470589,1.0,1.0,0.8509144008024655,0.0,"lug,luo,hat,hrv,arb,por,lit,ceb,eng,slk,nya,kik,vie,som,nld,pol,yor,isl,swh,fin,dik,deu,ita,swe,mri,ilo,lin,ibo,ewe,tgl,rus,tgk,ukr,urd,pes,ckb,hin,tha,ben,kan,bod,jpn,mya,pan,ory,guj,heb,kor,tel,tam",10,0.14705882352941177,1.0,1.0,0.8509144008024655,0.0,"hat,arb,slk,kik,nld,swh,fin,mri,tgk,urd"
random,sib200_xlm-r::ben,ben,mrl,ces,mrl,urd,mrl,0.7843085827709927,0.8253818073567223,0.04976269675396193,0.0,0.0,0.0,sib200_xlm-r,0.1,0.05,50.0,50,50,0.7352941176470589,1.0,1.0,0.8253818073567223,0.0,"lug,tur,som,spa,ces,luo,sna,tgl,kik,arb,swh,lin,swe,hat,nya,hun,mri,ind,isl,hrv,ibo,nld,dik,ron,dan,yor,deu,fra,ewe,por,ukr,bel,rus,pes,azb,urd,mar,asm,tel,kor,amh,tha,ydd,kan,bod,mni,guj,ory,tam,mal",10,0.14705882352941177,1.0,0.0,0.792137510032247,0.04027747768143797,"som,ces,arb,lin,nya,isl,hrv,dan,bel,pes"
random,sib200_xlm-r::bod,bod,lrl,slk,mrl,asm,lrl,0.0801292138966007,0.135833960090253,0.4100943987544797,0.12824839144311276,0.0,0.0,sib200_xlm-r,0.1,0.05,50.0,50,50,0.7352941176470589,1.0,1.0,0.135833960090253,0.0,"tur,spa,som,lug,slk,sna,luo,tgl,kik,arb,lin,swh,lit,vie,hat,hun,hrv,mri,ind,nld,ilo,wol,dik,ron,dan,deu,fra,fin,ewe,pol,ukr,bel,rus,pes,azb,ckb,mar,heb,kor,tel,tha,ben,pan,jpn,ydd,kan,tam,asm,mya,ory",10,0.14705882352941177,0.0,0.0,0.0976274656203945,0.2812735080717129,"som,slk,arb,swh,hat,ind,nld,dan,bel,pes"
random,sib200_xlm-r::ceb,ceb,mrl,ron,mrl,ilo,lrl,0.7016621097087337,0.7327599487425273,0.04243932694078039,0.0,0.0,0.0,sib200_xlm-r,0.1,0.05,50.0,50,50,0.7352941176470589,1.0,1.0,0.7327599487425273,0.0,"fra,hrv,hun,hat,ron,eng,deu,dan,pol,fin,por,ewe,kik,lin,mri,isl,ita,ibo,nld,ind,ilo,swe,wol,vie,yor,tur,arb,sna,spa,ukr,bel,tgk,rus,urd,ckb,azb,npi,asm,kor,tel,tha,ben,heb,guj,pan,mya,mni,amh,kan,ydd",10,0.14705882352941177,1.0,0.0,0.7229370539789446,0.013405337969739634,"hun,ron,fin,ewe,mri,nld,ind,yor,tgk,urd"
random,sib200_xlm-r::ces,ces,mrl,ron,mrl,ron,mrl,0.8990989638227257,0.8990989638227257,0.0,0.5081722280378544,1.0,1.0,sib200_xlm-r,0.1,0.05,50.0,50,50,0.7352941176470589,1.0,1.0,0.8990989638227257,0.0,"hat,fra,hrv,hun,ron,eng,dik,pol,fin,por,ewe,kik,lug,lin,isl,ita,ilo,ibo,ind,nld,luo,swh,vie,yor,arb,tur,ceb,sna,spa,ukr,bel,tgk,rus,urd,ckb,azb,npi,tha,tam,tel,kor,ben,jpn,heb,pan,kan,guj,mya,amh,mal",10,0.14705882352941177,1.0,1.0,0.8990989638227257,0.0,"hrv,ron,por,kik,isl,ind,nld,arb,tgk,urd"
random,sib200_xlm-r::ckb,ckb,lrl,ron,mrl,ilo,lrl,0.1330703847282469,0.2407418248387178,0.44724858334277456,0.0,0.0,0.0,sib200_xlm-r,0.1,0.05,50.0,50,50,0.7352941176470589,1.0,1.0,0.2407418248387178,0.0,"vie,spa,lit,wol,ron,yor,pol,som,sna,swe,swh,nld,mri,por,tur,luo,lug,dan,deu,ewe,dik,ceb,ilo,ibo,ind,isl,hun,hrv,hat,arb,tgk,ukr,bel,azb,urd,pes,npi,pan,guj,ory,kor,ydd,kan,jpn,mya,ben,bod,tha,tel,asm",10,0.14705882352941177,0.0,0.0,0.2279744023021941,0.05303367017790574,"lit,ron,swe,nld,tur,deu,ewe,ind,ukr,azb"
