method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance_loss
lightgbm_lambdarank,23.982593541100975,14.670683716052126,14.864864864864865,27.027027027027028,74,22.243243243243242,32.67781848344508,94.5945945945946,55.4054054054054,1.4046017544883873,10.0,14.691481763093014,86.48648648648648,41.891891891891895,2.771599242068544
single_new_gen,12.362444392999688,18.51106020253561,0.0,1.3513513513513513,74,65.86486486486487,96.7650514965093,98.64864864864865,98.64864864864865,0.07166712186203478,10.0,14.691481763093014,70.27027027027027,8.108108108108109,6.032184874405155
random,16.00277281812943,24.151187798413005,2.7027027027027026,12.162162162162163,74,30.675675675675677,45.06923803598996,94.5945945945946,63.51351351351351,0.9421121475341946,10.0,14.691481763093014,85.13513513513513,24.324324324324326,3.180349760132082
mlp_listnet,15.461606850407255,24.248840803503754,1.3513513513513513,14.864864864864865,74,34.945945945945944,51.358263634478455,98.64864864864865,74.32432432432432,0.5566776021549241,10.0,14.691481763093014,91.8918918918919,41.891891891891895,1.7772029548156967
single_new_typ,15.261389881931391,26.559825811716202,1.3513513513513513,8.108108108108109,74,44.567567567567565,65.47400981544203,97.2972972972973,83.78378378378379,0.26362180303188687,10.0,14.691481763093014,77.02702702702703,18.91891891891892,3.828205975530621
rrf_equal,15.94641501633217,26.62671799626598,0.0,8.108108108108109,74,58.567567567567565,86.04093223658442,98.64864864864865,94.5945945945946,0.15013641345730686,10.0,14.691481763093014,70.27027027027027,25.675675675675674,6.089712810710543
composite_equal,15.76574401164521,28.42789096757434,1.3513513513513513,6.756756756756757,74,59.78378378378378,87.82948549572592,98.64864864864865,94.5945945945946,0.14508596388132175,10.0,14.691481763093014,70.27027027027027,21.62162162162162,5.519492192012232
single_new_geo,16.401838974212065,28.663813006810468,6.756756756756757,13.513513513513514,74,65.5,96.22934955415774,97.2972972972973,97.2972972972973,0.18329264942290396,10.0,14.691481763093014,70.27027027027027,25.675675675675674,6.144565000802942
single_distals_asjp,13.672944461734163,29.985977106733014,1.3513513513513513,8.108108108108109,74,50.554054054054056,74.27248220087095,93.24324324324324,78.37837837837837,1.0464719844261405,10.0,14.691481763093014,74.32432432432432,22.972972972972975,5.5838795948237765
nnrank,15.181471045127237,30.487655389009166,1.3513513513513513,6.756756756756757,74,30.445945945945947,44.72736803299463,95.94594594594594,72.97297297297297,0.9349938386206985,10.0,14.691481763093014,77.02702702702703,28.37837837837838,6.291017019076106
single_script,10.853055906779693,31.664341654506025,0.0,0.0,74,39.5,58.0320729937098,95.94594594594594,64.86486486486487,1.0359164427696115,10.0,14.691481763093014,68.91891891891892,10.81081081081081,5.912603733388335
single_distals_wiki_size,11.753861753235835,32.81724109747491,2.7027027027027026,6.756756756756757,74,37.21621621621622,54.67875164166725,95.94594594594594,78.37837837837837,0.6200938636076019,10.0,14.691481763093014,72.97297297297297,17.56756756756757,6.039077029363827
