method_a,method_b,ndcg_p_value,performance_loss_p_value
random,single_new_gen,1.9002851781731063e-19,6.636968724935776e-22
random,single_new_typ,0.005216929421675286,5.26432316448261e-07
random,single_new_geo,2.9257763205356757e-22,2.789180495121662e-05
random,single_script,1.990848799202798e-46,0.7440781032163379
random,single_distals_asjp,0.8782541491729782,1.1353896877688333e-06
random,single_distals_wiki_size,0.0005389274691318005,1.7928815522495724e-05
random,composite_equal,5.155156867011369e-43,5.925900260725113e-40
random,rrf_equal,3.801374405608918e-41,3.732052838443388e-36
random,lightgbm_lambdarank,8.63112243348037e-205,2.0637633061309975e-118
random,mlp_listnet,1.223574851626632e-136,4.1287302667501745e-63
random,nnrank,1.2338953152436588e-11,0.003915524968984883
single_new_gen,single_new_typ,1.8958434045226327e-14,2.652957436646741e-06
single_new_gen,single_new_geo,8.449205901413113e-62,4.8160619222654535e-33
single_new_gen,single_script,1.1174697326255735e-116,5.17518934725672e-25
single_new_gen,single_distals_asjp,6.782235936361549e-23,1.929229165475619e-05
single_new_gen,single_distals_wiki_size,3.142257554992298e-55,2.50568815408941e-10
single_new_gen,composite_equal,4.424555765016826e-91,7.768136460684347e-89
single_new_gen,rrf_equal,4.846076720900913e-84,1.5143187640768717e-85
single_new_gen,lightgbm_lambdarank,5.789988775295055e-211,6.873335488604244e-173
single_new_gen,mlp_listnet,3.367347382413592e-158,8.547166393822268e-118
single_new_gen,nnrank,1.3281463485694858e-66,2.4794796225082524e-36
single_new_typ,single_new_geo,8.709201215562865e-43,1.105521015248449e-19
single_new_typ,single_script,1.9375952783150778e-82,1.8800085758544935e-07
single_new_typ,single_distals_asjp,0.0025196356067777683,0.8572033629375609
single_new_typ,single_distals_wiki_size,2.3571573884962287e-14,0.2746884405955141
single_new_typ,composite_equal,7.263444715183559e-69,1.8987534266343265e-73
single_new_typ,rrf_equal,2.9942202846337267e-66,1.8401104038465985e-69
single_new_typ,lightgbm_lambdarank,2.76427046402697e-215,2.210202100542221e-156
single_new_typ,mlp_listnet,3.424161807497629e-156,1.414280609180323e-100
single_new_typ,nnrank,2.226804532125843e-31,1.4305029347699813e-17
single_new_geo,single_script,0.599689388893821,5.8369840878295307e-08
single_new_geo,single_distals_asjp,6.953630617148824e-26,1.6274722516927292e-19
single_new_geo,single_distals_wiki_size,3.526796346162483e-20,2.077867791032646e-18
single_new_geo,composite_equal,4.467439115268806e-12,6.172996980179958e-26
single_new_geo,rrf_equal,1.3315645057252953e-12,9.26439073674146e-23
single_new_geo,lightgbm_lambdarank,6.095314782953634e-157,4.2373067401841066e-85
single_new_geo,mlp_listnet,1.7868426442552698e-81,8.70878147014139e-39
single_new_geo,nnrank,1.2359939477820884e-07,0.05360261984950072
single_script,single_distals_asjp,5.146113538861714e-41,1.9263440025848131e-07
single_script,single_distals_wiki_size,3.3128891702374614e-83,9.767993195028517e-10
single_script,composite_equal,2.3038760431317453e-07,5.630254997500372e-54
single_script,rrf_equal,1.3995799161833046e-07,4.22809665519912e-49
single_script,lightgbm_lambdarank,3.1731086022346676e-201,1.2871013576379637e-139
single_script,mlp_listnet,2.6804038930262175e-115,1.3026447160516067e-78
single_script,nnrank,4.888789527788761e-16,0.00011216938229146738
single_distals_asjp,single_distals_wiki_size,0.0022601620654469075,0.21397371940949178
single_distals_asjp,composite_equal,3.7239985357821064e-53,4.748967442031344e-69
single_distals_asjp,rrf_equal,4.994038465034197e-49,2.0891102079074443e-65
single_distals_asjp,lightgbm_lambdarank,3.0252663770735616e-182,2.4357257338461305e-140
single_distals_asjp,mlp_listnet,7.622128837241793e-122,1.7630466492793506e-90
single_distals_asjp,nnrank,3.5641565465890784e-12,3.3020592129259513e-16
single_distals_wiki_size,composite_equal,2.78308616791226e-43,2.0182318959680005e-74
single_distals_wiki_size,rrf_equal,5.587804264696734e-41,5.4244223852001706e-70
single_distals_wiki_size,lightgbm_lambdarank,2.934373744502185e-230,1.079626837085226e-165
single_distals_wiki_size,mlp_listnet,4.7982767367910046e-154,6.404673087621228e-101
single_distals_wiki_size,nnrank,2.6830976104448178e-08,3.300834364813209e-16
composite_equal,rrf_equal,0.4347845259338529,0.2767845496992834
composite_equal,lightgbm_lambdarank,1.4204827008256238e-130,3.235417944486209e-46
composite_equal,mlp_listnet,5.705733340371218e-58,3.168870188645348e-09
composite_equal,nnrank,2.2198472272870512e-24,1.1308208519877544e-34
rrf_equal,lightgbm_lambdarank,3.0209606893508706e-124,8.159865981111336e-48
rrf_equal,mlp_listnet,4.942824327103914e-54,2.90793115965445e-10
rrf_equal,nnrank,2.356916836410364e-23,3.172520308457469e-30
lightgbm_lambdarank,mlp_listnet,1.6583660501958011e-56,5.312581593464191e-26
lightgbm_lambdarank,nnrank,1.3946407247682977e-171,3.7184707272966253e-109
mlp_listnet,nnrank,7.69085152893048e-110,3.574967885484667e-61
