method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
random,taxi1500_mt5::aak,aak,lrl,por,mrl,heb,mrl,0.069047619047619,0.1909581646423751,0.638414941948511,0.2286775026170345,0.0,0.0,taxi1500_mt5,0.1,0.05,26.0,26,26,0.8666666666666667,1.0,1.0,0.1909581646423751,0.0,"ron,rus,spa,jpn,por,nld,urd,zlm,vie,swe,tam,tha,tgl,dan,cmn,deu,ben,ces,ceb,hrv,hin,ita,hun,ind,fra,heb",10,0.3333333333333333,0.0,0.0,0.1676767676767676,0.12191883499304013,"ron,spa,por,urd,swe,tha,deu,hrv,hin,ita"
random,taxi1500_mt5::aau,aau,lrl,nld,mrl,swe,mrl,0.1567471938988967,0.1730182943716613,0.09404265908327936,0.3557205596264981,0.0,0.0,taxi1500_mt5,0.1,0.05,26.0,26,26,0.8666666666666667,1.0,1.0,0.1730182943716613,0.0,"rus,ron,spa,jpn,nld,pol,urd,tha,zlm,vie,tam,swe,tgl,dan,eng,ben,ces,cmn,ceb,hrv,hin,ind,ita,hun,heb,fra",10,0.3333333333333333,1.0,1.0,0.1730182943716613,0.0,"rus,spa,nld,urd,vie,swe,ben,hrv,hin,ind"
random,taxi1500_mt5::aaz,aaz,lrl,por,mrl,nld,mrl,0.1306824065444755,0.2022270114942529,0.3537836237658619,0.19237258716466915,0.0,0.0,taxi1500_mt5,0.1,0.05,26.0,26,26,0.8666666666666667,1.0,1.0,0.2022270114942529,0.0,"ron,rus,spa,jpn,por,nld,pol,ukr,tha,zlm,vie,swe,tam,tgl,dan,eng,deu,ben,ces,ceb,hrv,hin,ind,hun,heb,fra",10,0.3333333333333333,0.0,0.0,0.1712296324365289,0.15328011242753753,"ron,spa,por,pol,zlm,swe,eng,ceb,hrv,hin"
random,taxi1500_mt5::abt,abt,lrl,por,mrl,heb,mrl,0.0830991911451681,0.2061133311133311,0.5968276739000635,0.0,0.0,0.0,taxi1500_mt5,0.1,0.05,26.0,26,26,0.8666666666666667,1.0,1.0,0.2061133311133311,0.0,"ron,rus,spa,jpn,por,pol,urd,tha,zlm,vie,tam,swe,tgl,dan,cmn,deu,ben,ces,ceb,hrv,hin,hun,ita,ind,fra,heb",10,0.3333333333333333,0.0,0.0,0.1845113045218087,0.10480654732441624,"ron,spa,por,urd,vie,swe,deu,hrv,hin,hun"
random,taxi1500_mt5::abx,abx,lrl,ita,mrl,fra,hrl,0.3133640324816795,0.4390363837946111,0.2862458692528848,0.0,0.0,0.0,taxi1500_mt5,0.1,0.05,26.0,26,26,0.8666666666666667,1.0,1.0,0.4390363837946111,0.0,"ron,rus,spa,jpn,ita,por,pol,ukr,zlm,vie,tam,swe,tha,tgl,dan,eng,deu,ben,ces,ceb,hin,hrv,hun,ind,heb,fra",10,0.3333333333333333,0.0,0.0,0.3531966533671564,0.19551848911823222,"ron,spa,ita,pol,vie,swe,eng,ceb,hin,hrv"
random,taxi1500_mt5::aby,aby,lrl,ita,mrl,nld,mrl,0.121031746031746,0.2212231714054996,0.4528975185429551,0.03206209786077819,0.0,0.0,taxi1500_mt5,0.1,0.05,26.0,26,26,0.8666666666666667,1.0,0.0,0.2105691056910569,0.04815980914998233,"por,ron,rus,spa,ita,jpn,pol,ukr,zlm,vie,tam,swe,tha,tgl,dan,deu,ben,ces,cmn,ceb,hun,hrv,ind,fin,hin,fra",10,0.3333333333333333,1.0,0.0,0.2105691056910569,0.04815980914998233,"por,rus,ita,pol,vie,swe,deu,ceb,hun,hrv"
random,taxi1500_mt5::acf,acf,lrl,nld,mrl,fra,hrl,0.4653485312714522,0.526988434451121,0.11696633009388363,0.3049033368227127,0.0,0.0,taxi1500_mt5,0.1,0.05,26.0,26,26,0.8666666666666667,1.0,1.0,0.526988434451121,0.0,"rus,por,ron,spa,nld,pol,urd,zlm,vie,tam,swe,tha,tgl,cmn,dan,deu,ben,ces,ceb,hrv,ita,hun,ind,fin,hin,fra",10,0.3333333333333333,0.0,0.0,0.468282644753233,0.11139863014077785,"rus,ron,nld,urd,tam,tha,deu,hrv,ita,hun"
random,taxi1500_mt5::acr,acr,lrl,pol,mrl,swe,mrl,0.0898148148148148,0.2103290429377386,0.5729794917509243,0.2564967828862255,0.0,0.0,taxi1500_mt5,0.1,0.05,26.0,26,26,0.8666666666666667,1.0,1.0,0.2103290429377386,0.0,"ron,rus,spa,nld,pol,por,urd,zlm,vie,tam,swe,tha,tgl,cmn,dan,deu,ben,ces,ceb,hun,hin,hrv,ind,ita,fin,heb",10,0.3333333333333333,0.0,0.0,0.1669484702093397,0.20625098713181697,"ron,spa,pol,urd,tam,tha,deu,hun,hin,hrv"
random,taxi1500_mt5::acu,acu,lrl,ita,mrl,fra,hrl,0.0861111111111111,0.2555818276748509,0.6630781151598112,0.12824839144311276,0.0,0.0,taxi1500_mt5,0.1,0.05,26.0,26,26,0.8666666666666667,1.0,1.0,0.2555818276748509,0.0,"ron,rus,spa,jpn,ita,pol,por,zlm,urd,vie,tam,swe,tha,tgl,dan,eng,deu,ben,ceb,ces,hrv,hun,ind,fin,heb,fra",10,0.3333333333333333,0.0,0.0,0.2019639123000384,0.20978766707555105,"ron,spa,ita,por,vie,swe,eng,ces,hrv,hun"
random,taxi1500_mt5::aer,aer,lrl,por,mrl,ben,mrl,0.0935150375939849,0.1844389844389844,0.49297575087808354,0.0,0.0,0.0,taxi1500_mt5,0.1,0.05,26.0,26,26,0.8666666666666667,1.0,1.0,0.1844389844389844,0.0,"ron,rus,spa,jpn,por,nld,urd,tha,zlm,vie,swe,tam,tgl,deu,dan,eng,ben,ces,ceb,hrv,ind,ita,hun,fin,hin,fra",10,0.3333333333333333,0.0,0.0,0.1420289855072463,0.22994053594872219,"ron,spa,por,urd,vie,tam,eng,hrv,ind,ita"
