method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance_loss
lightgbm_lambdarank,66.04177911658043,18.627763886242228,23.08743169398907,55.73770491803278,732,10.666666666666666,35.60596068086175,91.93989071038251,86.33879781420765,1.2750747271830027,10.0,33.38044092707745,91.80327868852459,85.79234972677595,1.2955699131067275
mlp_listnet,51.47422558072503,27.986646620425077,12.295081967213115,33.33333333333333,732,13.162568306010929,43.93678160919541,90.98360655737704,86.20218579234972,1.2478395062487613,10.0,33.38044092707745,87.02185792349727,80.19125683060109,1.9992036872302628
composite_equal,32.25854378590313,33.51978728470492,8.879781420765028,16.530054644808743,732,21.05191256830601,70.2713397399661,90.7103825136612,87.02185792349727,1.2677608840291783,10.0,33.38044092707745,52.86885245901639,42.89617486338798,8.931348578660291
rrf_equal,32.58067306815051,34.14330981856272,8.743169398907105,15.300546448087433,732,25.527322404371585,85.20962879216131,91.80327868852459,87.8415300546448,1.149121779329754,10.0,33.38044092707745,47.26775956284153,37.43169398907104,10.572082205498152
single_new_geo,27.837480687662218,44.284130820584245,6.147540983606557,18.169398907103826,732,27.629781420765028,92.22866026003393,93.44262295081968,90.57377049180327,0.870837770574093,10.0,33.38044092707745,49.31693989071038,40.98360655737705,10.821816205729228
nnrank,23.34641298112184,46.36828126846725,2.3224043715846996,10.245901639344263,732,28.71311475409836,95.84495320645689,92.07650273224044,88.66120218579235,1.2058328583465763,10.0,33.38044092707745,48.224043715846996,38.79781420765027,9.69548781641257
random,17.55549114711348,49.54684723480733,3.0054644808743167,7.103825136612022,732,25.989071038251367,86.75271653790595,94.12568306010928,89.75409836065575,0.8906487413428118,10.0,33.38044092707745,42.62295081967213,33.060109289617486,12.40438141338506
single_script,28.238689970996795,49.881484236666545,1.639344262295082,22.26775956284153,732,15.669398907103826,52.30371835939953,90.98360655737704,85.79234972677595,1.214547460375818,10.0,33.38044092707745,49.72677595628415,39.07103825136612,9.205271974514291
single_distals_wiki_size,19.95044265116266,53.781776790969445,1.639344262295082,12.158469945355192,732,28.71311475409836,95.84495320645689,91.39344262295081,88.11475409836066,1.2955225916031352,10.0,33.38044092707745,49.45355191256831,38.9344262295082,9.655552720812189
single_new_typ,15.285509180837204,54.74557337166453,1.2295081967213115,3.825136612021858,732,25.82650273224044,86.21019408328624,91.39344262295081,88.52459016393442,1.2494480259673397,10.0,33.38044092707745,37.704918032786885,27.049180327868854,12.669906012877394
single_distals_asjp,17.702760230280465,54.929911941822404,2.459016393442623,8.19672131147541,732,26.911202185792348,89.83119778908363,92.4863387978142,87.97814207650273,1.2012519451301094,10.0,33.38044092707745,38.9344262295082,28.142076502732237,13.93600088595307
single_new_gen,9.422363222388395,58.801276571770124,0.546448087431694,3.9617486338797816,732,21.09016393442623,70.39947239495008,91.12021857923497,86.6120218579235,1.2751044796136468,10.0,33.38044092707745,51.36612021857923,41.2568306010929,8.95391617212412
