method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
random,taxi1500_xlm-r::aak,aak,lrl,por,mrl,ceb,mrl,0.0487179487179487,0.1813450988030478,0.7313522723276936,0.4839689510696109,0.0,0.0,taxi1500_xlm-r,0.1,0.05,23.0,23,23,0.7666666666666667,1.0,1.0,0.1813450988030478,0.0,"ron,rus,spa,jpn,por,nld,urd,zlm,vie,swe,tam,tha,tgl,cmn,deu,ben,ces,ceb,hrv,hin,ita,ind,heb",10,0.3333333333333333,0.0,0.0,0.1080752884031572,0.4040352393502856,"ron,spa,por,urd,swe,tha,deu,hrv,hin,ita"
random,taxi1500_xlm-r::aau,aau,lrl,nld,mrl,ceb,mrl,0.1433083113545682,0.3082812249478916,0.5351377256957786,0.3049033368227127,0.0,0.0,taxi1500_xlm-r,0.1,0.05,23.0,23,23,0.7666666666666667,1.0,1.0,0.3082812249478916,0.0,"rus,ron,spa,jpn,nld,pol,urd,tha,zlm,vie,tam,swe,tgl,eng,ben,ces,cmn,ceb,hrv,hin,ind,hun,fra",10,0.3333333333333333,0.0,0.0,0.2215142237530297,0.28145405614476854,"rus,spa,nld,urd,vie,swe,ben,hrv,hin,ind"
random,taxi1500_xlm-r::aaz,aaz,lrl,por,mrl,ceb,mrl,0.0423728813559322,0.2364152359508396,0.8207692444798979,0.37143820141156736,0.0,1.0,taxi1500_xlm-r,0.1,0.05,23.0,23,23,0.7666666666666667,1.0,1.0,0.2364152359508396,0.0,"ron,rus,spa,jpn,por,nld,pol,ukr,tha,zlm,vie,swe,tam,dan,eng,deu,ben,ces,ceb,hrv,hin,hun,fra",10,0.3333333333333333,1.0,1.0,0.2364152359508396,0.0,"ron,spa,por,pol,zlm,swe,eng,ceb,hrv,hin"
random,taxi1500_xlm-r::abt,abt,lrl,por,mrl,ceb,mrl,0.1184847461443206,0.2217322775696409,0.46564051277059865,0.3557205596264981,0.0,0.0,taxi1500_xlm-r,0.1,0.05,23.0,23,23,0.7666666666666667,1.0,1.0,0.2217322775696409,0.0,"ron,rus,spa,jpn,por,pol,urd,tha,zlm,vie,tam,swe,tgl,cmn,deu,ben,ces,ceb,hrv,hin,hun,ind,heb",10,0.3333333333333333,0.0,0.0,0.1194678251425468,0.46120688222748824,"ron,spa,por,urd,vie,swe,deu,hrv,hin,hun"
random,taxi1500_xlm-r::abx,abx,lrl,ita,mrl,pol,mrl,0.2421309684467579,0.3169312169312169,0.23601413962542153,0.6442794403735018,0.0,0.0,taxi1500_xlm-r,0.1,0.05,23.0,23,23,0.7666666666666667,1.0,1.0,0.3169312169312169,0.0,"ron,rus,spa,jpn,ita,por,pol,ukr,zlm,vie,tam,swe,tha,dan,eng,deu,ben,ces,ceb,hin,hrv,ind,fra",10,0.3333333333333333,1.0,1.0,0.3169312169312169,0.0,"ron,spa,ita,pol,vie,swe,eng,ceb,hin,hrv"
random,taxi1500_xlm-r::aby,aby,lrl,ita,mrl,tgl,mrl,0.1564826361406419,0.2074594535158612,0.24571942377801503,0.6442794403735018,0.0,0.0,taxi1500_xlm-r,0.1,0.05,23.0,23,23,0.7666666666666667,0.0,0.0,0.1962038900067069,0.05425428110603675,"por,ron,rus,spa,ita,jpn,pol,ukr,zlm,vie,tam,swe,tha,dan,deu,ben,ces,cmn,ceb,hun,hrv,fin,fra",10,0.3333333333333333,0.0,0.0,0.1962038900067069,0.05425428110603675,"por,rus,ita,pol,vie,swe,deu,ceb,hun,hrv"
random,taxi1500_xlm-r::acf,acf,lrl,nld,mrl,ceb,mrl,0.1370148021091417,0.2120607598548775,0.3538889410614819,0.3557205596264981,0.0,0.0,taxi1500_xlm-r,0.1,0.05,23.0,23,23,0.7666666666666667,1.0,1.0,0.2120607598548775,0.0,"rus,por,ron,spa,nld,pol,urd,zlm,vie,tam,swe,tha,tgl,dan,deu,ben,ces,ceb,hrv,ita,hun,fin,fra",10,0.3333333333333333,0.0,0.0,0.1370148021091417,0.3538889410614819,"rus,ron,nld,urd,tam,tha,deu,hrv,ita,hun"
random,taxi1500_xlm-r::acr,acr,lrl,pol,mrl,pol,mrl,0.2408839003041901,0.2408839003041901,0.0,0.5081722280378544,1.0,1.0,taxi1500_xlm-r,0.1,0.05,23.0,23,23,0.7666666666666667,1.0,1.0,0.2408839003041901,0.0,"ron,rus,spa,nld,pol,por,urd,zlm,vie,tam,swe,tha,tgl,dan,deu,ben,ces,ceb,hun,hin,hrv,ita,heb",10,0.3333333333333333,1.0,1.0,0.2408839003041901,0.0,"ron,spa,pol,urd,tam,tha,deu,hun,hin,hrv"
random,taxi1500_xlm-r::acu,acu,lrl,ita,mrl,ceb,mrl,0.1134166943613603,0.228490544613733,0.5036263117447898,0.2540861140189272,0.0,0.0,taxi1500_xlm-r,0.1,0.05,23.0,23,23,0.7666666666666667,1.0,1.0,0.228490544613733,0.0,"ron,rus,spa,jpn,ita,pol,por,zlm,urd,vie,tam,swe,tha,dan,eng,deu,ben,ceb,ces,hrv,hun,fin,fra",10,0.3333333333333333,0.0,0.0,0.1134166943613603,0.5036263117447898,"ron,spa,ita,por,vie,swe,eng,ces,hrv,hun"
random,taxi1500_xlm-r::aer,aer,lrl,por,mrl,ceb,mrl,0.1257982120051085,0.2050240716907383,0.38642223341040366,0.05081722280378544,0.0,0.0,taxi1500_xlm-r,0.1,0.05,23.0,23,23,0.7666666666666667,1.0,1.0,0.2050240716907383,0.0,"ron,rus,spa,jpn,por,nld,urd,tha,zlm,vie,swe,tam,tgl,dan,eng,ben,ces,ceb,hrv,ind,ita,fin,fra",10,0.3333333333333333,0.0,0.0,0.1668103448275862,0.1863865376783382,"ron,spa,por,urd,vie,tam,eng,hrv,ind,ita"
