method_a,method_b,ndcg_p_value,performance_loss_p_value
random,single_new_gen,0.868751823109326,0.3201504097626227
random,single_new_typ,0.12728223149914122,0.15398621133715315
random,single_new_geo,0.640391410602171,0.7776773121795703
random,single_script,0.2918071541107294,0.3316526315203338
random,single_distals_asjp,0.7712081368803423,0.8308387452061963
random,single_distals_wiki_size,0.12438407941026894,0.6696409363585808
random,composite_equal,0.23109018045695312,0.36385754396761205
random,rrf_equal,0.1984173065010611,0.7372321214790034
random,lightgbm_lambdarank,0.7057300295104473,0.21273541312966043
random,mlp_listnet,0.22054750386568192,0.4093608455595857
random,nnrank,0.20454270545580663,0.5889996932404074
single_new_gen,single_new_typ,0.22048508137556405,0.08525112780407451
single_new_gen,single_new_geo,0.6526240148899393,0.4839155328341208
single_new_gen,single_script,0.2900149381323368,0.16756202224436112
single_new_gen,single_distals_asjp,0.6773168313904881,0.829281116806868
single_new_gen,single_distals_wiki_size,0.3008218309631506,0.3741884353163683
single_new_gen,composite_equal,0.4725023797956865,0.1848758782774065
single_new_gen,rrf_equal,0.37418940000834044,0.451952167866432
single_new_gen,lightgbm_lambdarank,0.5692223512962795,0.10425302212419528
single_new_gen,mlp_listnet,0.35875507668111556,0.17157017014773324
single_new_gen,nnrank,0.19005024486648303,0.31401530752049794
single_new_typ,single_new_geo,0.3631406979074514,0.4788388989926638
single_new_typ,single_script,0.7086166482301285,0.17502751440041506
single_new_typ,single_distals_asjp,0.09137241454001012,0.2669803362806085
single_new_typ,single_distals_wiki_size,0.7553669293265863,0.272145819165524
single_new_typ,composite_equal,0.5769444728846115,0.7925600157790562
single_new_typ,rrf_equal,0.7017997515936162,0.5328999132695608
single_new_typ,lightgbm_lambdarank,0.26342654742911764,0.9044811953301858
single_new_typ,mlp_listnet,0.6599235474188924,0.49291254818832336
single_new_typ,nnrank,0.9564471311639111,0.7763152915183906
single_new_geo,single_script,0.6352237694596519,0.6298068966156661
single_new_geo,single_distals_asjp,0.7727968331274068,0.3356197242642788
single_new_geo,single_distals_wiki_size,0.2809920016720073,0.90142094596173
single_new_geo,composite_equal,0.3672457431854497,0.2831616493020822
single_new_geo,rrf_equal,0.1821925813609154,0.3506166628202074
single_new_geo,lightgbm_lambdarank,0.9689280699555303,0.4426604120450409
single_new_geo,mlp_listnet,0.6332712183601555,0.6925410848449576
single_new_geo,nnrank,0.4328293979164762,0.7864007680048892
single_script,single_distals_asjp,0.32906064701137394,0.3415191173571386
single_script,single_distals_wiki_size,0.6005888072088298,0.4312234153573927
single_script,composite_equal,0.892611648338587,0.6966230147181585
single_script,rrf_equal,0.9900646448630446,0.699689896030387
single_script,lightgbm_lambdarank,0.3751785987037592,0.40187046958491274
single_script,mlp_listnet,0.9648530164512911,0.9875077316865403
single_script,nnrank,0.7644559988263993,0.9850616046117228
single_distals_asjp,single_distals_wiki_size,0.0933077938829029,0.3432168154092658
single_distals_asjp,composite_equal,0.34282543631538737,0.1424477412111798
single_distals_asjp,rrf_equal,0.23298754363315904,0.28773508563641476
single_distals_asjp,lightgbm_lambdarank,0.8623157502299273,0.1801842008939639
single_distals_asjp,mlp_listnet,0.3327775465306475,0.3718633588404233
single_distals_asjp,nnrank,0.06251337518671758,0.5055444923824124
single_distals_wiki_size,composite_equal,0.3645781284894159,0.08371010210439175
single_distals_wiki_size,rrf_equal,0.557422883703263,0.9971582918766798
single_distals_wiki_size,lightgbm_lambdarank,0.2528578563503155,0.15111820904383
single_distals_wiki_size,mlp_listnet,0.5046856284877766,0.5250104051777558
single_distals_wiki_size,nnrank,0.7823086222323038,0.7578628140620467
composite_equal,rrf_equal,0.5698386963297232,0.3506166628202074
composite_equal,lightgbm_lambdarank,0.6841847116627074,0.6917797627577309
composite_equal,mlp_listnet,0.8638860194406215,0.7859909562387035
composite_equal,nnrank,0.6691564808193442,0.8714142836375354
rrf_equal,lightgbm_lambdarank,0.5869846298663293,0.4894311382781343
rrf_equal,mlp_listnet,0.9786109840301034,0.7473411979897497
rrf_equal,nnrank,0.7874936759329579,0.8242389975394986
lightgbm_lambdarank,mlp_listnet,0.47218784508325634,0.35914828914049435
lightgbm_lambdarank,nnrank,0.3064535316977954,0.7258898373050988
mlp_listnet,nnrank,0.7845491028983121,0.9775611985138326
