method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance_loss
single_new_typ,86.22956942990537,7.213422509862964,25.0,87.5,8,7.0,100.0,100.0,100.0,0.0,7.0,100.0,100.0,100.0,0.0
mlp_listnet,79.18193457270242,7.4919100082508,25.0,25.0,8,7.0,100.0,100.0,100.0,0.0,7.0,100.0,100.0,100.0,0.0
nnrank,86.1464008491693,8.554112735791708,37.5,75.0,8,7.0,100.0,100.0,100.0,0.0,7.0,100.0,100.0,100.0,0.0
rrf_equal,80.08172228037854,11.076949580127463,25.0,37.5,8,7.0,100.0,100.0,100.0,0.0,7.0,100.0,100.0,100.0,0.0
single_new_geo,79.74904795743427,11.082658996413443,25.0,25.0,8,7.0,100.0,100.0,100.0,0.0,7.0,100.0,100.0,100.0,0.0
random,76.2402972092534,12.293427900570164,25.0,50.0,8,7.0,100.0,100.0,100.0,0.0,7.0,100.0,100.0,100.0,0.0
composite_equal,79.34827173417455,12.340345740092118,25.0,50.0,8,7.0,100.0,100.0,100.0,0.0,7.0,100.0,100.0,100.0,0.0
single_script,77.91150400260778,12.885740571187904,25.0,25.0,8,7.0,100.0,100.0,100.0,0.0,7.0,100.0,100.0,100.0,0.0
single_distals_asjp,78.22127646649844,16.206305925625625,12.5,62.5,8,7.0,100.0,100.0,100.0,0.0,7.0,100.0,100.0,100.0,0.0
single_distals_wiki_size,80.11185564121979,17.033946373933322,25.0,75.0,8,7.0,100.0,100.0,100.0,0.0,7.0,100.0,100.0,100.0,0.0
lightgbm_lambdarank,81.86623101531019,17.31507713676372,25.0,50.0,8,7.0,100.0,100.0,100.0,0.0,7.0,100.0,100.0,100.0,0.0
single_new_gen,77.88860214355415,18.739015650563292,0.0,25.0,8,7.0,100.0,100.0,100.0,0.0,7.0,100.0,100.0,100.0,0.0
