method,hrl->hrl,hrl->mrl,hrl->lrl,mrl->hrl,mrl->mrl,mrl->lrl,lrl->hrl,lrl->mrl,lrl->lrl,*->hrl,*->mrl,*->lrl
random,,4.6250368431561535,14.76603401012323,38.916978830842055,11.804778892427908,0.0,,,,38.916978830842055,8.932882072719208,7.383017005061615
single_new_gen,,14.416673887992332,35.88793434851807,38.916978830842055,,,,,3.0238425851845654,38.916978830842055,14.416673887992332,19.455888466851317
single_new_typ,,,,8.184979584825696,7.312537545800469,10.13612515543807,,0.0,,8.184979584825696,5.850030036640375,10.13612515543807
single_new_geo,,,,2.4494414911513407,16.539050789217598,17.031784738101248,,0.0,3.0238425851845654,2.4494414911513407,13.23124063137408,10.027813661642906
single_script,,7.081459616673438,,8.184979584825696,13.090173410715805,10.13612515543807,,20.68344411784817,,8.184979584825696,14.925738934760277,10.13612515543807
single_distals_asjp,,5.531530410396784,,2.4494414911513407,21.20299238589182,20.024026067959248,,19.607719297877363,,2.4494414911513407,17.43059075558703,20.024026067959248
single_distals_wiki_size,,,,2.4494414911513407,29.197586190553498,8.515892369050624,,0.0,,2.4494414911513407,23.3580689524428,8.515892369050624
composite_equal,,,,2.4494414911513407,19.05442427657495,17.031784738101248,,0.0,3.0238425851845654,2.4494414911513407,15.24353942125996,10.027813661642906
rrf_equal,,,,2.4494414911513407,16.527631956645642,17.031784738101248,,0.0,3.0238425851845654,2.4494414911513407,13.222105565316514,10.027813661642906
lightgbm_lambdarank,,,,0.0,16.07332460025643,29.076997046413794,,,,0.0,16.07332460025643,29.076997046413794
mlp_listnet,,,,0.0,7.932605951026053,10.13612515543807,,,,0.0,7.932605951026053,10.13612515543807
nnrank,,4.6250368431561535,,0.0,38.91057788914522,10.13612515543807,,0.0,,0.0,9.632130315091505,10.13612515543807
