method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
random,ud_dep_xlm-r::aii,aii,lrl,lit,mrl,cop,lrl,0.0419426048565121,0.1567328918322295,0.7323943661971831,0.5710927235890588,0.0,0.0,ud_dep_xlm-r,0.1,0.05,31.0,31,31,0.8157894736842105,0.0,0.0,0.0441501103752759,0.7183098591549296,"por,ron,rus,pol,lit,nld,mar,urd,vie,tur,uig,wol,tha,slk,tam,tel,eng,spa,deu,fra,fin,bel,ces,dan,jpn,ita,ind,kor,hat,hrv,heb",10,0.2631578947368421,0.0,0.0,0.0441501103752759,0.7183098591549296,"rus,lit,mar,tur,wol,tel,fra,fin,bel,ind"
random,ud_dep_xlm-r::amh,amh,lrl,lit,mrl,ron,mrl,0.2597402597402597,0.8102941176470588,0.6794494072171023,0.09618629358233458,0.0,0.0,ud_dep_xlm-r,0.1,0.05,38.0,38,38,1.0,1.0,1.0,0.8102941176470588,0.0,"ron,rus,pol,por,lat,lit,nld,mar,urd,vie,tur,ukr,uig,wol,slk,tam,tel,tha,swe,eng,spa,deu,fra,fin,bel,ces,dan,cop,ita,isl,jpn,ind,kor,hrv,hin,hun,hat,heb",10,0.2631578947368421,0.0,0.0,0.3071928071928071,0.6208872796894576,"pol,lit,mar,ukr,wol,swe,fra,fin,bel,ind"
random,ud_dep_xlm-r::apu,apu,lrl,lat,lrl,ukr,mrl,0.136,0.183,0.2568306010928961,0.24852843973040284,0.0,0.0,ud_dep_xlm-r,0.1,0.05,38.0,38,38,1.0,1.0,1.0,0.183,0.0,"ron,rus,pol,por,lit,lat,nld,mar,urd,vie,tha,uig,ukr,tur,wol,slk,tam,swe,tel,spa,eng,deu,fra,fin,bel,dan,ces,cop,ita,jpn,isl,ind,kor,hrv,hat,hun,hin,heb",10,0.2631578947368421,0.0,0.0,0.172,0.06010928961748639,"pol,lat,mar,uig,tur,tel,fra,fin,bel,ind"
random,ud_dep_xlm-r::azz,azz,lrl,lit,mrl,fra,hrl,0.2247224425059476,0.2344369547977795,0.04143763213530665,0.5238898698229237,0.0,1.0,ud_dep_xlm-r,0.1,0.05,38.0,38,38,1.0,1.0,1.0,0.2344369547977795,0.0,"ron,rus,pol,por,lat,lit,nld,mar,urd,vie,tur,tha,uig,ukr,wol,slk,swe,tel,tam,spa,eng,deu,fra,fin,bel,dan,cop,ces,ita,isl,jpn,ind,kor,hat,hrv,hun,hin,heb",10,0.2631578947368421,1.0,1.0,0.2344369547977795,0.0,"pol,lit,mar,tha,ukr,tam,fra,fin,bel,ind"
random,ud_dep_xlm-r::bel,bel,mrl,lit,mrl,rus,mrl,0.7004003002251689,0.8412559419564674,0.16743494423791824,0.0,0.0,0.0,ud_dep_xlm-r,0.1,0.05,38.0,37,37,1.0,1.0,1.0,0.8412559419564674,0.0,"ron,rus,pol,por,lat,lit,nld,mar,urd,ukr,vie,tur,tha,uig,wol,slk,tam,swe,tel,eng,spa,deu,dan,fra,fin,ces,cop,ita,isl,jpn,ind,kor,hrv,hun,hat,hin,heb",10,0.2702702702702703,0.0,0.0,0.7559419564673505,0.10141263940520447,"pol,lit,mar,tur,uig,tel,dan,fra,fin,kor"
random,ud_dep_xlm-r::ben,ben,mrl,lit,mrl,hin,mrl,0.503125,0.609375,0.1743589743589743,0.0,0.0,0.0,ud_dep_xlm-r,0.1,0.05,38.0,38,38,1.0,1.0,1.0,0.609375,0.0,"ron,rus,pol,por,lat,lit,nld,mar,urd,ukr,vie,tur,uig,wol,slk,tam,swe,tel,tha,eng,spa,deu,fra,fin,bel,dan,ces,cop,isl,ita,jpn,ind,kor,hrv,hat,hun,hin,heb",10,0.2631578947368421,0.0,0.0,0.559375,0.08205128205128212,"pol,lit,mar,tur,wol,tha,fra,fin,bel,ind"
random,ud_dep_xlm-r::bre,bre,lrl,lat,lrl,fra,hrl,0.4616230261842894,0.5341794923046173,0.13582787652011233,0.15245166841135635,0.0,0.0,ud_dep_xlm-r,0.1,0.05,38.0,38,38,1.0,1.0,1.0,0.5341794923046173,0.0,"ron,rus,pol,por,lit,lat,nld,mar,ukr,urd,vie,tur,tha,uig,wol,slk,tam,swe,tel,eng,spa,deu,dan,fra,fin,bel,ces,cop,ita,isl,jpn,ind,kor,hrv,hun,hat,hin,heb",10,0.2631578947368421,1.0,1.0,0.5341794923046173,0.0,"pol,lat,mar,tur,uig,tel,dan,fra,fin,ind"
random,ud_dep_xlm-r::ceb,ceb,mrl,lat,lrl,ita,mrl,0.2636165577342048,0.3151779230210603,0.16359447004608302,0.28855888074700375,0.0,0.0,ud_dep_xlm-r,0.1,0.05,38.0,38,38,1.0,1.0,1.0,0.3151779230210603,0.0,"ron,rus,pol,por,lit,lat,nld,mar,urd,ukr,vie,tha,tur,uig,wol,slk,tam,swe,tel,eng,spa,deu,fra,fin,bel,dan,cop,ces,ita,isl,jpn,hun,ind,kor,hrv,hat,heb,hin",10,0.2631578947368421,1.0,0.0,0.307915758896151,0.023041474654378013,"pol,lat,mar,tha,uig,tel,fra,fin,bel,hun"
random,ud_dep_xlm-r::ces,ces,mrl,lat,lrl,hrv,mrl,0.7009329596078591,0.7833935897956696,0.1052607926104151,0.0,0.0,0.0,ud_dep_xlm-r,0.1,0.05,38.0,37,37,1.0,1.0,1.0,0.7833935897956696,0.0,"ron,rus,pol,por,lit,lat,nld,mar,urd,tur,ukr,uig,vie,wol,slk,tam,tel,tha,swe,spa,eng,deu,dan,fra,fin,bel,cop,isl,jpn,ita,ind,kor,hrv,hun,hat,hin,heb",10,0.2702702702702703,1.0,0.0,0.7606694560669456,0.02900730108686635,"pol,lat,mar,uig,wol,swe,dan,fra,fin,kor"
random,ud_dep_xlm-r::ckb,ckb,lrl,lit,mrl,isl,lrl,0.1311475409836065,0.2295081967213114,0.4285714285714286,0.2564967828862255,0.0,0.0,ud_dep_xlm-r,0.1,0.05,38.0,38,38,1.0,1.0,1.0,0.2295081967213114,0.0,"ron,por,rus,pol,lat,lit,nld,mar,ukr,urd,vie,tur,uig,wol,slk,tam,swe,tha,tel,eng,spa,deu,fra,fin,bel,ces,dan,cop,isl,jpn,ita,ind,kor,hin,hrv,hun,hat,heb",10,0.2631578947368421,0.0,0.0,0.1967213114754098,0.1428571428571427,"rus,lit,mar,tur,wol,tel,fra,fin,bel,ind"
