method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance_loss
single_new_typ,35.17945553480637,22.07277237888261,6.25,14.0625,64,36.78125,98.35526315789474,98.4375,98.4375,0.38822852760736154,10.0,26.738086770981507,71.875,43.75,7.979041585017913
lightgbm_lambdarank,41.529877287332425,24.251652405630903,14.0625,35.9375,64,36.578125,97.80961059743954,98.4375,98.4375,0.38822852760736154,10.0,26.738086770981507,78.125,65.625,8.273514300284281
single_distals_asjp,45.31376721449731,24.71425376299746,15.625,31.25,64,23.9375,63.974706614509245,87.5,82.8125,5.072616183826349,10.0,26.738086770981507,76.5625,53.125,10.230636828409882
nnrank,44.86827140560597,24.935235872664276,18.75,43.75,64,33.5625,89.75817923186344,98.4375,98.4375,0.42177914110429415,10.0,26.738086770981507,81.25,71.875,5.236204957178542
mlp_listnet,49.391802072967685,25.44227112184936,17.1875,40.625,64,37.015625,98.96203769559034,96.875,96.875,1.4260222581448612,10.0,26.738086770981507,79.6875,64.0625,6.110017004838917
composite_equal,45.814986096472175,26.496316797947223,20.3125,37.5,64,24.15625,64.55592105263158,89.0625,85.9375,3.126532148462074,10.0,26.738086770981507,81.25,70.3125,5.487471724791879
rrf_equal,43.93633365338048,27.024398069231903,12.5,37.5,64,31.84375,85.14847083926031,95.3125,93.75,1.4065197121582182,10.0,26.738086770981507,78.125,64.0625,5.677170812179473
single_new_geo,31.223814840512095,29.18718761358009,12.5,20.3125,64,28.875,77.21372688477952,92.1875,78.125,2.639944583511564,10.0,26.738086770981507,71.875,43.75,8.257492037580096
random,12.551736328354385,29.393226346646088,0.0,3.125,64,37.296875,99.71217105263158,98.4375,98.4375,1.1223591549295775,10.0,26.738086770981507,51.5625,25.0,13.889082078179705
single_script,24.4283962842548,32.32124710134689,9.375,17.1875,64,28.28125,75.62677809388336,90.625,87.5,1.025109378284246,10.0,26.738086770981507,73.4375,48.4375,7.602366767222524
single_new_gen,40.83600608957379,36.03823183627615,15.625,31.25,64,36.6875,98.10410739687056,98.4375,98.4375,0.16741071428571414,10.0,26.738086770981507,71.875,56.25,8.338766176190445
single_distals_wiki_size,16.714123204674923,46.29312889973575,3.125,15.625,64,33.59375,89.84041607396871,98.4375,98.4375,0.42177914110429415,10.0,26.738086770981507,60.9375,39.0625,9.520474797946623
