method_a,method_b,ndcg_p_value,performance_loss_p_value
random,single_new_gen,0.0002117115068988516,0.5797178016345067
random,single_new_typ,0.00012717317232343757,0.2005299857978821
random,single_new_geo,0.003148081918437328,0.6415327776380125
random,single_script,0.00011738372316762329,0.18485982183597108
random,single_distals_asjp,0.001566191746996591,0.365800642432159
random,single_distals_wiki_size,0.014991559054468676,0.00021029427730026687
random,composite_equal,7.474246770347895e-06,0.3366957717678708
random,rrf_equal,5.12818018236113e-06,0.18792855028424282
random,lightgbm_lambdarank,6.913728961903603e-08,0.003297024603605455
random,mlp_listnet,1.1753083147757503e-06,0.1628082049961882
random,nnrank,2.440748055719359e-06,0.1577524897569837
single_new_gen,single_new_typ,0.6201080542594214,0.12704715443453232
single_new_gen,single_new_geo,0.028857017879033765,0.8212604108971553
single_new_gen,single_script,0.16038903790195297,0.02767038457411515
single_new_gen,single_distals_asjp,0.1337801516629064,0.06542475458932645
single_new_gen,single_distals_wiki_size,0.021213864549664944,0.00555523570964162
single_new_gen,composite_equal,0.06547974954764638,0.0689045037447772
single_new_gen,rrf_equal,0.08608669206659253,0.05453655134898986
single_new_gen,lightgbm_lambdarank,0.0036175863680919804,0.0018976635085012406
single_new_gen,mlp_listnet,0.006611997211309708,0.014241165098588492
single_new_gen,nnrank,0.03631009153100606,0.05125686664981726
single_new_typ,single_new_geo,0.1374231683729788,0.12188385418595099
single_new_typ,single_script,0.3682317481260954,0.7257433341002865
single_new_typ,single_distals_asjp,0.6606486570030404,0.8112659898099601
single_new_typ,single_distals_wiki_size,0.03088876758417141,1.017517941150179e-05
single_new_typ,composite_equal,0.07461142677252308,0.9178900029659837
single_new_typ,rrf_equal,0.05092731839341276,0.8192638016886802
single_new_typ,lightgbm_lambdarank,0.004180482573127871,0.05408078893516339
single_new_typ,mlp_listnet,0.008462733418147784,0.6448207882381071
single_new_typ,nnrank,0.03571228750500301,0.7610967844438967
single_new_geo,single_script,0.469215708130848,0.018040264133827692
single_new_geo,single_distals_asjp,0.23265802035629665,0.16489198796298865
single_new_geo,single_distals_wiki_size,0.46341721226325017,0.004735948608907773
single_new_geo,composite_equal,0.0006221831823273564,0.1458474286909184
single_new_geo,rrf_equal,0.000339850756353398,0.06281551962314855
single_new_geo,lightgbm_lambdarank,1.9432245705848177e-05,0.00020829753529595231
single_new_geo,mlp_listnet,5.2149552701513664e-05,0.027398771683228934
single_new_geo,nnrank,8.22335902226416e-05,0.03300119916244799
single_script,single_distals_asjp,0.6662842298536319,0.5498066541004484
single_script,single_distals_wiki_size,0.1334213768918724,3.06471922907334e-05
single_script,composite_equal,0.00671194807616605,0.6167325294657156
single_script,rrf_equal,0.006001839964246302,0.9038485755947799
single_script,lightgbm_lambdarank,2.358214526180365e-05,0.12367571569275097
single_script,mlp_listnet,0.0010247645239630817,0.923342227976683
single_script,nnrank,0.005623566115294677,0.9607145856634045
single_distals_asjp,single_distals_wiki_size,0.10933190480292315,2.9778114470958596e-05
single_distals_asjp,composite_equal,0.00024333696303163326,0.861093574042056
single_distals_asjp,rrf_equal,0.0004226443306268781,0.5533088360208576
single_distals_asjp,lightgbm_lambdarank,3.538396736503698e-05,0.024234468312982073
single_distals_asjp,mlp_listnet,5.054989890850701e-06,0.3649474615911277
single_distals_asjp,nnrank,0.000821898166157047,0.5269678091733371
single_distals_wiki_size,composite_equal,0.0006062150719107713,3.886697714833109e-05
single_distals_wiki_size,rrf_equal,0.0002747234566782614,2.5611181095887858e-05
single_distals_wiki_size,lightgbm_lambdarank,1.7876972644867554e-05,7.659742712071233e-08
single_distals_wiki_size,mlp_listnet,9.107995461862037e-05,1.9214441864276376e-06
single_distals_wiki_size,nnrank,0.00022187648874011842,8.707645756136567e-06
composite_equal,rrf_equal,0.9743876632620293,0.536911910025244
composite_equal,lightgbm_lambdarank,0.12003813262929788,0.03675673644092959
composite_equal,mlp_listnet,0.3545079538723804,0.4356717798012018
composite_equal,nnrank,0.6523354585282672,0.6673645055740475
rrf_equal,lightgbm_lambdarank,0.1480682100202972,0.07111815536645626
rrf_equal,mlp_listnet,0.3748256747228573,0.7879817619372268
rrf_equal,nnrank,0.6560976038228766,0.9515039945040283
lightgbm_lambdarank,mlp_listnet,0.4364083435714152,0.10395068273363202
lightgbm_lambdarank,nnrank,0.3520955101481845,0.05810805966253723
mlp_listnet,nnrank,0.7590497119396685,0.8796909083880524
