method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
random,ud_pos_mt5::aii,aii,lrl,lit,mrl,jpn,hrl,0.0195642507781236,0.0952407621501178,0.7945811190875754,0.0,0.0,0.0,ud_pos_mt5,0.1,0.05,31.0,31,31,0.8157894736842105,1.0,1.0,0.0952407621501178,0.0,"por,ron,rus,pol,lit,nld,mar,urd,vie,tur,uig,wol,tha,slk,tam,tel,eng,spa,deu,fra,fin,bel,ces,dan,jpn,ita,ind,kor,hat,hrv,heb",10,0.2631578947368421,0.0,0.0,0.0195642507781236,0.7945811190875754,"rus,lit,mar,tur,wol,tel,fra,fin,bel,ind"
random,ud_pos_mt5::amh,amh,lrl,lit,mrl,hrv,mrl,0.1578440197020232,0.1984518497750633,0.2046230867541288,0.0,0.0,0.0,ud_pos_mt5,0.1,0.05,31.0,31,31,0.8157894736842105,1.0,1.0,0.1984518497750633,0.0,"ron,rus,pol,por,lit,nld,mar,vie,tur,ukr,uig,wol,slk,tam,tel,swe,eng,spa,deu,fra,fin,bel,ces,dan,isl,jpn,ind,kor,hrv,hin,heb",10,0.2631578947368421,1.0,0.0,0.1946889232641996,0.01896140809535829,"pol,lit,mar,ukr,wol,swe,fra,fin,bel,ind"
random,ud_pos_mt5::apu,apu,lrl,lat,lrl,tel,lrl,0.0578979580508434,0.1216153764965684,0.5239256768450073,0.0,0.0,0.0,ud_pos_mt5,0.1,0.05,31.0,31,31,0.8157894736842105,1.0,1.0,0.1216153764965684,0.0,"ron,rus,pol,por,lat,nld,mar,vie,tha,uig,ukr,tur,wol,slk,tam,tel,spa,eng,deu,fra,fin,bel,dan,ces,jpn,isl,ind,kor,hrv,hat,heb",10,0.2631578947368421,1.0,1.0,0.1216153764965684,0.0,"pol,lat,mar,uig,tur,tel,fra,fin,bel,ind"
random,ud_pos_mt5::azz,azz,lrl,lit,mrl,hrv,mrl,0.212308988161906,0.2328479611857571,0.08820765670121503,0.20326889121514177,0.0,0.0,ud_pos_mt5,0.1,0.05,31.0,31,31,0.8157894736842105,1.0,1.0,0.2328479611857571,0.0,"ron,rus,pol,por,lit,nld,mar,vie,tur,tha,uig,ukr,wol,slk,swe,tam,spa,eng,deu,fra,fin,bel,dan,cop,isl,jpn,ind,kor,hat,hrv,heb",10,0.2631578947368421,0.0,0.0,0.2138655244245768,0.0815228815597696,"pol,lit,mar,tha,ukr,tam,fra,fin,bel,ind"
random,ud_pos_mt5::bel,bel,mrl,lit,mrl,ukr,mrl,0.4975837300063263,0.5456696780995942,0.08812281499814512,0.3049033368227127,0.0,0.0,ud_pos_mt5,0.1,0.05,31.0,31,31,0.8378378378378378,1.0,1.0,0.5456696780995942,0.0,"ron,rus,pol,por,lit,nld,mar,ukr,vie,tur,tha,uig,wol,slk,tam,tel,eng,spa,deu,dan,fra,fin,ces,cop,jpn,ind,kor,hrv,hun,hat,hin",10,0.2702702702702703,1.0,0.0,0.5270159773927493,0.03418496840764586,"pol,lit,mar,tur,uig,tel,dan,fra,fin,kor"
random,ud_pos_mt5::ben,ben,mrl,lit,mrl,ces,mrl,0.3808106699761901,0.4496130525197642,0.1530257677306858,0.3557205596264981,0.0,0.0,ud_pos_mt5,0.1,0.05,31.0,31,31,0.8157894736842105,1.0,1.0,0.4496130525197642,0.0,"ron,rus,pol,por,lit,nld,mar,ukr,vie,tur,uig,wol,slk,tam,swe,tha,eng,spa,deu,fra,fin,bel,dan,ces,ita,jpn,ind,kor,hrv,hat,heb",10,0.2631578947368421,0.0,0.0,0.3808106699761901,0.1530257677306858,"pol,lit,mar,tur,wol,tha,fra,fin,bel,ind"
random,ud_pos_mt5::bre,bre,lrl,lat,lrl,por,mrl,0.126233492111911,0.2556703293176501,0.5062646007895741,0.0,0.0,0.0,ud_pos_mt5,0.1,0.05,31.0,31,31,0.8157894736842105,1.0,1.0,0.2556703293176501,0.0,"ron,rus,pol,por,lat,nld,mar,urd,vie,tur,tha,uig,wol,slk,tam,tel,eng,spa,deu,dan,fra,fin,bel,ces,isl,jpn,ind,kor,hrv,hun,heb",10,0.2631578947368421,0.0,0.0,0.1924574047291869,0.24724388143579287,"pol,lat,mar,tur,uig,tel,dan,fra,fin,ind"
random,ud_pos_mt5::ceb,ceb,mrl,lat,lrl,ces,mrl,0.1430554699015725,0.3497252204436021,0.5909489463753383,0.07622583420567818,0.0,0.0,ud_pos_mt5,0.1,0.05,31.0,31,31,0.8157894736842105,1.0,0.0,0.3374749646977809,0.03502823082156508,"ron,rus,pol,por,lat,nld,mar,ukr,vie,tha,tur,uig,wol,slk,tam,tel,eng,spa,deu,fra,fin,bel,dan,cop,isl,jpn,hun,ind,kor,hrv,hin",10,0.2631578947368421,1.0,0.0,0.3374749646977809,0.03502823082156508,"pol,lat,mar,tha,uig,tel,fra,fin,bel,hun"
random,ud_pos_mt5::ces,ces,mrl,lat,lrl,hrv,mrl,0.2979216044811259,0.6087844816526288,0.5106287800366117,0.0,0.0,0.0,ud_pos_mt5,0.1,0.05,31.0,31,31,0.8378378378378378,1.0,1.0,0.6087844816526288,0.0,"ron,rus,pol,por,lat,nld,mar,tur,ukr,uig,vie,wol,slk,tam,tel,swe,spa,eng,deu,dan,fra,fin,bel,cop,ita,ind,kor,hrv,hun,hat,hin",10,0.2702702702702703,0.0,0.0,0.5516228455323917,0.09389469975493459,"pol,lat,mar,uig,wol,swe,dan,fra,fin,kor"
random,ud_pos_mt5::ckb,ckb,lrl,lit,mrl,isl,lrl,0.1044642857142857,0.1715251236084569,0.39096801963106015,0.0,0.0,0.0,ud_pos_mt5,0.1,0.05,31.0,31,31,0.8157894736842105,0.0,0.0,0.1609487970338348,0.06166050985489942,"ron,por,rus,pol,lit,nld,mar,urd,vie,tur,uig,wol,slk,tam,swe,tel,eng,spa,deu,fra,fin,bel,ces,dan,jpn,ita,ind,kor,hin,hrv,heb",10,0.2631578947368421,0.0,0.0,0.1609487970338348,0.06166050985489942,"rus,lit,mar,tur,wol,tel,fra,fin,bel,ind"
