method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance_loss
lightgbm_lambdarank,37.52177154251314,22.671733101288055,12.5,29.6875,64,34.515625,92.3141891891892,100.0,100.0,0.0,10.0,26.738086770981507,71.875,60.9375,3.0699604513001613
mlp_listnet,35.298518044847526,27.021246319968917,12.5,34.375,64,35.515625,94.96021514935988,96.875,93.75,0.3490101764954121,10.0,26.738086770981507,73.4375,60.9375,3.233252893028063
single_script,23.432766984494297,27.293129799770487,4.6875,14.0625,64,32.15625,85.97528449502134,95.3125,89.0625,0.9231837348150261,10.0,26.738086770981507,57.8125,31.25,6.640337804252558
nnrank,34.471903859934386,27.467300418394778,17.1875,34.375,64,30.0,80.21426031294452,92.1875,85.9375,0.7626858113713004,10.0,26.738086770981507,67.1875,54.6875,4.1275666740135275
rrf_equal,33.229397760615136,27.662963158287745,14.0625,31.25,64,31.375,83.90825035561878,96.875,95.3125,0.346334347689727,10.0,26.738086770981507,64.0625,51.5625,4.832828727940839
single_new_typ,26.52377844201367,28.492459387389612,15.625,20.3125,64,36.890625,98.63531294452348,98.4375,96.875,0.10831969927867374,10.0,26.738086770981507,60.9375,51.5625,5.66419746026964
composite_equal,33.172671330220815,28.852715041058108,17.1875,34.375,64,35.84375,95.83481507823613,96.875,96.875,0.295811154721913,10.0,26.738086770981507,59.375,50.0,5.817225822025837
single_distals_asjp,24.94613630198738,29.25630069466546,14.0625,26.5625,64,29.234375,78.14833748221905,95.3125,90.625,0.7592971132973251,10.0,26.738086770981507,59.375,46.875,7.38585257373876
random,10.116134805625654,32.41735709444888,1.5625,4.6875,64,32.6875,87.40887268847796,95.3125,87.5,0.6166081568624059,10.0,26.738086770981507,35.9375,21.875,10.758477514002573
single_new_geo,21.162266139374346,34.09836585736327,7.8125,15.625,64,33.984375,90.8683766002845,95.3125,92.1875,0.7372999522573892,10.0,26.738086770981507,56.25,37.5,7.869704735628639
single_new_gen,28.308438096156674,34.91570507509552,12.5,26.5625,64,36.53125,97.69070056899004,96.875,90.625,0.319836808668794,10.0,26.738086770981507,62.5,54.6875,4.883606127139356
single_distals_wiki_size,18.461349091363427,48.458690862533956,4.6875,7.8125,64,30.46875,81.46448257467995,95.3125,90.625,0.5420493047768593,10.0,26.738086770981507,54.6875,31.25,7.369226302021326
