method,hrl->hrl,hrl->mrl,hrl->lrl,mrl->hrl,mrl->mrl,mrl->lrl,lrl->hrl,lrl->mrl,lrl->lrl,*->hrl,*->mrl,*->lrl
random,,,,27.609957820021442,21.10004890874823,29.3109807680585,44.13484644482374,46.90601347999038,43.433966330223875,34.21991326994235,28.473181643388845,35.689103280004154
single_new_gen,11.990013739400188,40.71094159885845,48.0941205625738,6.063472761924849,10.119730110310925,32.20195393549401,,49.77672833950212,,9.619397348410052,28.247978585241203,45.01821734442933
single_new_typ,,0.0,8.979242827373904,19.879664310884976,21.542477894987712,32.703781730145046,12.96652075726135,41.33294478997174,38.49661366240734,18.49703560016025,25.013918019091868,33.24653284701811
single_new_geo,25.14724185414175,29.180396676917162,0.0,27.117246523380544,34.149491554802005,31.35423620322126,33.87919793126982,49.53609386259898,37.362664211020245,28.075635871110638,36.54216376134541,32.86247258703304
single_script,,39.650306734662486,,20.80823933860359,19.615548850870514,19.953879290469242,,70.37771246161377,43.13341073575076,20.80823933860359,28.298340644104698,27.43114749862457
single_distals_asjp,,0.6643564724178607,31.933161173303837,18.83537677860122,17.312377325192823,35.39972516656628,24.283852676103603,44.76687372892611,46.424179959097366,19.925071958101697,20.43124944877645,38.73235161620453
single_distals_wiki_size,20.823549228547687,42.31903084869589,,31.80052930837103,44.05923248785763,48.950554170416744,,54.10795843572416,57.012090498266865,27.409737276441692,44.762981345308674,55.19174358552651
composite_equal,,27.22161619440483,19.54995993184635,16.631255602883293,13.636101849700058,34.30508577514358,,38.93019972621236,56.47154434248856,16.631255602883293,17.868807831005356,40.74486662403717
rrf_equal,8.367759013899152,44.70500385159018,20.533665185982148,20.691995236050236,7.819369169755282,36.83286921760743,,47.55551971783465,51.65337300459766,18.22714799162002,17.447994392534643,38.411292231656304
lightgbm_lambdarank,,6.72583522720188,27.52767164450878,17.13785872369096,16.58302642538871,24.281982149486332,,39.07119335611481,48.251566163894175,17.13785872369096,17.133196434920553,28.566842731813068
mlp_listnet,6.8215099375066615,18.52945526626098,35.57726410345056,7.961504578292419,19.34374831408346,33.084076871831385,,38.93019972621236,41.88010845392314,7.505506721978117,20.568289190416422,35.99742366246645
nnrank,8.367759013899152,18.51787908641289,21.646798509432337,20.691995236050236,20.72336419578344,32.19948189792914,,37.8479563339647,35.016191793572204,18.22714799162002,22.243072623535635,33.676304947102196
