method_a,method_b,ndcg_p_value,performance_loss_p_value
random,single_new_gen,0.00014376822281070135,0.6758035186636614
random,single_new_typ,9.907427013601655e-05,0.1273496398139218
random,single_new_geo,0.00047948454044305524,0.7035063750928962
random,single_script,0.002655185641010396,0.1400421502856916
random,single_distals_asjp,1.0032117153094371e-05,0.3222539376129469
random,single_distals_wiki_size,0.9591729506905806,0.0003437340944926252
random,composite_equal,1.1159838029764014e-05,0.7911533531307816
random,rrf_equal,4.693393907059237e-07,0.4667801510736757
random,lightgbm_lambdarank,2.3277217809007535e-05,0.08285965287494772
random,mlp_listnet,1.0758735846920707e-07,0.2505929619466666
random,nnrank,6.3042823483606426e-09,0.0024297708270094222
single_new_gen,single_new_typ,0.5785788572600636,0.15467954809888587
single_new_gen,single_new_geo,0.17626687221003742,0.4745082697042431
single_new_gen,single_script,0.03627671282788752,0.0884254384697773
single_new_gen,single_distals_asjp,0.2125189743637472,0.16642823019612657
single_new_gen,single_distals_wiki_size,6.913039983549574e-06,0.0008810025183206528
single_new_gen,composite_equal,0.16388776275204048,0.45186746091401203
single_new_gen,rrf_equal,0.10517642018773579,0.24860996886446698
single_new_gen,lightgbm_lambdarank,0.4956267211234363,0.026121695294248622
single_new_gen,mlp_listnet,0.009405782148695033,0.07949809489213759
single_new_gen,nnrank,0.005099041348955385,0.006192254064172968
single_new_typ,single_new_geo,0.35606417145082137,0.49363170028576475
single_new_typ,single_script,0.15272351926904548,0.8970487570681352
single_new_typ,single_distals_asjp,0.07147158195593581,0.716428413143631
single_new_typ,single_distals_wiki_size,3.59510904547424e-05,2.280867061977711e-05
single_new_typ,composite_equal,0.08756598283590161,0.4310389457672551
single_new_typ,rrf_equal,0.027768543638150095,0.7454036402590234
single_new_typ,lightgbm_lambdarank,0.14538087168487346,0.7167640579623756
single_new_typ,mlp_listnet,0.0014315813492058534,0.9744428155902388
single_new_typ,nnrank,0.0023786299970151585,0.13103324946923436
single_new_geo,single_script,0.5113640937496301,0.37086728585663603
single_new_geo,single_distals_asjp,0.005024480702215487,0.6305334563760026
single_new_geo,single_distals_wiki_size,0.00011433061175159588,0.00032235233877488107
single_new_geo,composite_equal,0.0037529466979593596,0.9856153746984228
single_new_geo,rrf_equal,0.0006351063132412266,0.6857656331524322
single_new_geo,lightgbm_lambdarank,0.021402713197562546,0.28612746796417027
single_new_geo,mlp_listnet,2.2039802811312735e-05,0.4416001182035336
single_new_geo,nnrank,2.1471461550818766e-05,0.003079876943787061
single_script,single_distals_asjp,0.0044296178443109565,0.6835626083411536
single_script,single_distals_wiki_size,0.00031079814914710004,1.8266739624597005e-05
single_script,composite_equal,0.0017839522888858576,0.3750919866549101
single_script,rrf_equal,0.00046755288320323704,0.6699859078026326
single_script,lightgbm_lambdarank,0.010222346260387712,0.8266721230539392
single_script,mlp_listnet,3.7068813442061524e-05,0.9252347509696894
single_script,nnrank,5.617350195609396e-05,0.10883615728291822
single_distals_asjp,single_distals_wiki_size,1.123893087878571e-06,4.876943358483334e-05
single_distals_asjp,composite_equal,0.9224983224089275,0.5593992051517692
single_distals_asjp,rrf_equal,0.5803586889970291,0.9591611464439146
single_distals_asjp,lightgbm_lambdarank,0.5523944706707238,0.47578089812520724
single_distals_asjp,mlp_listnet,0.03237547081708358,0.7081227549404977
single_distals_asjp,nnrank,0.06460239773555437,0.0699351657069534
single_distals_wiki_size,composite_equal,1.965699351917266e-07,7.834375923889466e-05
single_distals_wiki_size,rrf_equal,1.5141189794518338e-08,1.1309200381933787e-05
single_distals_wiki_size,lightgbm_lambdarank,2.8359600580787505e-06,1.038252769768332e-06
single_distals_wiki_size,mlp_listnet,9.451782955621406e-09,0.00011971718832054815
single_distals_wiki_size,nnrank,4.713131136597412e-10,1.1170946581564847e-07
composite_equal,rrf_equal,0.5686046042305181,0.43986773048886846
composite_equal,lightgbm_lambdarank,0.5374808027498317,0.2706258248580202
composite_equal,mlp_listnet,0.041477880488629236,0.40955200977358025
composite_equal,nnrank,0.05033392205363767,0.06559400469638163
rrf_equal,lightgbm_lambdarank,0.3401848343221152,0.501398471148167
rrf_equal,mlp_listnet,0.20122065953089474,0.7296623527912117
rrf_equal,nnrank,0.12787770774944346,0.08409287535069065
lightgbm_lambdarank,mlp_listnet,0.013993097316501963,0.771875494848217
lightgbm_lambdarank,nnrank,0.035753682790122344,0.14432293111125974
mlp_listnet,nnrank,0.5093745076509003,0.17017078167349461
