method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance_loss
nnrank,47.416051419469525,14.2746848610624,18.75,43.75,64,15.96875,42.69870199146515,95.3125,85.9375,1.4292629839010347,10.0,26.738086770981507,84.375,76.5625,3.0585756661784416
lightgbm_lambdarank,39.013382369421656,18.055527550783978,10.9375,26.5625,64,23.0,61.52427098150781,95.3125,90.625,1.0047526194948806,10.0,26.738086770981507,76.5625,60.9375,3.7453160361892612
single_script,28.76053882822682,18.56980517453633,12.5,23.4375,64,23.15625,61.941011735419636,90.625,79.6875,0.9522470774539117,10.0,26.738086770981507,76.5625,48.4375,3.888674631399626
mlp_listnet,45.23596082175079,18.810555527216476,18.75,42.1875,64,23.671875,63.28569523470839,92.1875,82.8125,0.9596936677926697,10.0,26.738086770981507,82.8125,64.0625,2.3651804678400703
single_new_typ,34.3419284471714,18.89088076350246,9.375,20.3125,64,33.90625,90.68056543385492,93.75,87.5,1.027393077115156,10.0,26.738086770981507,76.5625,56.25,4.133842760499197
single_distals_asjp,40.627787272776025,19.618059802327398,18.75,37.5,64,26.71875,71.40825035561878,95.3125,85.9375,0.5620452193279194,10.0,26.738086770981507,71.875,57.8125,4.376735665421656
rrf_equal,42.24234309534175,19.746131190810935,20.3125,39.0625,64,30.203125,80.75102240398296,96.875,93.75,0.49905299963185784,10.0,26.738086770981507,85.9375,67.1875,2.679058657385626
single_new_geo,31.09307951379075,21.099936907555396,10.9375,17.1875,64,20.625,55.12980085348506,98.4375,81.25,1.0330055209735012,10.0,26.738086770981507,71.875,45.3125,4.548325782967947
composite_equal,40.853789056629864,21.166947002025907,18.75,39.0625,64,22.828125,61.023070768136556,93.75,84.375,0.9625302250474946,10.0,26.738086770981507,82.8125,65.625,2.843247369998453
random,15.644737288249221,22.10133420093222,6.25,9.375,64,30.3125,81.0755245376956,93.75,79.6875,1.373488774227125,10.0,26.738086770981507,56.25,28.125,6.959400616895198
single_new_gen,36.65204173607256,23.45380838146468,10.9375,29.6875,64,35.71875,95.51698079658605,96.875,96.875,0.5048450959957059,10.0,26.738086770981507,70.3125,48.4375,5.173816316136477
single_distals_wiki_size,15.466896512672154,37.09740276085306,1.5625,10.9375,64,18.59375,49.66771870554766,90.625,68.75,2.141588466620157,10.0,26.738086770981507,62.5,39.0625,6.719365405024447
