method,hrl->hrl,hrl->mrl,hrl->lrl,mrl->hrl,mrl->mrl,mrl->lrl,lrl->hrl,lrl->mrl,lrl->lrl,*->hrl,*->mrl,*->lrl
random,,,,25.993562173269684,18.99516856815983,29.920868621595805,20.543249011307392,18.631671035648036,18.41476415012349,23.81343690848477,18.89131213029932,24.724563376414757
single_new_gen,10.2624086375724,30.562368068505748,33.86600655171878,11.339653354606021,3.6426947330160377,17.233973788168246,,12.968853757279136,,10.693306524385848,17.768685616779685,30.64690343619288
single_new_typ,,12.292183641093617,10.497817285133596,19.689760857738968,7.33370487175713,27.26679367573204,10.432821890042367,17.306533108201037,30.293035302712703,17.838373064199647,9.647828021328557,27.409203836966434
single_new_geo,9.1588888960479,20.722421722441872,23.7089456507713,3.069983409286005,10.184179426693696,28.769554436937085,47.82296170638409,42.179528545104226,23.477118157198536,13.238360166058003,16.6503662189633,26.386900229751053
single_script,,31.02305661345409,,16.3815596597362,9.741947727169,16.50730956978724,,36.20897838959936,33.870135512308856,16.3815596597362,15.043031313679414,22.10822116414905
single_distals_asjp,,6.772412358954899,0.46518100115242944,9.816681318779938,6.595407545297116,24.83586584066151,47.40779945199534,26.39472735974038,41.18704648654558,17.33490494542302,10.149965170768173,28.538137994849333
single_distals_wiki_size,17.25659887577151,31.089367542734962,,15.105091151389951,22.664674865359704,28.626848371201678,,31.07354742056413,57.651320705438934,15.965694241142575,25.37091678428344,51.09740759770794
composite_equal,,22.3032020215126,27.83677640755158,15.351902625905462,7.507019484430804,18.581125592448565,,14.419965030650761,45.37904462334822,15.351902625905462,10.642976762211122,31.610378892200625
rrf_equal,29.58194559185457,34.496985557263976,31.12300006066735,3.6899105029153363,6.16035194390354,19.59061619614033,,19.367434755127142,39.685791919964856,8.868317520703183,11.083145946938387,29.32524909980997
lightgbm_lambdarank,0.2342609312067605,10.82076303635837,27.88509699063033,13.169782576633365,8.63441903702134,23.5349741565361,30.053511013171097,30.166372619303417,20.82599996778739,17.33616962216314,10.484750578518208,25.009674159382232
mlp_listnet,,26.394157872397745,22.869167347959646,3.6899105029153363,6.58837907475665,21.84774984314324,12.699222574346855,36.31227555260397,48.42998828691876,5.491772917201639,13.664046971254997,25.6072056116357
nnrank,29.58194559185457,10.882629565670698,0.9303620023048589,3.6899105029153363,6.400244319389002,17.00389812667737,,18.536818173181054,23.236139837300204,8.868317520703183,8.340932267478394,20.506198065002668
