method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
random,wikiann_mt5::amh,amh,lrl,lat,lrl,tam,mrl,0.4289285714285714,0.6189242424242424,0.306977264699608,0.05081722280378544,0.0,0.0,wikiann_mt5,0.1,0.05,13.0,13,13,0.38235294117647056,1.0,1.0,0.6189242424242424,0.0,"nld,pol,lat,kor,mal,tam,ukr,deu,ces,bel,ben,hun,heb",10,0.29411764705882354,1.0,1.0,0.6189242424242424,0.0,"pol,lat,mal,tam,ukr,deu,bel,ben,hun,heb"
random,wikiann_mt5::asm,asm,lrl,lat,lrl,hin,mrl,0.616577367077367,0.758427738927739,0.18703215160737563,0.20326889121514177,0.0,0.0,wikiann_mt5,0.1,0.05,13.0,13,13,0.38235294117647056,1.0,0.0,0.755079254079254,0.004415034783958461,"nld,ron,lat,mar,mal,ukr,tam,deu,ces,bel,ben,hrv,heb",10,0.29411764705882354,1.0,0.0,0.755079254079254,0.004415034783958461,"ron,lat,mal,ukr,tam,deu,bel,ben,hrv,heb"
random,wikiann_mt5::bel,bel,mrl,lit,mrl,rus,mrl,0.8302088989441931,0.8522904190580661,0.02590844578339509,0.0,0.0,0.0,wikiann_mt5,0.1,0.05,13.0,13,13,0.3939393939393939,1.0,0.0,0.8513494128420599,0.001104091040993064,"nld,por,lit,lat,kor,tam,ukr,dan,eng,ben,hun,hin,fin",10,0.30303030303030304,1.0,0.0,0.8513494128420599,0.001104091040993064,"por,lit,kor,tam,ukr,dan,ben,hun,hin,fin"
random,wikiann_mt5::ben,ben,mrl,lat,lrl,hin,mrl,0.6519761953732542,0.8015119137656289,0.18656705636455528,0.0,0.0,0.0,wikiann_mt5,0.1,0.05,13.0,13,13,0.3939393939393939,1.0,1.0,0.8015119137656289,0.0,"nld,por,lat,kor,mal,tha,urd,deu,ces,bel,hun,hin,fin",10,0.30303030303030304,1.0,1.0,0.8015119137656289,0.0,"por,lat,mal,tha,urd,deu,bel,hun,hin,fin"
random,wikiann_mt5::bod,bod,lrl,kor,mrl,lat,lrl,0.37,0.418,0.11483253588516744,0.3557205596264981,0.0,0.0,wikiann_mt5,0.1,0.05,13.0,13,13,0.38235294117647056,0.0,0.0,0.37,0.11483253588516744,"nld,por,kor,mal,lit,tha,urd,dan,ces,eng,bel,ben,heb",10,0.29411764705882354,0.0,0.0,0.37,0.11483253588516744,"por,kor,lit,tha,urd,dan,eng,bel,ben,heb"
random,wikiann_mt5::bre,bre,lrl,kor,mrl,ces,mrl,0.5850177148874517,0.6761626689100373,0.13479737674590897,0.0,0.0,0.0,wikiann_mt5,0.1,0.05,13.0,13,13,0.38235294117647056,1.0,1.0,0.6761626689100373,0.0,"nld,por,kor,mal,lit,tha,urd,dan,ces,eng,bel,ben,heb",10,0.29411764705882354,1.0,0.0,0.6614253228711433,0.02179556298582756,"por,kor,lit,tha,urd,dan,eng,bel,ben,heb"
random,wikiann_mt5::cbk,cbk,lrl,lat,lrl,heb,mrl,0.6484893439893439,0.7736830391830394,0.161815225167521,0.2540861140189272,0.0,1.0,wikiann_mt5,0.1,0.05,13.0,13,13,0.38235294117647056,1.0,1.0,0.7736830391830394,0.0,"nld,pol,lat,kor,mal,tam,ukr,deu,ces,spa,bel,ben,heb",10,0.29411764705882354,1.0,1.0,0.7736830391830394,0.0,"pol,lat,mal,tam,ukr,deu,spa,bel,ben,heb"
random,wikiann_mt5::ceb,ceb,mrl,lat,lrl,spa,hrl,0.6998832278832279,0.7366854909796087,0.04995654664983686,0.15245166841135635,0.0,0.0,wikiann_mt5,0.1,0.05,13.0,13,13,0.38235294117647056,1.0,0.0,0.7000995670995671,0.049662881009630545,"nld,por,lat,kor,mal,tam,ukr,dan,ces,bel,ben,hrv,heb",10,0.29411764705882354,1.0,0.0,0.7000995670995671,0.049662881009630545,"por,lat,mal,tam,ukr,dan,bel,ben,hrv,heb"
random,wikiann_mt5::ces,ces,mrl,kor,mrl,slk,mrl,0.7921373186024503,0.8758645327900515,0.09559379453451505,0.0,0.0,0.0,wikiann_mt5,0.1,0.05,13.0,13,13,0.3939393939393939,1.0,0.0,0.8629236309553878,0.014775003839281691,"nld,por,kor,mar,mal,tur,tam,dan,deu,ben,hun,hin,heb",10,0.30303030303030304,1.0,0.0,0.8629236309553878,0.014775003839281691,"por,kor,mal,tur,tam,dan,ben,hun,hin,heb"
random,wikiann_mt5::ckb,ckb,lrl,lat,lrl,mal,lrl,0.5528301365301366,0.739945720945721,0.25287744643814264,0.07622583420567818,0.0,0.0,wikiann_mt5,0.1,0.05,13.0,13,13,0.38235294117647056,1.0,0.0,0.7311293872793873,0.01191483836823275,"nld,pol,lat,lit,kor,tha,urd,dan,deu,bel,ben,hun,heb",10,0.29411764705882354,1.0,0.0,0.7311293872793873,0.01191483836823275,"pol,lat,kor,tha,urd,dan,bel,ben,hun,heb"
