method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance_loss
nnrank,42.94952955728618,7.115695840989448,17.857142857142858,37.5,56,9.0,26.914629488158898,89.28571428571429,62.5,1.6337860674208158,10.0,29.952890247007897,92.85714285714286,67.85714285714286,1.1485043119832736
lightgbm_lambdarank,43.15098804802764,7.838174301391441,14.285714285714285,41.07142857142857,56,6.357142857142857,18.99350649350649,82.14285714285714,46.42857142857143,2.5919058399630535,10.0,29.952890247007897,94.64285714285714,64.28571428571429,0.9455243049041809
mlp_listnet,43.19963226253868,8.738474911684554,23.214285714285715,42.857142857142854,56,5.875,17.5833969951617,82.14285714285714,50.0,2.266620131512391,10.0,29.952890247007897,92.85714285714286,71.42857142857143,1.0085758596748118
rrf_equal,43.7960184155265,9.076500676869555,21.428571428571427,44.642857142857146,56,6.321428571428571,18.872549019607842,85.71428571428571,50.0,2.3149689466400996,10.0,29.952890247007897,92.85714285714286,76.78571428571429,1.0509618676204429
single_distals_asjp,41.69261024773922,9.194837424455322,21.428571428571427,39.285714285714285,56,8.589285714285714,25.660491469315,82.14285714285714,44.642857142857146,2.329684121974614,10.0,29.952890247007897,91.07142857142857,55.35714285714286,1.7240856252494459
composite_equal,45.0987347293796,9.549425901956642,25.0,39.285714285714285,56,6.928571428571429,20.713967405143872,83.92857142857143,55.35714285714286,2.3224841145512163,10.0,29.952890247007897,89.28571428571429,73.21428571428571,1.4472923193526537
single_new_typ,34.69026167134745,9.758878472972032,7.142857142857142,28.57142857142857,56,9.142857142857142,27.326839826839823,87.5,53.57142857142857,1.6467310741292904,10.0,29.952890247007897,94.64285714285714,66.07142857142857,1.2332441131042629
single_script,29.21332638743335,10.248682140996321,7.142857142857142,17.857142857142858,56,8.125,24.27902979373567,91.07142857142857,46.42857142857143,1.8309619903271532,10.0,29.952890247007897,92.85714285714286,51.78571428571429,1.404216925056535
single_new_geo,41.15356408048069,10.867203442310954,19.642857142857142,39.285714285714285,56,6.714285714285714,20.085306850012728,80.35714285714286,42.857142857142854,3.2784050323351197,10.0,29.952890247007897,91.07142857142857,62.5,1.1987678094251748
single_distals_wiki_size,22.852338623085476,12.89631921196144,1.7857142857142856,14.285714285714285,56,11.928571428571429,35.70314489432136,92.85714285714286,58.92857142857143,1.367837368319577,10.0,29.952890247007897,89.28571428571429,55.35714285714286,1.7130622014844177
single_new_gen,36.25333188154424,13.047778517419124,17.857142857142858,33.92857142857143,56,8.25,24.697606315253374,87.5,57.14285714285714,1.7901963747186969,10.0,29.952890247007897,85.71428571428571,57.14285714285714,1.6129465917157642
random,11.763277759645483,13.597418868546121,0.0,8.928571428571429,56,12.892857142857142,38.59498344792462,91.07142857142857,42.857142857142854,1.656416303875698,10.0,29.952890247007897,87.5,37.5,1.9497322859689885
