method_a,method_b,ndcg_p_value,performance_loss_p_value
random,single_new_gen,0.0001334917247298283,0.07001644084959385
random,single_new_typ,1.391832054518383e-07,0.00028680961251334447
random,single_new_geo,1.1918941655990116e-07,0.3927428089273177
random,single_script,3.2978013486287345e-05,0.06065629370043174
random,single_distals_asjp,2.6352786485104943e-07,0.005808024057444084
random,single_distals_wiki_size,0.005675726996641793,0.8542243500176225
random,composite_equal,1.3095711287033504e-07,0.0019153399219484848
random,rrf_equal,1.2164390791266766e-07,0.0008229102156776755
random,lightgbm_lambdarank,9.404632396383882e-08,0.0238612345963102
random,mlp_listnet,1.933975243407909e-07,0.0011322185389853034
random,nnrank,1.5839216677746277e-07,0.0002773077749979112
single_new_gen,single_new_typ,0.9590499541530453,0.5561154233097645
single_new_gen,single_new_geo,0.1069119948234896,0.44238394082482185
single_new_gen,single_script,0.3559181256697376,0.9559141678540161
single_new_gen,single_distals_asjp,0.013217030536036248,0.3153054804568919
single_new_gen,single_distals_wiki_size,0.007485456732459932,0.1052066113405648
single_new_gen,composite_equal,0.006624397455620631,0.21211975669071445
single_new_gen,rrf_equal,0.03370025785273879,0.14912056976234458
single_new_gen,lightgbm_lambdarank,0.005949953763386832,0.7450501079285538
single_new_gen,mlp_listnet,0.004026836412543519,0.14661623805431295
single_new_gen,nnrank,0.0013039854786295125,0.08663518394166643
single_new_typ,single_new_geo,0.1362147193387688,0.1688715671501217
single_new_typ,single_script,0.300893293001503,0.5511122086237064
single_new_typ,single_distals_asjp,0.06822816904997833,0.8887068221311587
single_new_typ,single_distals_wiki_size,0.00140412282904794,0.01340288617458723
single_new_typ,composite_equal,0.0214590890274417,0.7216984725940035
single_new_typ,rrf_equal,0.06364023035160747,0.5654318558609222
single_new_typ,lightgbm_lambdarank,0.04831723465936531,0.6890211485866973
single_new_typ,mlp_listnet,0.026051574081602025,0.5582168018674832
single_new_typ,nnrank,0.03533616160997265,0.28113719559403405
single_new_geo,single_script,0.007296225254951926,0.19511905004388802
single_new_geo,single_distals_asjp,0.8649701020169381,0.05853207796694139
single_new_geo,single_distals_wiki_size,2.6486658027806533e-05,0.3733494854917618
single_new_geo,composite_equal,0.5336487382259043,0.029634421083524546
single_new_geo,rrf_equal,0.9084215513479196,0.018865288821540812
single_new_geo,lightgbm_lambdarank,0.6027431864757882,0.21053687311435085
single_new_geo,mlp_listnet,0.5259658437732063,0.015183865204919829
single_new_geo,nnrank,0.4473731787644514,0.016558758528491983
single_script,single_distals_asjp,0.004066022352026635,0.3243528376751359
single_script,single_distals_wiki_size,0.009226838681375773,0.07210418499904286
single_script,composite_equal,0.00031582153647748243,0.11598176624915132
single_script,rrf_equal,0.0002120460497630342,0.08497910812329011
single_script,lightgbm_lambdarank,0.00027067298047708745,0.7573971274261423
single_script,mlp_listnet,0.00022634876376509237,0.06060984086039692
single_script,nnrank,0.0004307302494384574,0.04617725628885256
single_distals_asjp,single_distals_wiki_size,5.640238869595765e-05,0.01166899444750936
single_distals_asjp,composite_equal,0.4993446001455463,0.7669857425984906
single_distals_asjp,rrf_equal,0.9435919411293718,0.555579028012683
single_distals_asjp,lightgbm_lambdarank,0.6830917730068673,0.5038268354971348
single_distals_asjp,mlp_listnet,0.46672435027883785,0.5241280591884352
single_distals_asjp,nnrank,0.42459402951566616,0.26945424276221863
single_distals_wiki_size,composite_equal,4.466587644121643e-06,0.004427645626317935
single_distals_wiki_size,rrf_equal,2.865558322620131e-06,0.001637201114860871
single_distals_wiki_size,lightgbm_lambdarank,1.582467497563555e-05,0.02465346113667575
single_distals_wiki_size,mlp_listnet,4.397014514024198e-06,0.0019911746319315284
single_distals_wiki_size,nnrank,5.633531422233924e-06,0.000239962086669966
composite_equal,rrf_equal,0.22117794012893358,0.5636313934604785
composite_equal,lightgbm_lambdarank,0.7727730332842406,0.19731598216049034
composite_equal,mlp_listnet,0.8928134735483706,0.19694999443950242
composite_equal,nnrank,0.9217643554812747,0.1917619914051728
rrf_equal,lightgbm_lambdarank,0.5415413442599974,0.11703401553316804
rrf_equal,mlp_listnet,0.1978753116054795,0.9301861252648014
rrf_equal,nnrank,0.3821147235160544,0.37171730123996694
lightgbm_lambdarank,mlp_listnet,0.8041502380132618,0.08199986549568583
lightgbm_lambdarank,nnrank,0.7248585753296641,0.04147650147347987
mlp_listnet,nnrank,0.8590882256034249,0.3525402407221077
