method,query_id,target_lang,target_resource_level,predicted_best_source,predicted_source_resource_level,actual_best_source,actual_best_source_resource_level,predicted_performance,actual_best_performance,performance_loss,ndcg,top_1_accuracy,top_3_accuracy,dataset,cnotc_alpha,cnotc_epsilon,cnotc_threshold,cnotc_trial_complexity,cnotc_set_size,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance,cnotc_best_in_set_performance_loss,cnotc_sources,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance,budget_10_at_5_best_in_set_performance_loss,budget_10_at_5_sources
random,wikiann_xlm-r::amh,amh,lrl,lat,lrl,spa,hrl,0.488833833000222,0.5190978955684838,0.058301262298739505,0.39564147837981095,0.0,0.0,wikiann_xlm-r,0.1,0.05,31.0,31,31,0.9117647058823529,1.0,1.0,0.5190978955684838,0.0,"nld,mar,pol,por,lat,kor,mal,lit,tur,tgl,tam,tha,ukr,urd,slk,rus,deu,dan,ces,eng,bel,ben,hun,hin,hrv,ita,ind,spa,heb,fin,fra",10,0.29411764705882354,1.0,0.0,0.5047213045004143,0.02769533683492435,"pol,lat,mal,tam,ukr,deu,bel,ben,hun,heb"
random,wikiann_xlm-r::asm,asm,lrl,lat,lrl,ben,mrl,0.5119654305911087,0.7512657186121535,0.3185294924186277,0.0,0.0,0.0,wikiann_xlm-r,0.1,0.05,31.0,31,31,0.9117647058823529,1.0,1.0,0.7512657186121535,0.0,"nld,por,ron,pol,lat,mar,mal,lit,tgl,tur,ukr,tha,tam,urd,slk,rus,deu,dan,ces,eng,bel,ben,hrv,hun,hin,jpn,ind,spa,heb,fin,fra",10,0.29411764705882354,1.0,1.0,0.7512657186121535,0.0,"ron,lat,mal,ukr,tam,deu,bel,ben,hrv,heb"
random,wikiann_xlm-r::bel,bel,mrl,lit,mrl,ukr,mrl,0.7169069440244558,0.8113744352340001,0.11642897176357295,0.0,0.0,0.0,wikiann_xlm-r,0.1,0.05,31.0,31,31,0.9393939393939394,1.0,1.0,0.8113744352340001,0.0,"nld,mar,por,pol,ron,lit,lat,kor,mal,tgl,tur,tam,tha,ukr,urd,slk,rus,dan,ces,eng,deu,ben,hun,hin,hrv,jpn,ind,spa,heb,fin,fra",10,0.30303030303030304,1.0,1.0,0.8113744352340001,0.0,"por,lit,kor,tam,ukr,dan,ben,hun,hin,fin"
random,wikiann_xlm-r::ben,ben,mrl,lat,lrl,mal,lrl,0.57465652192161,0.7178400806505182,0.19946442472138498,0.22443468502544733,0.0,0.0,wikiann_xlm-r,0.1,0.05,31.0,31,31,0.9393939393939394,1.0,1.0,0.7178400806505182,0.0,"nld,mar,por,pol,lit,lat,kor,mal,tgl,tur,tam,tha,ukr,urd,slk,ron,rus,deu,dan,ces,eng,bel,hun,hin,hrv,ita,ind,spa,heb,fin,fra",10,0.30303030303030304,1.0,1.0,0.7178400806505182,0.0,"por,lat,mal,tha,urd,deu,bel,hun,hin,fin"
random,wikiann_xlm-r::bod,bod,lrl,kor,mrl,mal,lrl,0.1052631578947368,0.1304699657640834,0.19320008035355596,0.6352152850473181,0.0,0.0,wikiann_xlm-r,0.1,0.05,31.0,31,31,0.9117647058823529,1.0,1.0,0.1304699657640834,0.0,"nld,mar,por,pol,kor,mal,lit,tgl,tur,tam,tha,ukr,urd,slk,rus,ron,dan,deu,ces,spa,eng,bel,ben,hrv,hun,jpn,ita,ind,heb,fin,fra",10,0.29411764705882354,0.0,0.0,0.1052631578947368,0.19320008035355596,"por,kor,lit,tha,urd,dan,eng,bel,ben,heb"
random,wikiann_xlm-r::bre,bre,lrl,kor,mrl,pol,mrl,0.4489363506964873,0.6517438193192738,0.31117666575589875,0.0,0.0,0.0,wikiann_xlm-r,0.1,0.05,31.0,31,31,0.9117647058823529,1.0,1.0,0.6517438193192738,0.0,"nld,mar,por,pol,kor,mal,lit,tgl,tur,tam,tha,ukr,urd,slk,ron,rus,dan,deu,ces,spa,eng,bel,ben,hun,hin,jpn,ind,ita,heb,fin,fra",10,0.29411764705882354,1.0,0.0,0.6256197996418807,0.04008326416455903,"por,kor,lit,tha,urd,dan,eng,bel,ben,heb"
random,wikiann_xlm-r::cbk,cbk,lrl,lat,lrl,lit,mrl,0.5529804249779141,0.6445913922978143,0.1421225421477146,0.0,0.0,0.0,wikiann_xlm-r,0.1,0.05,31.0,31,31,0.9117647058823529,1.0,1.0,0.6445913922978143,0.0,"nld,mar,pol,por,lat,kor,mal,lit,tgl,tur,tam,tha,ukr,urd,slk,rus,deu,dan,ces,eng,spa,bel,ben,hrv,hun,jpn,ind,ita,heb,fin,fra",10,0.29411764705882354,0.0,0.0,0.5875222548567163,0.0885353700390881,"pol,lat,mal,tam,ukr,deu,spa,bel,ben,heb"
random,wikiann_xlm-r::ceb,ceb,mrl,lat,lrl,swe,mrl,0.5379756637168142,0.654145225843339,0.17758986466156104,0.15245166841135635,0.0,0.0,wikiann_xlm-r,0.1,0.05,31.0,31,31,0.9117647058823529,0.0,0.0,0.6085040186673581,0.069772285071926,"nld,mar,por,ron,lat,kor,mal,lit,tgl,tur,tam,tha,ukr,urd,slk,rus,dan,deu,ces,eng,bel,ben,hrv,hun,hin,ind,ita,spa,heb,fin,fra",10,0.29411764705882354,0.0,0.0,0.5530492898913951,0.15454662352936793,"por,lat,mal,tam,ukr,dan,bel,ben,hrv,heb"
random,wikiann_xlm-r::ces,ces,mrl,kor,mrl,slk,mrl,0.6899666104210205,0.8516195875534852,0.18981829386622964,0.0,0.0,0.0,wikiann_xlm-r,0.1,0.05,31.0,31,31,0.9393939393939394,1.0,1.0,0.8516195875534852,0.0,"nld,pol,por,ron,lat,kor,mar,mal,lit,tgl,ukr,tur,tha,tam,urd,slk,rus,dan,eng,deu,bel,ben,hun,hin,hrv,jpn,ind,fin,spa,heb,fra",10,0.30303030303030304,0.0,0.0,0.8074167123019272,0.051904483994482865,"por,kor,mal,tur,tam,dan,ben,hun,hin,heb"
random,wikiann_xlm-r::ckb,ckb,lrl,lat,lrl,ben,mrl,0.3524927294693266,0.4899174770062107,0.28050590964147615,0.3557205596264981,0.0,0.0,wikiann_xlm-r,0.1,0.05,31.0,31,31,0.9117647058823529,1.0,1.0,0.4899174770062107,0.0,"nld,mar,pol,por,lat,lit,kor,mal,tur,tgl,tha,ukr,urd,slk,rus,swe,dan,ces,deu,eng,bel,ben,hun,hin,hrv,ind,ita,spa,heb,fin,fra",10,0.29411764705882354,1.0,1.0,0.4899174770062107,0.0,"pol,lat,kor,tha,urd,dan,bel,ben,hun,heb"
