method,ndcg@3,performance_loss,top_1_accuracy,top_3_accuracy,n_folds,cnotc_trial_complexity,cnotc_pool_fraction,cnotc_near_oracle_coverage,cnotc_exact_best_coverage,cnotc_best_in_set_performance_loss,budget_10_at_5_size,budget_10_at_5_pool_fraction,budget_10_at_5_near_oracle_coverage,budget_10_at_5_exact_best_coverage,budget_10_at_5_best_in_set_performance_loss
nnrank,42.05359823924718,12.287355535381819,21.428571428571427,39.285714285714285,56,16.214285714285715,48.56442577030812,94.64285714285714,82.14285714285714,1.8924764264031966,10.0,29.952890247007897,89.28571428571429,64.28571428571429,2.772841085889606
mlp_listnet,41.56088369204145,13.49824871277206,25.0,37.5,56,9.946428571428571,29.784186401833463,82.14285714285714,60.71428571428571,3.977536732532981,10.0,29.952890247007897,83.92857142857143,64.28571428571429,2.6603093206264563
rrf_equal,39.51163005538229,13.57310218692077,19.642857142857142,35.714285714285715,56,7.035714285714286,21.054558186911127,78.57142857142857,51.78571428571429,4.389394040262863,10.0,29.952890247007897,91.07142857142857,71.42857142857143,2.603217675785651
composite_equal,41.744439916851434,14.08330837990637,23.214285714285715,41.07142857142857,56,9.964285714285714,29.841482047364398,83.92857142857143,64.28571428571429,3.349350838382829,10.0,29.952890247007897,83.92857142857143,64.28571428571429,3.093316309689769
single_distals_asjp,39.72764450304941,14.571344557668636,21.428571428571427,33.92857142857143,56,9.803571428571429,29.34651133180545,80.35714285714286,53.57142857142857,5.291990521547396,10.0,29.952890247007897,87.5,58.92857142857143,4.441044859487364
single_new_typ,32.32658584676581,14.981942090887715,10.714285714285714,28.57142857142857,56,17.928571428571427,53.676470588235304,89.28571428571429,67.85714285714286,2.732103563473966,10.0,29.952890247007897,82.14285714285714,55.35714285714286,3.6461537744113093
lightgbm_lambdarank,40.96880230488808,16.12475417806615,16.071428571428573,35.714285714285715,56,18.857142857142858,56.472816399286984,91.07142857142857,80.35714285714286,2.2032211101931836,10.0,29.952890247007897,82.14285714285714,58.92857142857143,3.535757338963423
single_script,28.61173043035689,16.759188856763966,10.714285714285714,21.428571428571427,56,17.535714285714285,52.519416857652146,87.5,73.21428571428571,3.7300269785381666,10.0,29.952890247007897,76.78571428571429,53.57142857142857,5.406695458337211
single_new_gen,32.10721346539883,16.90995535570989,19.642857142857142,32.142857142857146,56,13.803571428571429,41.351540616246496,82.14285714285714,51.78571428571429,2.985401592804362,10.0,29.952890247007897,75.0,44.642857142857146,3.5881420475939008
single_new_geo,39.092429218002096,19.3755362013142,16.071428571428573,33.92857142857143,56,15.482142857142858,46.36013496307614,82.14285714285714,67.85714285714286,2.913607316680603,10.0,29.952890247007897,76.78571428571429,57.14285714285714,3.936767533952338
random,12.761473207576984,22.101918109416992,0.0,3.571428571428571,56,29.571428571428573,88.57270180799593,91.07142857142857,80.35714285714286,1.7208366414572396,10.0,29.952890247007897,67.85714285714286,28.57142857142857,5.415240707933389
single_distals_wiki_size,20.24346182213009,22.56005951523741,1.7857142857142856,14.285714285714285,56,14.821428571428571,44.38502673796792,89.28571428571429,64.28571428571429,2.2488802836997563,10.0,29.952890247007897,76.78571428571429,51.78571428571429,4.309564245991799
