method_a,method_b,ndcg_p_value,performance_loss_p_value
random,single_new_gen,0.5756449888347023,0.2169177650090537
random,single_new_typ,0.7784929632424628,0.25609173915069905
random,single_new_geo,0.40015822528739486,0.2535117768612767
random,single_script,0.09397682411281452,0.02478828272205525
random,single_distals_asjp,0.02029976933502215,0.12291476441750991
random,single_distals_wiki_size,0.31895476770430814,0.010990085846573608
random,composite_equal,0.44003195407602586,0.15305707151460554
random,rrf_equal,0.36184478902004413,0.18523773070821822
random,lightgbm_lambdarank,0.3096752457957448,0.21152616354806728
random,mlp_listnet,0.054120420075594276,0.08695054497780483
random,nnrank,0.6112935301571732,0.2767007668152705
single_new_gen,single_new_typ,0.47899294387581487,0.536155979560454
single_new_gen,single_new_geo,0.7438571713775148,0.737359936034709
single_new_gen,single_script,0.10911965635061338,0.01222644613258999
single_new_gen,single_distals_asjp,0.09389841831032068,0.34058925015213076
single_new_gen,single_distals_wiki_size,0.27024060474004036,0.45534967865919046
single_new_gen,composite_equal,0.23769250083480983,0.21977896754202345
single_new_gen,rrf_equal,0.5660375502711406,0.33074676143192694
single_new_gen,lightgbm_lambdarank,0.6742948105473555,0.8377491637697575
single_new_gen,mlp_listnet,0.19403313982819553,0.1036425460700511
single_new_gen,nnrank,0.9133526382770848,0.33222087277684065
single_new_typ,single_new_geo,0.3052902469560184,0.8823349641257369
single_new_typ,single_script,0.0002858550326073214,0.009468764524785995
single_new_typ,single_distals_asjp,0.0033945597712337003,0.2799246273183645
single_new_typ,single_distals_wiki_size,0.22796695718015356,0.5260737221574031
single_new_typ,composite_equal,0.31975190938575226,0.17722988042146143
single_new_typ,rrf_equal,0.2465162963171585,0.16185594693181674
single_new_typ,lightgbm_lambdarank,0.31864871662943556,0.527677884514935
single_new_typ,mlp_listnet,0.041981586218077065,0.052198053217351555
single_new_typ,nnrank,0.549224549364828,0.6772207658077434
single_new_geo,single_script,0.272515115822258,0.01065954189365035
single_new_geo,single_distals_asjp,0.041156579468024576,0.3164915179992818
single_new_geo,single_distals_wiki_size,0.6013152963308517,0.5168969488612073
single_new_geo,composite_equal,0.8273784546540303,0.30211083535791095
single_new_geo,rrf_equal,0.9048472315925171,0.42002878404681876
single_new_geo,lightgbm_lambdarank,0.8467109146168784,0.635103883229047
single_new_geo,mlp_listnet,0.1026280061294665,0.08866122514239634
single_new_geo,nnrank,0.7085796674546722,0.7842196042019457
single_script,single_distals_asjp,0.23110740051860998,0.8580125950655503
single_script,single_distals_wiki_size,0.7294962511477997,0.07499662067562346
single_script,composite_equal,0.4540799043354784,0.04494998650023012
single_script,rrf_equal,0.27693677482600104,0.02265828613852991
single_script,lightgbm_lambdarank,0.41521096258449897,0.03195690106119607
single_script,mlp_listnet,0.6952716418048767,0.1593117127488433
single_script,nnrank,0.10324447468720861,0.008567197177089984
single_distals_asjp,single_distals_wiki_size,0.31007265148362906,0.19122277990122932
single_distals_asjp,composite_equal,0.22654891352528012,0.40806494935981596
single_distals_asjp,rrf_equal,0.0878043923831339,0.35185549911141667
single_distals_asjp,lightgbm_lambdarank,0.09155693829094765,0.3484061331381929
single_distals_asjp,mlp_listnet,0.4470157457265074,0.5488335307428323
single_distals_asjp,nnrank,0.08730814186433185,0.26582503862568185
single_distals_wiki_size,composite_equal,0.5784953924652472,0.3307391673913293
single_distals_wiki_size,rrf_equal,0.3800439465551409,0.39703512032290406
single_distals_wiki_size,lightgbm_lambdarank,0.7442505174315157,0.4362779701247483
single_distals_wiki_size,mlp_listnet,0.5936110264252882,0.21953306632923925
single_distals_wiki_size,nnrank,0.19545990958926251,0.5599054496379099
composite_equal,rrf_equal,0.8597354995857129,0.34343639613791355
composite_equal,lightgbm_lambdarank,0.9569631291122683,0.48324860499652605
composite_equal,mlp_listnet,0.424755318886421,0.4621161132673451
composite_equal,nnrank,0.3743693908114122,0.137974510778566
rrf_equal,lightgbm_lambdarank,0.965969040810326,0.7393116647213464
rrf_equal,mlp_listnet,0.34304838915077673,0.18988508662170137
rrf_equal,nnrank,0.4238699496713328,0.1417013466756622
lightgbm_lambdarank,mlp_listnet,0.04205103717279708,0.204286957634044
lightgbm_lambdarank,nnrank,0.6804849388853375,0.4841511393073953
mlp_listnet,nnrank,0.22340236616022655,0.04323696171265806
